,Methanobrevibacter,Actinomyces,Corynebacterium,Bifidobacterium,Atopobium,Collinsella,Eggerthella,Olsenella,Slackia,Bacteroides,Barnesiella,Butyricimonas,Dysgonomonas,Odoribacter,Parabacteroides,Porphyromonas,Paraprevotella,Prevotella,Alistipes,Bacillus,Gemella,Staphylococcus,Abiotrophia,Enterococcus,Vagococcus,Lactobacillus,Pediococcus,Weissella,Lactococcus,Streptococcus,Clostridium_sensu_stricto,Sarcina,Anaerococcus,Finegoldia,Parvimonas,Peptoniphilus,Anaerovorax,Mogibacterium,Anaerofustis,Eubacterium,Pseudoramibacter,Anaerostipes,Blautia,Clostridium_XlVa,Clostridium_XlVb,Coprococcus,Dorea,Hespellia,Howardella,Lachnospiracea_incertae_sedis,Lactonifactor,Oribacterium,Roseburia,Ruminococcus2,Syntrophococcus,Peptococcus,Clostridium_XI,Peptostreptococcus,Anaerofilum,Butyricicoccus,Clostridium_III,Clostridium_IV,Ethanoligenens,Flavonifractor,Gemmiger,Hydrogenoanaerobacterium,Oscillibacter,Ruminococcus,Sporobacter,Clostridium_XVIII,Coprobacillus,Erysipelotrichaceae_incertae_sedis,Turicibacter,Acidaminococcus,Dialister,Megasphaera,Mitsuokella,Selenomonas,Veillonella,Fusobacterium,Leptotrichia,Parasutterella,Sutterella,Eikenella,Bilophila,Campylobacter,Citrobacter,Proteus,Serratia,Haemophilus,Pseudomonas,Cloacibacillus,Pyramidobacter,Akkermansia
FMT108,0,10,0,1132,1,8,13,3,0,15535,0,53,0,59,127,0,0,3,927,0,5,0,0,0,0,0,0,0,1,256,0,0,1,0,0,0,0,23,2,386,0,864,4143,386,33,1044,820,25,0,1937,2,0,2615,334,0,0,592,4,0,155,0,97,2,227,365,2,228,311,9,31,20,18,1,0,1935,0,0,0,24,0,0,2954,0,0,0,0,0,0,0,0,0,0,0,1
DA10094,0,0,0,101,0,0,0,0,0,1460,0,0,0,0,17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,17,67,0,0,0,0,0,0,0,0,0,0,317,418,353,0,22,45,0,0,0,5,0,78,20,0,0,103,0,0,44,0,1,0,8,0,0,0,0,0,6,0,4,5,0,70,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
DA10032,0,0,0,1,0,0,0,0,0,872,71,7,0,16,119,0,0,1,118,0,0,2,0,1,0,0,0,0,0,18,2,0,0,0,0,0,3,0,0,3,0,8,714,16,10,2,50,0,0,48,0,0,13,59,3,0,5,0,0,2,5,52,4,4,7,0,6,6,0,2,0,13,25,0,111,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0
FMT95,0,15,0,2,4,0,4,5,0,31,1,0,0,0,0,0,0,1,0,0,6,0,0,530,0,1848,0,0,5,413,0,0,0,0,0,0,0,0,0,2,0,0,8,0,10,1,0,0,0,1,0,0,0,0,0,0,65,0,0,0,0,7,0,5,0,0,0,0,0,193,71,556,3,13,188,1,0,0,0,46,0,9,0,0,180,0,19,0,0,0,0,0,327,3393
DA01227,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,1458,0,0,0,768,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FMT23A,0,1,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,13,0,1,0,0,0,25,1011,0,3,1,0,0,0,0,0,0,0,139,756,2855,761,0,2024,0,0,536,0,0,2025,203,0,0,261,0,0,0,0,3,0,3,0,0,0,0,0,2521,0,315,0,0,0,0,0,0,650,0,0,0,0,0,0,0,11,65,0,0,0,0,0,0
DA00673,0,0,0,0,0,0,0,0,0,3490,0,0,0,160,165,0,0,0,130,0,0,0,0,18,0,375,0,0,0,3,0,0,0,0,0,0,9,0,0,0,0,9,8,11,51,0,0,0,0,0,1,0,0,20,0,0,2,0,0,5,0,5,0,0,0,0,36,0,0,2,0,23,0,0,37,0,0,0,101,148,0,0,0,0,0,0,0,0,0,0,0,0,0,510
DA01555,0,1,0,0,0,0,1,0,0,98,45,0,0,0,2,0,0,0,95,0,0,0,0,0,0,1,0,0,0,1,0,0,3,5,2,0,0,0,0,0,0,9,2621,693,7,5,165,0,15,30,0,0,0,797,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,116,0,87,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
FMT102,0,2,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0,0,11,0,0,2,0,21,5,0,0,121,1548,0,0,1,0,0,0,0,0,0,0,124,1456,956,0,18,10,0,0,3735,0,3,0,0,0,0,1516,0,0,0,0,0,0,0,0,0,0,0,0,1239,22,1,321,0,0,0,0,0,67,1,1,1,0,0,0,0,0,0,0,96,1,0,0,0
DA01267,0,0,0,1,0,0,0,0,0,11,7,0,0,0,1,0,0,0,0,0,0,0,0,235,0,359,0,0,0,7,46,0,0,0,0,0,0,0,0,0,0,18,339,16,0,53,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,2,0,0,4,0,0,0,0,108,0,0,2,0,0,0,26,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
DA10170,0,0,0,1,0,0,0,0,0,3163,3,0,0,0,694,0,0,0,210,0,0,0,0,0,0,0,0,0,0,2,22,0,0,0,0,0,26,0,0,0,0,58,31,18,50,0,0,0,0,1,0,0,6,113,0,0,1,0,0,1,0,0,3,27,0,0,130,0,0,6,1,7,1,0,0,0,0,0,0,0,0,23,0,0,1,0,0,0,0,0,0,0,0,77
DA01311,0,0,0,0,0,2,0,0,0,1532,247,0,0,76,191,0,0,0,188,0,0,0,0,1,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,1,0,5,53,4,0,6,45,0,0,1,0,0,0,0,0,0,19,0,0,17,0,2,2,18,0,0,5,0,0,8,1,39,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
DA00210,0,0,0,1,0,0,0,0,0,652,0,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,1,70,0,0,0,0,0,0,0,0,0,0,0,2,209,5,0,15,0,0,0,2,0,0,0,5,0,0,34,0,0,2,0,0,0,0,0,0,11,0,0,77,0,21,0,0,13,0,0,4,49,8,0,0,0,0,0,2,1,5,1,0,0,0,0,2
GSVY1IH03.MID6.pool3-6,0,0,26,0,0,0,0,0,0,443,0,0,0,9,54,0,0,85,36,0,0,0,0,145,0,0,0,0,0,2,0,0,4,3,0,0,1,0,0,0,0,0,7,3,0,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0,24,0,1,11,0,3,1,0,0,1,2,0,0,10,0,0,0,2,534,0,5,1,0,1,1,2,0,5,0,0,0,0,1
DA01467,0,1,0,750,3,0,0,0,0,67,33,0,0,0,0,0,0,0,0,0,9,0,0,21,0,198,0,0,86,1074,4,0,0,0,0,0,0,0,4,0,0,45,425,22,0,0,3,0,0,733,0,1,1,120,0,0,15,0,0,37,0,114,0,0,0,0,2,2,1,137,2,1,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34
DA10109,0,0,0,0,0,0,0,0,0,2276,20,0,0,0,224,0,0,0,33,0,0,0,0,0,0,0,0,0,0,1,12,0,0,0,0,0,2,0,0,0,0,37,124,20,4,77,23,0,4,197,0,0,46,29,0,0,0,0,4,0,0,25,1,0,2,0,7,55,2,12,10,55,0,0,0,0,0,0,0,0,0,4,44,0,0,0,0,0,0,0,0,0,0,0
DA00550,0,0,0,0,0,0,0,0,0,1552,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
FMT29,0,5,0,1431,3,153,6,1,0,13383,0,14,0,16,95,4,0,5,585,0,0,2,0,0,0,0,0,0,46,101,14,0,0,0,0,1,0,5,7,84,0,851,5775,240,53,1426,412,35,0,1280,17,0,4995,496,0,1,50,2,0,248,0,833,1,180,216,0,444,455,3,61,24,27,15,0,2737,0,0,0,2,0,0,1173,0,0,0,0,0,0,0,0,0,0,0,0
DA01231,0,0,0,1,1,0,1,0,0,4826,0,0,0,152,69,0,261,0,11,0,1,0,0,0,0,13,0,0,0,28,0,0,0,0,0,0,0,0,1,0,0,21,107,22,1,3,50,0,0,70,0,0,2,211,0,0,10,0,0,15,2,18,0,28,239,0,71,1,0,17,0,25,0,18,58,43,0,0,134,0,0,109,0,0,0,0,0,0,0,0,0,0,0,176
DA10056,0,0,0,0,0,0,0,0,0,4428,0,1,0,0,657,0,0,217,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,4,30,40,1,5,3,0,0,69,0,0,20,12,0,0,0,0,0,2,0,2,2,2,0,0,47,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA10069,56,0,0,20,0,0,0,0,1,1481,195,4,0,0,127,0,0,0,325,0,0,0,0,3,0,156,0,0,0,139,176,1,0,1,0,0,8,0,3,4,0,38,55,11,3,74,3,1,0,21,0,0,30,68,0,0,65,0,3,1,0,318,0,3,29,0,75,10,1,12,11,30,15,1,3,0,0,0,1,0,0,0,0,0,18,0,0,0,1,0,0,0,0,0
DA10049,44,0,0,5,0,0,0,0,0,2403,311,262,0,0,230,0,0,0,395,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,4,0,0,0,0,26,55,69,0,112,18,0,0,162,0,0,63,8,0,0,118,0,0,1,0,60,16,1,16,0,74,15,4,6,3,18,5,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,1,0,0,15
DA10172,0,0,0,0,0,0,0,0,0,1877,0,0,0,73,75,0,0,0,432,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,0,0,21,36,33,13,10,3,0,0,77,0,0,45,83,0,0,0,0,0,5,0,58,0,8,36,0,48,5,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
GG349S003.MID13.1322,0,0,0,0,1,0,0,0,0,3196,130,38,0,77,1236,2,0,17,23,0,39,2,0,0,0,0,0,0,0,1229,0,0,0,0,0,0,0,1,0,0,0,1,641,30,35,15,16,0,0,458,0,0,30,7640,0,0,2,7,0,0,0,6,1,0,1,2,11,10,0,325,55,339,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
DA10101,0,0,0,5,0,0,0,0,0,1367,35,16,0,17,223,0,0,2451,8,0,0,0,0,0,0,0,0,0,2,1,53,0,0,0,0,0,0,0,0,0,0,6,16,25,5,9,14,0,0,341,0,0,2,79,1,0,5,0,0,2,0,1,0,0,6,0,7,0,1,0,0,9,0,10,0,13,0,0,0,0,0,5,21,0,0,0,0,0,0,1,0,0,0,0
DA00735,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1085,0,0,0,0,45,0,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA00299,0,0,0,0,0,0,0,0,0,1170,88,96,0,6,176,0,0,0,52,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,36,13,0,0,0,0,0,0,0,0,0,89,0,0,18,0,0,0,0,8,0,0,6,0,2,0,0,2,2,26,0,0,0,0,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GG349S004.MID13.1323,0,0,0,0,166,0,4,0,0,8773,0,0,0,0,6,862,0,244,4,0,0,5,0,232,0,11,0,0,0,18,17,0,118,78,0,78,0,0,0,0,0,0,0,268,0,0,0,0,0,0,0,0,0,4,0,0,21,0,0,0,0,0,0,31,1,0,3,0,0,291,0,837,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA10030,0,0,0,7,0,0,0,0,0,4447,0,0,0,0,156,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,36,0,0,0,0,0,0,0,0,0,0,63,88,95,0,74,92,0,0,113,0,0,0,31,0,0,43,0,0,8,0,4,0,3,0,0,1,0,0,34,2,5,0,0,0,37,0,0,1,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0
DA10066,0,0,0,0,0,0,0,0,0,4914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,1,0,0,10,0,0,0,0,26,29,148,8,63,7,0,0,913,0,0,90,97,0,0,1,0,0,4,0,6,0,3,27,0,10,1,0,42,28,2,0,0,0,0,0,0,2,0,0,24,101,0,0,0,0,0,0,0,0,0,0,61
GSVY1IH01.MID9.pool1-9,0,0,0,0,0,0,0,0,0,298,0,1,0,0,15,57,0,509,18,0,0,1,0,1,0,3,0,0,0,3,0,0,66,142,5,102,7,1,0,0,0,0,4,16,0,16,14,0,4,1,0,0,2,21,0,1,0,12,0,0,0,0,9,0,2,0,13,0,0,1,0,19,0,60,55,8,2,0,4,8,0,17,139,0,4,42,1,0,0,1,0,0,0,0
FMT34,0,1,0,0,0,0,37,0,0,3687,15,0,0,0,0,0,0,0,0,0,4,0,0,1,0,1,0,0,5,40,3,0,0,0,0,0,0,0,0,0,0,298,2637,542,8,0,412,0,0,667,0,0,0,236,0,0,81,0,0,5,0,4,0,69,0,0,73,10,0,133,766,213,25,0,1715,0,0,0,5,0,0,453,0,0,0,0,0,0,0,8,0,0,0,0
DA00703,0,0,0,0,0,0,0,0,0,4,0,0,105,0,2,2,0,1,797,0,0,0,0,0,0,1,0,0,0,0,6,0,0,0,0,0,28,0,0,0,0,0,50,42,0,5,0,0,0,0,1,0,2,251,0,0,2,0,0,2,0,4,0,0,0,0,4,0,0,21,0,288,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
GSVY1IH03.MID4.pool3-4,0,191,3,615,0,0,0,0,0,2,0,0,0,0,0,0,0,3,0,0,0,1,646,332,4,89,0,0,0,506,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,11,0,0,0,2,0,0,0,0,0,0
FMT53,0,1,1,421,31,1141,1,2,0,397,3,29,0,45,45,0,1,6385,35,0,34,0,0,0,0,23,0,0,186,1208,75,0,0,0,0,0,0,2,0,67,0,6,227,638,55,88,526,13,0,65,0,0,988,298,0,0,97,11,0,51,0,65,0,21,81,0,40,2,3,0,9,450,57,0,13,12,0,1,1375,1021,0,0,76,0,94,0,0,0,0,89,19,0,0,0
DA00896,0,2,0,0,0,0,0,0,0,13,27,0,0,0,14,1,0,47,17,0,0,0,0,2139,0,1,0,0,1,5,0,0,0,0,0,0,0,0,0,1,0,0,4,10,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,1,0,9,0,0,0,0,3,0,0,0,0,36,0,0,0,0,0,0,13,0,0,2,9,0,1,0,0,0,3,0,0,0,0,13
DA00383,0,0,0,0,0,0,0,0,0,138,0,0,0,0,193,0,0,0,131,0,0,0,0,0,0,4,0,0,0,1,11,0,0,0,0,0,0,0,0,5,0,1,322,240,9,16,1,2,0,2,0,0,1,321,0,0,191,0,0,16,0,0,0,0,1,0,0,0,0,60,1,166,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
DA10082,7,0,0,0,1,0,0,0,0,1878,174,21,0,28,609,0,0,0,201,0,0,0,0,0,0,0,0,0,0,15,25,0,0,0,0,0,6,1,0,0,0,93,64,67,6,162,30,0,0,383,0,0,31,48,0,0,2,0,1,3,0,28,4,3,57,0,56,4,2,20,2,0,0,0,0,0,0,0,4,0,0,14,38,0,3,0,0,0,0,0,0,0,0,18
FMT25A,0,0,0,101,0,274,0,4,0,165,0,1,0,0,3,0,0,5837,0,0,0,0,0,40,0,68,0,0,0,75,1,0,0,0,0,0,0,0,0,0,0,219,437,239,28,231,722,9,0,416,0,0,1322,378,0,0,0,0,0,33,0,2,0,5,57,0,16,0,0,54,0,147,0,0,271,3,0,0,7,1526,2,0,360,0,0,0,0,0,0,0,0,0,0,0
DA10174,0,0,0,0,0,0,0,0,0,2741,80,0,0,35,450,0,0,1,443,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,34,8,7,0,0,0,0,9,0,0,168,21,0,0,1,0,0,3,0,7,0,7,0,0,21,1,0,2,0,2,0,0,0,0,0,0,1,0,0,46,0,0,3,0,0,0,0,0,0,0,0,0
DA00556,0,0,0,15,0,0,0,0,0,655,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,3,2,1,0,0,1,0,0,0,0,0,0,94,290,7,0,21,0,0,0,0,0,0,2,100,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,40,0,57,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,38,1,0,0,0,0,0
DA10120,0,0,0,0,0,0,0,0,0,1030,117,0,0,25,628,0,0,1456,247,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,19,10,0,7,4,0,0,91,0,0,19,101,0,0,0,0,0,2,0,2,0,2,67,0,3,1,0,2,0,8,0,0,0,0,0,0,1,0,0,0,13,0,4,0,0,0,0,0,0,0,0,0
FMT47,0,0,0,11,0,47,1,1,0,168,4,12,0,10,18,0,0,3283,8,0,0,1,0,0,0,7,0,0,0,90,9,0,0,0,0,1,0,4,0,0,0,2,290,406,49,162,312,2,0,155,0,0,702,72,0,0,0,0,1,14,0,31,0,3,17,0,31,575,9,0,0,322,1,0,239,2,0,0,54,26,0,3,68,0,7,0,0,0,0,0,0,0,0,0
DA10065,0,0,1,0,0,0,0,0,0,327,0,0,0,0,539,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,1,831,386,18,16,147,0,0,468,0,0,0,3,0,0,0,0,0,20,0,5,1,0,0,0,5,0,0,69,12,79,18,0,21,0,0,0,0,0,0,0,0,0,0,0,1,5,1,0,0,0,0,0
DA00984,0,1,0,3,0,0,0,0,0,184,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,82,59,4,0,0,0,0,48,0,0,2,0,10,176,10,30,1,38,0,0,80,1,0,10,89,0,0,97,0,0,3,0,15,0,2,263,0,9,5,2,6,4,7,28,0,113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
DA10114,0,0,0,2,0,0,0,0,0,3279,39,224,0,0,220,0,0,57,513,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,3,0,28,29,10,17,19,37,0,0,124,0,0,14,109,0,0,21,0,0,5,0,45,0,2,7,0,38,1,0,8,7,5,0,0,129,0,0,0,0,0,0,115,0,0,1,1,0,0,0,0,0,0,0,1
DA01242,0,0,0,0,0,0,0,0,0,2433,0,0,0,0,409,0,0,0,171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,3,950,26,0,725,29,0,0,5,1,0,0,6,0,0,32,0,0,0,0,1,0,6,0,0,17,0,0,159,0,86,0,0,0,0,0,0,0,730,0,0,0,0,18,0,0,0,0,1,0,0,0,35
GSVY1IH01.MID11.pool1-11,0,0,3,1,0,0,0,0,0,712,0,0,0,0,0,0,0,0,0,21,0,177,0,63,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,290,0,0,0
GSVY1IH03.MID7.pool3-7,0,0,0,0,6,0,0,0,0,317,4,0,0,2,6,3,1,715,3,0,35,0,0,0,0,671,0,0,0,126,0,0,191,27,2,109,0,0,0,0,0,0,10,15,0,17,0,0,0,0,0,0,0,4,0,0,0,0,0,9,0,3,0,0,2,0,1,0,0,0,0,1,0,0,19,111,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,19
DA01128,0,0,0,30,0,0,1,0,0,239,2,6,0,84,51,0,21,2,814,0,2,0,0,0,0,1,0,0,0,17,0,0,0,1,0,0,2,0,1,0,0,11,60,84,16,5,23,0,0,175,0,0,0,1349,1,0,0,0,1,13,0,5,1,8,32,0,32,1,1,526,7,132,0,0,2,0,0,0,23,0,0,58,0,0,0,0,0,1,0,4,0,0,0,0
GSVY1IH04.MID3.pool4-3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2151,0,44,0,0,0,2,8,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,4,0,36,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0
GSVY1IH03.MID8.pool3-8,15,0,0,0,0,0,0,0,0,571,72,15,0,62,283,0,0,78,38,0,0,0,0,53,0,0,0,0,0,278,28,0,34,107,0,55,7,5,1,0,0,6,1,25,0,115,4,0,0,45,0,0,1,28,0,0,5,1,0,0,0,30,18,1,4,0,10,0,0,3,0,22,0,1,0,0,0,0,0,0,0,0,0,0,0,96,0,0,1,0,0,38,0,30
DA01335,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1221,0,192,0,0,7,4,0,0,0,0,0,0,0,0,0,0,0,3,979,1,0,0,451,0,0,0,0,0,0,0,0,0,287,0,0,0,0,1,0,0,0,0,0,0,0,1623,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DA00575,0,0,0,0,0,0,0,0,0,279,0,0,0,0,139,0,0,0,0,0,0,21,0,85,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,630,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,0,0
DA01018,0,1,0,17,0,0,0,0,0,1371,0,0,0,0,83,0,48,0,6,0,0,0,0,1,0,4,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,10,455,19,0,3,2,0,0,0,0,0,0,17,0,0,7,0,0,1,0,6,0,0,0,0,0,0,0,1,0,7,10,0,0,0,0,0,56,0,0,2,0,0,18,0,0,0,1,1,0,0,0,0
FMT92A,0,1,0,1091,0,235,0,195,0,2977,9,111,0,55,491,0,0,472,481,0,0,0,0,0,0,934,0,0,0,14,52,0,3,4,0,0,0,4,0,0,0,165,1387,519,3,130,688,11,0,850,0,0,1691,354,0,0,183,0,0,126,0,236,0,145,1,0,66,2,91,2,0,1578,65,0,1734,2333,0,0,0,151,0,11,207,0,82,0,0,0,0,0,0,0,0,2251
GSVY1IH04.MID2.pool4-2,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,38,677,0,0,0,0,14,0,0,0,0,0,13,2,0,34,33,0,36,6,0,0,1,0,0,129,60,0,42,59,0,0,3,0,0,153,88,0,0,4,0,0,1,0,67,0,9,282,0,87,25,0,5,0,64,0,0,17,0,0,0,51,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
DA10176,0,0,0,0,0,0,0,0,0,1821,119,0,0,123,240,0,63,0,315,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,1,37,25,7,44,22,0,0,347,0,0,68,29,0,0,2,0,0,11,0,17,0,0,48,0,151,0,1,6,18,34,2,0,0,0,0,0,0,0,0,73,0,0,0,0,0,0,0,0,0,0,0,2
DA10150,0,0,0,0,0,0,0,0,0,3032,236,0,0,112,374,0,0,806,140,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,3,0,0,0,0,20,37,52,6,0,3,0,0,71,0,0,94,67,0,0,0,0,0,6,0,12,4,7,0,0,18,2,1,15,3,3,0,0,0,0,0,0,1,0,0,67,0,0,0,0,0,0,0,1,0,0,0,0
FMT06,0,0,0,460,0,0,28,0,0,5638,121,0,0,0,176,43,0,1,2095,0,0,8,0,0,0,368,0,0,0,723,105,0,375,0,0,71,22,15,0,675,0,54,4721,1427,1089,396,140,0,0,833,2,0,1147,542,0,0,63,125,0,78,0,306,0,224,0,0,145,111,8,3,47,75,1,0,2110,0,0,0,18,2,0,0,2,0,144,0,2,0,0,0,0,0,0,1
DA10125,0,0,0,0,0,0,0,0,0,1520,0,0,0,13,664,0,0,80,1272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,65,40,7,10,19,0,0,64,0,0,6,92,0,0,0,0,0,0,0,157,8,1,1,0,132,31,0,0,0,11,0,0,0,0,0,0,2,0,0,11,10,0,0,0,0,0,0,0,0,0,0,39
FMT6A,0,0,0,1009,0,0,56,0,0,2682,18,0,0,0,91,11,0,0,1074,0,0,2,0,0,0,167,0,0,0,428,86,0,239,1,0,34,10,1,0,397,0,22,1971,504,734,160,62,0,0,387,2,0,578,223,0,0,27,57,0,64,0,127,0,91,0,0,50,33,4,1,42,33,3,0,1385,1,0,0,10,0,0,0,0,0,73,0,4,0,0,0,0,0,0,1
DA01380,0,0,0,7,0,0,0,0,0,2710,1,17,0,0,99,0,0,1,160,0,0,0,0,0,0,0,0,0,0,18,88,1,0,0,0,0,0,0,0,1,0,6,55,27,90,11,15,0,0,30,0,0,29,12,0,0,19,0,0,5,0,5,0,3,0,0,5,0,0,23,0,11,1,0,34,0,0,0,14,0,0,21,0,0,0,0,0,0,0,15,0,0,0,0
DA00850,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2810,0,104,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
DA01129,0,0,0,179,0,0,1,0,0,16,2,3,0,0,2,0,0,0,9,0,0,0,0,1328,0,2783,0,0,0,8,0,6,0,0,0,9,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,196,0,0,0,123,0,0,0,1,0,0,0,0,0,0,0
DA00108,0,0,0,0,0,0,0,0,0,765,0,0,0,1,87,0,13,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,63,0,4,0,0,1,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,1,0,0,0,0,0,0,289,0,0,2,0,0,0,0,3,0,0,0,0,0,0,0
DA10054,0,2,1,21,0,0,0,0,0,1753,0,0,0,23,96,7,70,36,300,0,0,0,0,0,0,1,0,0,0,48,38,1,8,11,0,14,1,0,0,47,0,224,211,232,3,57,384,0,0,285,0,0,73,242,0,0,249,0,0,3,0,5,26,4,14,0,3,2,0,695,0,0,1,0,28,3,0,0,0,0,0,0,1,0,4,0,0,0,0,0,2,0,0,0
