,Methanobrevibacter,Actinomyces,Corynebacterium,Bifidobacterium,Atopobium,Collinsella,Eggerthella,Olsenella,Slackia,Bacteroides,Barnesiella,Butyricimonas,Dysgonomonas,Odoribacter,Parabacteroides,Porphyromonas,Paraprevotella,Prevotella,Alistipes,Bacillus,Gemella,Staphylococcus,Abiotrophia,Enterococcus,Vagococcus,Lactobacillus,Pediococcus,Weissella,Lactococcus,Streptococcus,Clostridium_sensu_stricto,Sarcina,Anaerococcus,Finegoldia,Parvimonas,Peptoniphilus,Anaerovorax,Mogibacterium,Anaerofustis,Eubacterium,Pseudoramibacter,Anaerostipes,Blautia,Clostridium_XlVa,Clostridium_XlVb,Coprococcus,Dorea,Hespellia,Howardella,Lachnospiracea_incertae_sedis,Lactonifactor,Oribacterium,Roseburia,Ruminococcus2,Syntrophococcus,Peptococcus,Clostridium_XI,Peptostreptococcus,Anaerofilum,Butyricicoccus,Clostridium_III,Clostridium_IV,Ethanoligenens,Flavonifractor,Gemmiger,Hydrogenoanaerobacterium,Oscillibacter,Ruminococcus,Sporobacter,Clostridium_XVIII,Coprobacillus,Erysipelotrichaceae_incertae_sedis,Turicibacter,Acidaminococcus,Dialister,Megasphaera,Mitsuokella,Selenomonas,Veillonella,Fusobacterium,Leptotrichia,Parasutterella,Sutterella,Eikenella,Bilophila,Campylobacter,Citrobacter,Proteus,Serratia,Haemophilus,Pseudomonas,Cloacibacillus,Pyramidobacter,Akkermansia
DA10113,5,0,0,0,0,0,0,0,0,2724,359,0,0,118,281,0,0,0,148,0,0,0,0,0,0,0,0,0,0,31,0,0,1,1,0,0,6,0,0,3,0,24,153,53,8,43,3,2,0,164,0,0,53,192,0,0,0,0,0,1,0,9,10,2,36,0,2,62,1,142,4,12,0,0,0,0,0,0,3,0,0,111,0,0,0,0,0,0,0,1,0,0,0,0
FMT04,0,3,0,441,0,15,0,267,0,15,0,2,0,0,9,0,0,2894,3,0,2,0,0,0,0,337,0,0,1,32,30,0,0,0,0,0,0,0,0,0,0,20,201,67,1,176,111,1,0,98,0,0,345,63,0,0,83,0,0,22,0,16,0,8,60,0,18,311,0,0,0,142,10,0,1009,517,0,0,0,0,0,1,58,0,12,0,1,0,0,10,2,0,0,0
FMT72,0,3,0,71,0,0,0,0,0,2431,0,0,0,0,68,0,0,0,6,0,0,0,0,215,0,3195,1,0,0,177,52,0,0,0,0,0,0,0,0,0,0,0,0,3,41,0,24,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,3,1117,0,0,0,451,0,0,21,17,5,0,0,31,0,0,0,0,0,0
FMT85,1,1,1,77,0,2,0,177,0,37,0,2,0,1,9,0,0,640,8,0,1,0,0,0,0,269,0,0,0,5,0,0,0,0,0,0,1,0,0,0,0,11,1480,83,4,482,417,13,0,247,0,0,2354,278,0,0,9,0,0,26,0,30,0,14,12,1,31,121,50,0,0,426,0,0,1287,573,0,0,1,0,0,0,2,0,6,0,0,0,0,0,0,0,0,16
FMT10,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,3331,1,89,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,1207,127,1244,0,0,47,17,0,0,179,3,0,0,0,0,0,0,86,23,0,0,0,0,0,0
DA00997,0,0,0,9,0,0,0,0,0,2600,688,0,0,0,140,0,0,0,2187,0,0,0,0,0,0,8,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18,78,7,21,1,3,0,0,0,1,0,0,15,0,0,3,0,0,3,9,8,2,9,0,0,10,0,2,61,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,28,0,0,0,0,0,2
DA10059,3,0,0,0,0,0,0,0,0,853,20,2,0,58,198,0,17,76,94,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,5,0,0,1,0,37,19,28,4,20,113,0,11,218,0,0,7,19,0,0,8,0,1,3,0,3,2,1,30,0,52,3,0,14,5,127,0,0,3,0,3,0,0,1,0,37,40,0,0,0,1,0,0,0,10,1,0,23
DA01441,10,0,0,2,0,2,16,0,2,51,45,8,0,7,26,0,0,0,262,0,0,0,0,0,0,0,0,0,0,0,32,3,0,0,0,0,0,0,0,1,0,16,43,8,16,8,0,0,0,23,0,0,0,25,0,0,13,0,0,392,0,1,0,2,0,0,1,0,1,30,0,2,12,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
FMT101,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,14,0,0,0,0,0,2,0,7033,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1171,2,0,0,0,0,0,0,0,3575,66,0,0,0,0,0,1,0,2295,0,104,0,0,1,0
DA10042,0,0,0,1,0,0,0,0,0,3318,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,138,0,0,0,0,0,0,0,0,0,0,0,59,57,62,10,18,0,0,0,522,0,0,132,106,0,0,1,0,0,2,0,9,2,7,0,0,21,1,0,31,4,5,0,0,133,0,0,0,14,0,0,190,0,0,12,0,0,0,0,15,0,0,0,0
DA10184,0,0,0,0,0,0,0,0,0,4212,0,0,0,84,343,0,0,0,290,0,0,0,0,0,0,57,0,1,0,40,10,0,0,0,0,0,5,0,0,1,0,0,50,32,4,78,7,0,0,135,0,0,156,106,0,0,8,0,1,7,0,76,5,1,31,0,96,46,0,0,0,0,0,0,0,0,0,0,56,0,0,32,0,0,1,0,1,0,0,0,0,0,0,0
DA01563,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,1,0,1881,0,559,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,2,0,0,331,0,0,96,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,1,0,0,0,288,0,0,0
DA10035,0,0,0,0,0,0,0,0,0,1458,0,0,0,0,889,0,0,0,32,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,2,0,184,220,149,2,21,14,0,0,152,0,0,13,24,0,0,43,0,1,14,0,11,0,0,25,0,3,3,0,33,0,5,19,0,24,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,103
