"","F-006C1A","F063-C1U","F-001C1A","F-004C1A","A05","F-058-C1A","N10","F-050-C1A","F-003C1A","F-008C1A","F-037-C2U","F-035-C1A","F-046-C2U","N06","F-045-C1A","F-033C1A","F-041-C1A","N16","F-044-C1A","F-028C1A","F-062-C2U","F-059-C1A","A09","F-007C2U","F-054-C2U","F-034C1A","F-039-C1A","F-042-C2U","F-060-C1A","A15","F-027C1A","F-027C2U","F-036-C1A","F-020C1A","F-030C1A","F-019C2U","F-055-C1U","F-011C1A","F-007C1A","F-023C1A","F-016C2U","F-037-C1A","F-002C2U","A04","F-014C2U","F066-C2U","F-024C1A","F-061-C1A","F-032C1A","F-015C1A","N01","F-025C1A","F-030C2U","F-031C1U","F-025C2U","F-040-C1A","F-057-C2U","F-014C1A","F-022C1A","N09","N02","F-047-C1A","F-046-C1A","F-023C2U","F-029C2U","F-044-C2U","F-004C2U","F-009C2U","F-049-C1U","F064-C1A","F-010C1A","A12","F-018C1A","A07","F-022C2U","F-017C1A","F-050-C2U","F-052-C1U","F-039-C2U","F-056-C1A","N04","F-018C2U","F-041-C2U","N07","F-042-C1A","N13","F-017C2U","F-021C2U","N11","F-020C2U","F-048-C1A","F-029C1A","N15","F-002C1A","F-051-C1A","F-028C2U","F066-C1A","F-013C1U","A18","F065-C1A","A02","F-015C2U","F-026C1A","F-061-C2U","N20","F-053-C1U","A17","F-019C1A","F-024C2U","F-062-C1A","F-058-C2U","F-001C2U","N08","F-038-C1A","F-043-C1A","F-051-C2U","F-016C1A","A11","N14","F-012C1A","F-008C2U","A01","A14","A10","F-054-C1A","N17","F-003C2U","F-021C1A","A19","F-057-C1A","F-005C1A","N19","A06","F-009C1A"
"sp11",0,3,0,0,0,2,78,0,0,0,0,0,0,1,0,0,0,0,0,0,5595,1,0,0,0,3,1531,0,0,0,0,0,0,0,1,1,1983,0,0,0,6,33,424,3,1,0,1,3,0,0,1,1,0,0,0,206,0,0,0,6,0,0,160,1,2,0,0,1,83,0,0,0,0,0,3,0,0,0,1228,0,0,0,2,7,7,0,0,0,0,0,0,0,21,0,1221,19,0,0,0,512,0,0,0,0,0,0,0,0,0,69,0,1,0,1,0,0,0,0,0,4,1292,0,0,0,0,0,0,0,0,3,1,0,0,1
"sp12",0,0,0,1,0,1,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp13",0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"sp14",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0
"sp15",0,0,0,0,0,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,7,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,1,0,0,0,2,0,0,0,0,0
"sp16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,0,0,0,6,0,0,25,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,8,0
"sp17",0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,58,0,0,0,0,0,0,0,12,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,0,0,7,0,0,0,1,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,6,2,6,0,0,11,0,2,0,0,0,4,0
"sp18",0,0,50,0,0,0,0,0,0,0,0,0,2,0,8,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0,0,1,2,5,2,0,7,0,0,0,0,4,2,0,0,0,0,0,0,0,0,0,3,3,0,0,1,0,0,0,0,7,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,1,2,0,0,0,2
"sp19",24,2,19,4,4,3,0,0,45,0,25,10,9,2,0,1,11,3,38,5,17,4,7,3,1,7,1,5,38,1,4,11,16,82,60,46,5,0,2,8,5,46,10,0,5,1,51,7,18,0,0,41,41,8,2,3,8,1,2,2,2,2,5,3,4,47,3,15,1,5,1,1,5,1,17,7,40,27,7,0,4,64,2,1,19,1,0,25,1,3,1,5,1,13,0,6,0,18,31,10,15,5,3,5,1,23,0,0,26,19,12,3,0,59,112,6,5,5,0,2,2,14,0,7,4,0,7,12,5,3,1,1,1,14
"sp20",5,123,2,1,0,11,0,0,165,14,0,6,123,0,4,390,28,0,47,5,4,3,0,1268,87,57,1,363,215,0,7,7,122,0,42,269,0,0,88,9,8,145,30,0,4,347,6,40,1,46,0,84,69,60,32,12,1,0,3,0,0,111,52,20,23,64,20,38,23,21,3,0,12,0,44,1,32,2,1,31,0,69,14,0,141,0,0,46,0,3,196,1,0,8,44,7,17,280,0,2,0,152,11,28,0,93,0,19,1249,2,12,14,0,4,7,20,1,0,0,113,5,0,0,0,0,2,8,33,0,3,7,0,0,26
"sp21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp22",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"sp23",0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp24",2,1,2,0,5,5,0,6,0,0,0,2,1,15,0,0,0,5,1,1,0,2,2,3,0,2,0,0,0,0,0,0,0,0,4,0,0,0,2,0,1,0,3,2,0,0,1,12,0,2,0,1,0,0,1,0,0,0,0,2,7,2,2,3,2,1,0,8,4,3,1,16,2,4,1,0,0,1,0,2,10,0,0,0,2,0,0,0,0,0,0,0,1,7,5,6,1,0,0,0,15,0,2,0,8,0,1,1,0,0,0,11,1,0,0,0,1,29,0,2,3,22,12,12,0,5,0,2,7,3,0,76,6,0
