"","ta1","ta2","ta3","ta4","ta5","ta6","ta7"
"sp17","Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","Bacteria"
"sp18","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Lactococcus","Bacteria"
"sp19","Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","Bacteria"
"sp20","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae_1","Clostridium_sensu_stricto","Bacteria"
"sp21","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Anaerococcus","Bacteria"
"sp22","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Parvimonas","Bacteria"
"sp23","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XI","Peptoniphilus","Bacteria"
"sp24","Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiales_Incertae_Sedis_XIII","Anaerovorax","Bacteria"
"sp25","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Anaerofustis","Bacteria"
"sp26","Bacteria","Firmicutes","Clostridia","Clostridiales","Eubacteriaceae","Eubacterium","Bacteria"
"sp27","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Anaerostipes","Bacteria"
"sp28","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Blautia","Bacteria"
"sp29","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVa","Bacteria"
"sp30","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Clostridium_XlVb","Bacteria"
"sp31","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Howardella","Bacteria"
"sp32","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnoanaerobaculum","Bacteria"
"sp33","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Lachnospiracea_incertae_sedis","Bacteria"
"sp34","Bacteria","Firmicutes","Clostridia","Clostridiales","Lachnospiraceae","Roseburia","Bacteria"
