,combat_seq,ConQuR,ConQuR_libsize,harmony,limma,MMUPHin,nobc,percentile_norm,sum
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Clostridium_XlVb,0,1,0,0,0,0,1,0,2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Clostridiaceae_1;g__Clostridium_sensu_stricto,0,1,0,0,0,0,0,0,1
