,0
batches_shannon_pval,0.04456135742766549
biovar_shannon_pval,0.37583150755091876
rf_baseline_likelihood,0.5492957746478874
rf_average_acc,0.5211267605633803
rf_macro_precision,0.48621553884711777
weighted_precision,0.4918987609869745
macro_recall,0.4911858974358974
weighted_recall,0.5211267605633803
macro_f1,0.45335144927536225
weighted_f1,0.47232853643600725
auc,0.4911858974358974
batch_aitch_r2,0.22584452277283276
batch_bray_r2,0.29708675562253134
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.006936763202349901
biovar_bray_r2,0.007339545450539366
biovar_aitch_pval,0.404
biovar_bray_pval,0.362
