,fold,average_acc,macro_prec,weighted_prec,macro_recall,weighted_recall,macro_f1,weighted_f1,auc,baseline_likelihood
0,1,0.6186046511627907,0.6190496797645837,0.6209781370390199,0.6194632621156853,0.6186046511627907,0.6183982683982684,0.6189348635860263,0.6194632621156853,0.5302325581395348
1,2,0.5534883720930233,0.5573792016806722,0.5595783662302131,0.556930693069307,0.5534883720930233,0.5532467532467533,0.5526185442464512,0.556930693069307,0.5302325581395348
2,3,0.5534883720930233,0.5619383825417201,0.563429560856196,0.5585558252427185,0.5534883720930233,0.5491874890791542,0.5473442535017818,0.5585558252427185,0.5209302325581395
3,4,0.586046511627907,0.611518915866742,0.6219584258006907,0.6039473684210527,0.586046511627907,0.5831245506633842,0.5790662715459916,0.6039473684210527,0.5581395348837209
4,5,0.6588785046728972,0.6585760517799353,0.6588028914496568,0.658479020979021,0.6588785046728972,0.6585131265438171,0.6588263077973143,0.658479020979021,0.514018691588785
5,mean,0.5941012823299283,0.6016924463267307,0.6049494762751554,0.5994752339655569,0.5941012823299283,0.5924940375862754,0.591358048135513,0.5994752339655569,0.530710715061943
