,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
CSM67UAY,-13.88046470618844,10.40216391417962,-2.435161732283118,-7.395141715773175,0.3390834269557352,-4.167045628556617,-1.4607234741735835,-3.017522977193828,-4.034649016140467,-1.5727181833845119,-0.03875601727519825,-4.926566499793557,1.2936735549102178,5.045765008245911,-6.98986352713665,1.99720408165324,-4.776279015886659,1.5432018855814167,0.18768585421466444,-0.7500043409204362,-1.4352249234347325,2.0383643430908016,-0.02276722684211691,1.39154280375835,-3.0402301526226005,-3.4590106373146408,-0.9988917527397417,-0.4028949562222908,-1.4125226631671057,4.061384585390194
O2.UC48-1,2.2531034435347563,-8.094281230477309,-5.789698681376873,-3.454141459566848,-3.9426639539580735,-1.9917880226112326,-3.752183161650512,-3.7008980623156544,-3.976355271128232,-1.1554165651073411,1.480209025178052,-5.3395271117269765,-3.362893902783056,0.8980414936070589,-2.9059452416761697,2.6810610612427177,-0.7480693915032997,5.37285190276141,17.5874116877199,0.9306027598485044,-1.7255244305067639,0.31441328758162174,0.2053161982912909,1.6781780173326806,-1.4986125021826227,3.9146467654817134,-1.0219077472394302,3.1660954703218773,-0.64685081126265,-4.122856888884174
HSMA33KO,-9.427492864097463,-0.6536299030311777,12.560902981598387,9.997564589697225,-14.093453112597382,-4.1098161661763175,3.2789966157692203,-0.10455937234618967,-0.09672969287637218,1.263860928832928,-0.13776896029077276,-1.5674285344979957,-1.774005555614092,0.8710423408696548,1.6532347626867334,-0.6460816712295615,3.543485590518358,-4.18908355215987,0.27271934671493514,0.07377826668402945,-3.04156698733739,2.6831696046174307,-0.23939418970331133,0.7748743981623517,-1.21677562827851,-1.5491074489701142,-1.2787832881685848,0.05690394367191505,-0.43315890446579014,2.1083219498998287
O2.UC6-1,8.24991471528265,-10.457470692311645,-6.067649092888191,-4.044776619545344,-2.6527983698291018,-3.5851067697827728,-3.618342413527425,-1.9965653410522874,-3.8603283427248987,0.7223650086549133,-1.7252924662092648,-4.163112467507877,-4.337197848791905,0.0715799537387215,-0.5776199549943206,1.6156090812080421,2.2690814923047498,4.871885501257125,17.150222780837456,0.7993902107741637,-0.36770939667114777,0.33958125407653184,1.2508457768654802,2.6539281402552715,-1.906815881984732,5.350003939160328,-3.4390030875156796,5.12165200402422,-1.6027007449238067,-4.960454249905052
MSM9VZJJ_P,-16.03028232426754,6.627614531415766,11.449873388624992,6.38922079832133,-9.986239293111854,-0.8642230929770205,-2.6295456064945153,0.8838593648889461,4.753573408780653,-0.886735651808616,2.9021855043774223,0.7054435506231734,-1.0402207963108705,1.2804700867333398,7.2871539789199575,-0.9714282615722751,-0.8594186148465202,1.0111013621761489,-0.08585374338207638,-1.0190990451534383,-0.34283563428347363,0.2636881369285148,0.21503849024125463,-0.33333698734550754,0.47999506276650544,0.10826976653119003,-0.4485232210073505,0.04144723515051053,-0.2611861336480722,0.7278123292004866
MSM9VZHB,20.82738899418432,7.428330044122086,-2.4115736878333895,-2.8201204715254757,1.0336337221704455,-8.172368552581375,-4.860801787296231,-0.7600312319953286,0.2438744710652269,-2.397204338314124,1.2784494601953265,-0.4577102775792223,-1.433284598255054,-0.6945515802023909,0.04791920813478404,-2.058943019061412,0.6884925211538059,0.6857969173382278,0.07665490347597108,1.9529559370301062,0.017237205923830233,1.14995234995854,0.9388673617260469,0.08123120547902873,0.3728261499365351,3.6567444648043352,-2.026279012363087,0.9043480792848779,-1.4420797374716,1.4347539053654408
CSM5MCYM_P,1.3578123704078333,-9.539734973631836,-4.967849710695303,7.270155235040795,-1.1773112490964506,1.6838579866294683,0.13966683877830507,3.1109922837798125,2.7644595233267637,-0.358086998187417,3.4204564987820554,-0.4251010828655423,-1.1153006895094013,-3.9807813415315416,0.6877072892882107,-2.1097952717367603,0.45340779043168133,2.9400044677782398,-0.5499621843877613,-0.23275756524589375,-0.18305187678203388,-1.063676191563693,-0.23997689645904413,0.13455019267619434,-1.0998927086728045,-0.2319740893989418,-0.550458391166539,-0.2808740603150828,-0.476089489437226,0.23467083725199003
HSM67VHB,3.3040714165845424,-14.91311308148996,2.636381031363464,14.414000949951207,-6.312799977065035,-10.944930875655366,21.668171299395908,-0.6338339879620253,0.9053589450352968,1.9216444757161741,2.447446065091723,0.5150807450935994,-1.8395714937007863,-2.1059759459853766,2.5646274515858827,-1.42952483457132,3.243153250294465,6.270690667326034,-2.1953997393124065,-0.8532689706646264,1.4313517597559602,-2.864606883208185,-0.033276592408547516,-0.7420427885571478,-1.0207840236517085,-0.17318386895108115,0.7011420895186594,0.34914917040385707,-0.895402179528614,1.984558549782701
CSM7KOSP,7.620461862489473,-12.028328550759825,-8.093681437577633,-6.7264072224295965,-0.5140707221286172,-21.959314603103405,1.6037820796426174,2.479262378855076,8.883236281384752,2.7477112364122642,5.521452810133448,8.266387251438935,4.836781141629589,-8.052165511919359,-2.9474329739812735,-1.2810383341375464,-4.978893616278703,1.5855773932604325,1.9594220642441729,-0.7333460950284286,0.7062424738665412,0.5192173192946584,-0.4247588043911725,1.0993688273992581,1.0028201069806608,1.167994907498329,-0.2846896759385099,-0.03669286570859082,-1.0781795142803006,1.2184039131836781
MSM9VZPT,3.570632028622589,-9.315644542099045,-1.5455909918124602,-0.5399902193247679,-4.285258085588238,-7.974737973680384,-5.329368163413743,-3.181134352853059,-6.610818114092011,1.4768907192040037,-1.2528837369993573,-1.8585633952950669,-3.085129136640762,1.2747407835915794,-2.9707213107694552,-7.17740988816412,-3.8602456072235207,-0.6974719916138752,0.19636792442017748,0.8818130072564161,-2.775918315393044,-3.3256856430669974,-2.8537091527990324,-3.70366808566441,-0.8154487726650214,0.222150701720896,3.635748370989465,2.048747036110469,-1.1149423004049412,0.7978708858790782
MSM9VZO2,-34.954141978980246,33.37712967910259,-1.5404892185790517,-14.103450873212637,4.198173031711261,-7.218382932753374,9.433056429881674,4.155336864212705,0.01617789461228139,-4.306884264990256,0.9379265741170296,-1.2032743142220725,-0.8782333342868814,-0.8793182228465987,4.200330720651157,-2.0507028897271935,-2.9968152338464953,-1.4132160498822104,1.210455684073572,1.5141018187768172,-0.6541260138189793,1.7504054168792895,-0.8707708871645601,-0.2889606299585749,2.4483501713744213,0.8531816057643902,0.11935057984371614,0.47495253514450536,0.22765501150608008,-0.24690331433140594
HSM7CYZ5,7.132163686603884,-12.319217632940276,-8.918283231317991,-6.069180368890579,-1.643774287471078,-27.893105315647926,42.46366462259987,-2.560438298741326,-3.3164517915713145,0.6140746772553016,2.187816823854419,-3.0967264111881745,-1.8905607563547242,-4.047644471004779,-5.444637690804567,0.24922849756554372,17.50883582228887,2.0399524550951234,-1.2107292287599238,-3.75813415127519,-3.719214622577503,-5.055108602471239,1.861135171694373,0.848892561839227,-3.069243108123941,1.4932602129288932,0.04317133579171993,1.2451289353631352,1.0198699892850647,-1.5276543429787601
CSM7KOKH_P,-21.457082182827303,16.122979131241262,-1.4160649579695435,3.48450324225725,11.63767582966691,-2.9277895574922796,-0.7957308444904826,0.1503901788146039,-1.5271241410775371,-1.9601070904375228,0.8648247332075373,-1.306656440179492,0.10273018589880742,1.1400049714682343,-0.18723079704648882,0.6654834312898477,3.359336093696054,-2.2303261241175254,0.08534548735008816,-0.9784007695169371,-2.883643168962151,1.9109176582795016,-0.27185256716775086,0.07246892393416132,-1.5015001762493663,-1.3417167398535594,-0.3450884418378661,0.11471615825067055,-0.45442215725897567,1.5135709354871936
O2.UC13-1,7.867998212910949,-11.588880887347583,-5.85327185409209,-3.9687392990099224,-1.4139454126309272,-7.030035650023126,-6.20232495378268,-3.065480293156372,-6.043764757870452,-1.719808361109992,2.1711350553791444,-2.633092635536206,-2.475236395788702,-0.26381514590412725,-0.2569007990499899,-5.68972524083732,-0.7593032567325829,0.863018309297927,-0.4639262423625381,0.8567211497955839,-1.6053487620002094,-0.6664568192591125,-1.7962694091287728,-1.1798569519157707,1.4713694075082902,4.209948182619649,-0.6078842760373134,-1.8983872900013767,0.20988549495837922,-1.5450457900154193
