,PC0,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29
DA01089,-1798.5789600834007,235.24202424410458,-120.29869252403775,123.21413933571075,-504.81818888588856,309.82006886312035,-269.13218135181927,1163.8772269963392,385.2530450787832,-942.0915966773549,474.61600774115306,296.1408356479986,-1011.8396405755316,2373.7992212748904,1255.9473934560374,589.6435473106777,-594.3371314302273,-618.348585048467,341.5273257645355,373.902796802953,-254.50406187935488,-243.54333296703177,-295.53150634002225,115.43964363445434,-143.95955966968182,-145.7784340687061,183.10084835949883,79.81283136352161,139.26482150704078,100.91811932170532
DA00687,3395.375840782348,-200.0389509171624,-24.86157019448459,249.6438823199502,55.049890800965464,26.95140779555951,47.8108483129406,11.794952515491692,-49.10793703747723,42.682884220851726,7.018568735321422,-7.041453868603124,17.110078295612958,13.33055211542901,-65.63842497776595,49.5735123212222,-188.55376040835188,57.98764820795329,-41.57836461917108,105.85010146035953,-90.00443319200058,129.05251401990944,-102.34655212215199,179.6906522245064,-45.3355934705964,197.17105612342368,48.6170389481127,30.283429851634015,44.806475600597295,-49.80656556957272
DA10065,-1341.35683108958,-56.74386959330096,-196.06608132985608,-692.9741533036741,-416.17545756444173,-621.029713901385,620.4402810778442,-182.27208466830248,84.65731297145311,111.66407747188163,-31.65313501492808,195.78166195855508,-116.22379671911152,-134.06544655884895,3.286855566968675,64.69234834352515,66.75421802932522,54.89199882103065,-14.737978950581196,31.04213781780825,-71.89740249786013,26.279294778470664,-230.35388042983365,351.6291251049659,148.81445450489193,149.97111807030623,-15.172434102777073,-18.760351735569778,48.06408305485766,-120.46027190446229
DA10143,5509.198178548548,-478.20262541142694,173.8393964848068,506.8902631645303,264.02700438585254,125.29447483379407,173.7066084400905,140.2989431294304,61.48032394107847,-25.176115591117494,-68.27771385326659,-35.593191127596626,-15.755622689361603,10.295419599793854,-68.10677586785872,15.231952234675427,121.35958583769076,-1.8924292552122266,53.93735626498876,127.26663741587241,-14.52801648157703,90.84181219038663,42.77433308257648,187.7341158188552,-72.0586001216975,109.89544774705227,-1.5295517047147966,23.506719522885223,24.524975700098107,-32.58019856318953
DA00592,-1464.716387701832,-354.09479389513825,75.32344081141649,-657.7729347932234,36.9724145755956,-305.878014064592,659.9299330513381,-104.225381563203,-16.43718693723794,69.68290062316368,25.98082319494737,-111.2689122998462,-102.10343553606725,-6.055436381423502,-63.77424192130569,-22.31021093445006,-182.33168858973514,-40.36719622288279,35.72846403095685,-14.016850394524756,-16.06812490451831,-63.25447279588163,-22.087320608853652,-77.33911219233568,-4.178075523217831,10.701602693646837,14.956921445264003,41.98942419054381,-17.36275789854851,35.91330244223881
DA00962,271.0052533439379,-517.0054047884227,136.76507644294665,-49.79110519969753,12.858032080793032,470.0640108965779,-384.7021950834064,-154.64570791455287,671.5112689326388,926.9492734364134,748.3859637179462,387.37544815026064,284.20113376299327,122.2430026920082,-110.22665065029076,-23.52475611940156,305.23584272827276,-145.2432236621183,-325.7247912967301,284.1603007400557,-123.32065498750683,-58.156341093744096,-45.90910371729365,517.8367900103545,205.60340211793613,335.82131070582767,85.01903797224664,270.5858571810242,109.45619017260039,-207.06657832666596
DA00170,-36.7717092426338,-325.10241081750024,148.3299738489025,-321.96477359723247,12.018016139189148,69.54716184812389,33.17333593730177,-151.6426897138177,-17.369690593661044,223.32183226410388,78.29440242685368,20.98783553108851,-39.46297104253601,68.1585295551676,-142.88042100045485,59.62676294513684,-318.5583657891333,-41.209066847204774,-15.599219731685906,-162.1064536081672,56.01516051677312,93.31945522645216,-79.51601826513108,-17.103537333708147,-255.0192779054906,104.67897849729636,-210.74571285427714,16.09214610799198,54.334609134999035,-49.2281137136617
DA00228,-1950.265778662669,-401.5082084586381,-743.2696521990209,1790.1168976075771,42.34063436098536,-72.15914250702154,-445.9588336102243,273.0906600376141,-83.99514079801104,-100.74557324920781,122.75597912395673,-5.868853460857801,-222.92822886149676,428.7005759794915,134.89982034213602,50.71594339678835,-130.62580119355948,-86.64091477345315,60.950455774695236,55.3151904408829,-33.841173430955365,-11.90089897243291,10.903022524619782,24.024298158728307,83.87096531228191,-30.075100841379935,-20.56059479677308,9.486199692084872,14.672700343746957,24.08015087687585
DA10030,5469.9234758223865,-455.89592982653505,124.87400034826427,528.5704764695781,139.40192503538475,90.1213255757819,199.33779420396237,161.6084290210397,114.21217077807171,28.98526574548658,-148.96599108974226,70.62716098655817,-122.97324311805687,-28.22028943180882,-224.59675183355785,116.03691101151426,-255.52291539687835,100.20977780111133,-74.04097607413804,54.162986323239984,-56.412251757142464,51.18379037735375,-114.37730478034473,-42.61620948029265,-32.17497157096855,2.608988437753101,11.638382859877954,45.80441632527709,-1.973419504506621,-48.54492520209216
DA10101,-634.9330864649556,2178.1901049919375,2887.799710221125,565.3584313385146,-21.11679345758615,-256.9638088022292,-310.38149279248955,-143.90505987637647,-273.40248066607035,-66.4575215581793,-268.6027283173833,371.7256389882375,-84.5191245672331,-26.719457737810338,-200.4488979781455,135.09750936329868,-130.83331677842833,216.8719156637167,82.35638877470494,126.28018385737056,199.60919752298142,-105.35998397915803,63.710523671767874,33.22084988684152,216.19292200021448,-29.114579969940507,31.067822889065965,7.124357040125119,-19.57691405900687,-30.546370299240067
