,0
batches_shannon_pval,0.4119568727647026
biovar_shannon_pval,0.9429282150349925
rf_baseline_likelihood,0.5522388059701493
rf_average_acc,0.6343283582089553
rf_macro_precision,0.6417027417027417
weighted_precision,0.6400895953134759
macro_recall,0.6105855855855856
weighted_recall,0.6343283582089553
macro_f1,0.6004867660480682
weighted_f1,0.6126350299006943
auc,0.6105855855855855
batch_aitch_r2,0.011089253397959633
batch_bray_r2,0.0010968762936721564
batch_aitch_pval,0.063
batch_bray_pval,0.996
biovar_aitch_r2,0.013982858948953984
biovar_bray_r2,0.006631350915576201
biovar_aitch_pval,0.007
biovar_bray_pval,0.496
