,N01,N02,N03,N04,N05,N06,N07,N08,N09,N10,N11,N12,N13,N14,N15,N16,N17,N18,N19,N20,A01,A02,A03,A04,A05,A06,A07,A08,A09,A10,A11,A12,A13,A14,A15,A16,A17,A18,A19,F-021C1A,F066-C2U,F066-C1A,F065-C1A,F064-C1A,F063-C1U,F-055-C1U,F-056-C1A,F-057-C1A,F-057-C2U,F-058-C1A,F-058-C2U,F-059-C1A,F-060-C1A,F-061-C1A,F-061-C2U,F-062-C1A,F-062-C2U,F-039-C1A,F-039-C2U,F-040-C1A,F-041-C1A,F-041-C2U,F-042-C1A,F-042-C2U,F-043-C1A,F-044-C1A,F-044-C2U,F-045-C1A,F-046-C1A,F-046-C2U,F-047-C1A,F-048-C1A,F-049-C1U,F-050-C1A,F-050-C2U,F-051-C1A,F-051-C2U,F-052-C1U,F-053-C1U,F-054-C1A,F-054-C2U,F-008C1A,F-009C1A,F-009C2U,F-010C1A,F-011C1A,F-012C1A,F-013C1U,F-014C1A,F-014C2U,F-015C1A,F-015C2U,F-016C1A,F-016C2U,F-017C1A,F-017C2U,F-018C1A,F-018C2U,F-019C1A,F-019C2U,F-020C1A,F-020C2U,F-021C2U,F-022C1A,F-022C2U,F-023C1A,F-023C2U,F-024C1A,F-024C2U,F-025C1A,F-025C2U,F-026C1A,F-027C1A,F-027C2U,F-028C1A,F-028C2U,F-029C1A,F-029C2U,F-030C1A,F-030C2U,F-031C1U,F-032C1A,F-033C1A,F-034C1A,F-035-C1A,F-036-C1A,F-037-C1A,F-037-C2U,F-038-C1A,F-001C1A,F-001C2U,F-002C1A,F-002C2U,F-003C1A,F-003C2U,F-004C1A,F-004C2U,F-005C1A,F-006C1A,F-007C1A,F-007C2U,F-008C2U
N01,0.0,0.0427845229757538,0.0477613080742377,0.022834230957732998,0.021254251260159108,0.020142476577584986,0.033772043538206946,0.014296739402113786,0.015466172372071882,0.014872089188278674,0.04945780194922412,0.045616461176499014,0.052932292653861984,0.05030674777662863,0.01734625561067024,0.017603505390552335,0.02516613995558648,0.05225279004506183,0.05290205169358611,0.04206813566684473,0.050208498658917036,0.05469952030803924,0.020008338491566312,0.02081187391479476,0.06255512790752583,0.023380573238441896,0.021867563779908297,0.023620290188780414,0.02294628276899719,0.06991195996131784,0.05189804456151831,0.06448796364937556,0.04642328299097758,0.02005621422138295,0.050438054267946314,0.0225443531657654,0.058554801422750144,0.047032171096187056,0.029651850651960455,0.06592644577925598,0.09078064440550294,0.043802262376584654,0.04427677811665774,0.07373218667048385,0.053518221336657734,0.10803378742356841,0.05708041226850371,0.0691475001614883,0.04028555034896452,0.04041696556589,0.04574254999658169,0.08069015933632116,0.04758498124817592,0.045236035895597056,0.035942507359842536,0.035002647800392674,0.10333119275993222,0.06271681193965062,0.05384556748410731,0.06286566792403368,0.04884127514478347,0.04527632460281924,0.054075359553455736,0.05018797085713201,0.05454946389501868,0.07731096134795869,0.06804606446265414,0.08716377697657866,0.054110575541074,0.09697312055439167,0.04670827819027696,0.03784864137464194,0.05985942110216364,0.05332304908739754,0.08022916028699803,0.058425222250538714,0.056220370078363814,0.0911687295180584,0.0426459905553179,0.04250068293833473,0.05135490341618651,0.05484449176537154,0.05865316590110135,0.04673418451054294,0.04948000425388423,0.12363371739439892,0.08507378763257245,0.06646509604829298,0.0685993235746432,0.08676173596960679,0.039442496658388046,0.05299234211118047,0.051412978764712354,0.07492644976255419,0.10980448772421024,0.09956692648102154,0.07599486949746308,0.10404416714890038,0.06399942307928429,0.06523488825816706,0.06915204959919291,0.07725035171482825,0.03565890868798565,0.061078525661888185,0.05579237445528325,0.08626671692694206,0.04784428877876333,0.05995468050777065,0.09172805411794495,0.04819221094345827,0.05157905308845801,0.05098867401454125,0.08417746585256478,0.06298218434970947,0.08862711425659058,0.058279390674281284,0.07564394595085192,0.06334432696060209,0.055880391628319016,0.07799295979677064,0.10285842648587483,0.10264438657043219,0.06685364204252091,0.08016074515276207,0.06660469667515359,0.07830694272890817,0.053486026283870884,0.05009049672808503,0.07451573949320442,0.06687724279830545,0.07808404052013268,0.09884406058704906,0.058673268761023994,0.10595698168940207,0.05392186921692791,0.0994791868598135,0.05653213811839122,0.07537823806778841,0.04441459681306231,0.039983040070434746,0.09583717139124881,0.043283184914864936
N02,0.0427845229757538,0.0,0.03671369097716284,0.03829199862438315,0.0386818782911578,0.03995608750723943,0.046043766271234327,0.036283098442116586,0.04306779274048382,0.040300487405002625,0.026266865960833025,0.03881351090275545,0.044106021576038976,0.04131371978640602,0.046885669347419154,0.0336508014591827,0.04723298033938376,0.043695271347914316,0.025999227020107044,0.041170415244428486,0.03361007687459813,0.044329022599191685,0.03494135542886523,0.042274019733153,0.05661141275677504,0.03520809227097764,0.035087461081456765,0.03419787208329486,0.04519264026871271,0.052558461316945825,0.043149210312554385,0.05763108215404119,0.036642437821679474,0.0374549800760717,0.039626040880426074,0.03851008196048806,0.031077404534471945,0.0209233821099539,0.05327554477473967,0.06789219412192284,0.07566026909322636,0.03351306247292403,0.03991236575350763,0.06492893601796274,0.03559809309021125,0.09865573713800052,0.046872475202293616,0.05840002054023294,0.03345856281661514,0.03929816822108259,0.04371939709205516,0.0738095448116713,0.04093889042953042,0.03708635650373546,0.04964346944799392,0.0491428288839081,0.09881018218761453,0.052091127206553095,0.03942705991548404,0.053294070125319046,0.03038391441260095,0.04719532571569659,0.04956483698578321,0.03868680515799565,0.05007954287357075,0.0643097186841062,0.054709559510945305,0.08081794790592083,0.046342130971002676,0.0795157939253047,0.04087706970830304,0.040464713239697234,0.054496603168426416,0.04401916624527858,0.07004466215318554,0.04945483842699893,0.04494025855375688,0.07611229021590174,0.039301619393296426,0.051762745659816645,0.041606819751697784,0.04799790363520914,0.04122826135577502,0.03522482756680968,0.040206179476215284,0.11654248871870385,0.07598245469655743,0.04647663226982369,0.056970377896721595,0.08250443024576433,0.06056161247948781,0.03802846220311,0.06026184884038686,0.0580083297858807,0.10415898210869065,0.08981460426093968,0.0717383594861714,0.09392832698869023,0.056554300706289654,0.04813639887836229,0.05960574710743141,0.1034532553909981,0.04161891405340824,0.052303646634483,0.0442024117737459,0.08183528474096259,0.05164711697093051,0.06849231505060852,0.07496248917817258,0.0407472455488959,0.05780180355989715,0.04592867623787987,0.08305157427876086,0.06250034350250455,0.07921958194297435,0.06228735669793059,0.07854272100647733,0.06330067196877377,0.06625831726693768,0.06464210541309398,0.09410658196106886,0.09203042152226229,0.05119400877412048,0.06351423664375945,0.05950037363984436,0.05981356258029737,0.040336034257034824,0.04500530117660241,0.059323672707116845,0.09817073779546409,0.0889897229347767,0.10870099860189288,0.061134860005287096,0.0884581856908169,0.06252646366767212,0.09242871729258835,0.05625495438876017,0.0672816404938108,0.041941787159795386,0.029829950350677183,0.08221846422615232,0.038760344893988885
N03,0.0477613080742377,0.03671369097716284,0.0,0.044252479506219064,0.04068296964255219,0.03872094010642395,0.048399407320403126,0.038730367717715486,0.043472049693644016,0.042985264707015365,0.04388804412942747,0.008999742680785629,0.011006864257622574,0.04322717763010373,0.04813157870495014,0.03661585338960564,0.04963380912256943,0.03841419403308576,0.03929525300507549,0.039895970249326125,0.04503219018247409,0.042106159029199494,0.032552212292518944,0.043330692090171895,0.056912189427838863,0.03743739382996531,0.03288911230959608,0.03195874548600817,0.0492113504232225,0.06582841185243099,0.040664434786461555,0.05855132288048073,0.0066071344588488545,0.04090922037262439,0.037457697727744356,0.03669774965966311,0.05241460890568777,0.03195347692577273,0.05908707368005203,0.04249180126605588,0.057557999648313055,0.03656109910730426,0.03723555167062575,0.040464741901959776,0.03197091147885142,0.06969713544939611,0.04211767135393419,0.027311916301158364,0.03375430206124464,0.035287390684199976,0.03608131737088437,0.04259507776792061,0.03601257425668472,0.042892544155589,0.044140540015530964,0.05280566666972986,0.09772459538885468,0.028918408740750527,0.03416376205839983,0.05108058258553501,0.028280816730347717,0.04261774826014713,0.051129342396896024,0.03215911739316619,0.02298205862488777,0.042553795468865695,0.04462806053213203,0.048640962930169944,0.04750744244963795,0.05854272207490159,0.0455831399016336,0.03951521721763537,0.054458203680502255,0.029773142259616227,0.06856070200506209,0.024375444843673294,0.018648674638073116,0.05156947909320836,0.03650466569114065,0.02449075091550532,0.011914238876398324,0.04670421373302959,0.017074411083964788,0.03376187511248159,0.01781690490642082,0.08640638505479073,0.06844264458886608,0.04300351859627947,0.03514525841017659,0.05101121176707132,0.06216203854038812,0.01721833775180925,0.062204803480411325,0.05082570164259229,0.07352841461180067,0.059378127149737364,0.0429132080807794,0.06257639242023684,0.049060851123221574,0.038894782745479584,0.02637325935425654,0.10204440299212075,0.03647079867912994,0.03076067630520639,0.029705757654959995,0.054839515770548804,0.05171087652196433,0.06352934829230884,0.05052247213479837,0.02337739392370779,0.02915383393881242,0.03545599728363343,0.051468780876234896,0.034739595693380435,0.0481279474455624,0.036207868191138796,0.050219524034314185,0.0351310361235123,0.03734562989759909,0.0434861315954351,0.0617596266308505,0.06375937790971947,0.024972802415841027,0.0658214778980401,0.03090083594032849,0.03496950729948937,0.03331468995678794,0.023606527220259233,0.03432401436160308,0.09546926849338777,0.06791231690116134,0.11622894621086169,0.06354902424897658,0.065627087448676,0.03715175831386569,0.06465538804490707,0.02526597502570883,0.035767586722419684,0.041268236863075784,0.03751427403543792,0.08744758490983573,0.03852025901283612
N04,0.022834230957732998,0.03829199862438315,0.044252479506219064,0.0,0.01439527880248711,0.019618590123507022,0.02616797342360114,0.018525552396328568,0.028422350644167156,0.01961118162940459,0.03781813995853173,0.04262650826928903,0.04859300710935296,0.04392615386997003,0.03308954921859733,0.020707095276954093,0.02242584785280501,0.05002845150285561,0.04191175844211734,0.04472900580591308,0.05024827183264585,0.04612470229691256,0.018361955190173692,0.021117033341740286,0.05789225500510603,0.01675019832941922,0.019132046424900233,0.018888649874557965,0.03692198979630881,0.06699218543103769,0.04387479966901282,0.05867348641626577,0.045180996948996265,0.019820398260529844,0.044162652998471864,0.01476102868590841,0.053097722442235915,0.038171934576394666,0.039132476656678,0.07249372165775425,0.08514103148124533,0.036128260298610174,0.03706857869430386,0.06819955379741745,0.046300107925796384,0.10367447209818867,0.05060532145344378,0.0640974346158685,0.034759312788192,0.03535107759817221,0.04743021346533065,0.07561389652358722,0.04566084935417137,0.03396391854566214,0.05047995413488209,0.04600942602751493,0.09974750694006505,0.055140314930581094,0.04622619725762796,0.05590689835734356,0.042611936874561426,0.048145821079820586,0.05021955822923068,0.045529131718394664,0.0536858488997716,0.07130193080021031,0.05982138363137183,0.08542711679804739,0.044898947406394885,0.0913034000373244,0.037662834276893035,0.04792815245711394,0.05894729699485049,0.05122596220508496,0.06799208748334311,0.0486410361512863,0.05935616281383399,0.08662624276293955,0.04241422973468473,0.05266279948911273,0.04821143980413956,0.051209397831635355,0.05261076169121241,0.03979367636126131,0.04567343846575796,0.11929403843022961,0.07624762064123386,0.057145534126599604,0.0654207550584255,0.08858449935975723,0.038818831082989266,0.04919057710857197,0.0421070497226806,0.06096073992389895,0.10895179022887912,0.09645863151554988,0.07176324276478234,0.0988352234417339,0.055925410722330794,0.06132355789924025,0.06318831188295813,0.0864732788028522,0.04815037904281829,0.05642303063860747,0.04777412671048229,0.08146287807219259,0.04992434759798377,0.07243744647315002,0.08940072609672711,0.04376830504823624,0.0647315606067371,0.04032585317605754,0.08901890558198704,0.06963226458163317,0.0830082792582276,0.05243954034999281,0.07711049276532655,0.06254538476536754,0.04917546946440457,0.07215216634280647,0.09854087972384172,0.09444977502945702,0.060498408602272534,0.06922548396768365,0.06806684632140826,0.07252314033967172,0.04829270295697202,0.04933472399843611,0.07088462944787668,0.07564996286548792,0.08761948334064905,0.09070562705632905,0.05560895934492445,0.10358675498569322,0.06720698458614165,0.09380187972961421,0.05969923220196141,0.07444585702844113,0.03856480323368252,0.03686049338733829,0.08542737544310877,0.042102148015368615
N05,0.021254251260159108,0.0386818782911578,0.04068296964255219,0.01439527880248711,0.0,0.016486384869663497,0.02611165309039551,0.013457671993094406,0.024487016035798566,0.017479205999481304,0.040817613758570334,0.03860549522462408,0.04859671905555863,0.04581456324665179,0.029801964599083762,0.018158162320671384,0.018858004943353913,0.04399373810401018,0.043403587259042496,0.041302963370583104,0.04984066665394947,0.04927078773834089,0.014887185875023346,0.017017235510517485,0.058596226481201726,0.015578956779162961,0.01724308829233607,0.017462520642242487,0.032387366869082654,0.06579437807685852,0.04673401962505961,0.05988230740909722,0.04065274716467186,0.021048808293271572,0.04436239404492202,0.010794217712303012,0.04784630605861495,0.036479415877691594,0.04145428705368883,0.06847480591395912,0.08287223703005334,0.036840378824244686,0.03665938197436786,0.06795407205496548,0.043305847689493436,0.10098714727242755,0.048364948553362735,0.06165012299767432,0.032427877870379006,0.03248535936941104,0.04735101355927972,0.07347393048057219,0.041617051006473074,0.036790925699199395,0.0483248561332873,0.04671208718718121,0.10299716985511953,0.0573518337290651,0.048054579427605666,0.059847905029314016,0.039897713711262835,0.04812962349614938,0.048552681851046595,0.041998264728258086,0.04918201039358086,0.06754250363434944,0.05881305279052999,0.08378186724163367,0.048393837021405435,0.0885509185030582,0.03942016042622391,0.04558206729286475,0.05803614186681189,0.049538672620286904,0.06897578024436672,0.05404173466263061,0.05605591744745647,0.08345648848826276,0.03916940169078017,0.05089061202833214,0.044305845193119475,0.050928473135322214,0.04935049218072406,0.0375237095428771,0.04311823333732329,0.1177964814504615,0.07851193152866291,0.057527713755865115,0.06254910216969836,0.0848545884619179,0.03851355428457033,0.04706872213714031,0.04038576098486943,0.06679155221788864,0.10756908895883353,0.09324540633901111,0.0704240004191476,0.09579586346994141,0.05899808202711596,0.060668346603293434,0.058995498848764254,0.08250665496895637,0.04594520751937167,0.05538662098127968,0.0467852529150828,0.07882681406474304,0.050573934560618705,0.06978276351062386,0.08592393743698705,0.039560442500716685,0.0625021703478057,0.04480977332510041,0.08641297936262576,0.06862045814809062,0.08043776535495392,0.05113289560451785,0.07539290114308418,0.05853205946917458,0.04780612834340794,0.07022377656994086,0.09620630842102695,0.09540828313364064,0.05899186171888345,0.07090159812292417,0.06538119732043922,0.06904078181740969,0.04843009194952727,0.04843038062389071,0.0669313511684873,0.07461352029926016,0.08777510059396496,0.09016110795893376,0.06046152326652779,0.09903702770331643,0.06326744823513432,0.09583133774449686,0.05916294611210482,0.07140200262759865,0.038507868694727956,0.03554485763048546,0.08809503123973778,0.04408006447005337
N06,0.020142476577584986,0.03995608750723943,0.03872094010642395,0.019618590123507022,0.016486384869663497,0.0,0.02903614993600237,0.011870053709617502,0.017327641256586125,0.015770230712440967,0.045771129905021135,0.03662167016673016,0.04362086293682487,0.049422436135206034,0.019587176694576946,0.012969234630993693,0.022347081815182128,0.04436369980354875,0.038176115665152645,0.03439058414885406,0.04223022033113616,0.04902712034574158,0.009988445859771098,0.018740610443311656,0.06149061841558867,0.014854350723079468,0.011746944923231058,0.014942457924021523,0.021706055811489287,0.06706723750343864,0.04633740263780793,0.05322035655292545,0.037705954630943686,0.01288178031107228,0.04202592888738769,0.015155670213505088,0.047550892259552356,0.037861785496337876,0.029773919790665758,0.06436953934948134,0.0837999485632688,0.03828214657559494,0.03546117593240372,0.06798547844299362,0.0437610711370785,0.10082278023553971,0.048498517158551,0.060332685769384484,0.033370275147897796,0.03219215183838368,0.0379844123160297,0.07361003827964856,0.03899189624925476,0.038670142847227695,0.042678915692872806,0.039683332941983174,0.09724730843471353,0.055668752274313914,0.04694081964089856,0.055690635996133754,0.038721551330205495,0.04038620411467206,0.047346223191967914,0.041969777036842404,0.04524500488944294,0.06861759378485069,0.05631555356233864,0.07979521432560881,0.04716543523839017,0.08886912106869378,0.03466875566082004,0.04040770295444572,0.05299919718113127,0.04479149074363467,0.06599636215732763,0.0541873138502115,0.049617943162528516,0.08240185908996969,0.03401989069350486,0.04310942914505774,0.04257544390879955,0.0471172016167691,0.0496597293010671,0.03717729988856586,0.04206615398693646,0.1176511956046688,0.07494536126563754,0.05565906791328527,0.06012420786959287,0.07912056566999232,0.03846724328961123,0.04325150668475314,0.04630691703477638,0.06646348894201973,0.10323697931510616,0.09184230807152262,0.07020560938491054,0.09593931085135139,0.05608012841198604,0.05409304830659836,0.05945232448944344,0.08257753894287519,0.03832965613897598,0.05772765989830967,0.048046227580139524,0.0782495805454997,0.04081047505184418,0.06369262382995024,0.0835052328436518,0.03865743582676567,0.05909200139573372,0.0429647349846606,0.07941555159582794,0.062077888383716105,0.07971870383902381,0.052422368685183025,0.06887822145979343,0.05548541708540031,0.05039948273313135,0.07095943694962635,0.09447122931337971,0.0936350978874875,0.0597510148831807,0.0673422818449673,0.06088950529098157,0.06958556507356989,0.04187285789018487,0.04069337578739663,0.06627891144809282,0.07318792185204245,0.0834967554643354,0.09606477456585708,0.05346112726197824,0.09693495213718416,0.05770801226897988,0.09510164759105974,0.05041163057821674,0.06680145383404054,0.03699179291968111,0.03508822839912476,0.08404827645125759,0.037561318558471925
N07,0.033772043538206946,0.046043766271234327,0.048399407320403126,0.02616797342360114,0.02611165309039551,0.02903614993600237,0.0,0.022860854660929308,0.03325935478734139,0.028131798106955756,0.04861430654358435,0.04652372096228308,0.05433904408459659,0.04991240705809545,0.037927542461237806,0.027908314319263043,0.03659174767808471,0.05042354276652673,0.04835674821679939,0.04828878653944242,0.05628420295141685,0.05431509358216457,0.022283308256364945,0.02974465898932511,0.06499741230065328,0.020349390276285396,0.022484354788489366,0.020764142239964464,0.04191050818422806,0.07271286301948257,0.052385743076805796,0.06878269795957213,0.049464956900343214,0.02672282174182302,0.0521313187326418,0.023875569386247047,0.05760695932475816,0.042822387552230785,0.04966649782438581,0.07935108013911323,0.09045952368490563,0.04289280222875437,0.041490340626292865,0.07507388821014764,0.05196000879764652,0.103919205255869,0.057467896360078194,0.06741742353627271,0.04111679927716161,0.041327371463159485,0.0542746425819982,0.08092627575869768,0.04941575543689378,0.04291451126538456,0.056935988503332625,0.054491414903131856,0.10768307716707956,0.06331149887897504,0.05535949973626797,0.0633851398345893,0.047509770429468356,0.052920933380608104,0.0556998898953006,0.04881239286918689,0.0578319626143237,0.07596657210502475,0.06663464012709168,0.08773273511645521,0.054128105472150564,0.0952097388076729,0.046908743387986715,0.047245808633227145,0.0640966358022735,0.05643314389451175,0.07799082965501362,0.059950502659354414,0.06326361019452567,0.09208450293309946,0.04693081967521345,0.058802080138060916,0.05173039257577992,0.05620509926311868,0.056739815952940004,0.04526534727161657,0.04995161710754209,0.12333207008841973,0.0849087909988123,0.06453225697959251,0.06912228278360376,0.09145610600116194,0.05333297400670831,0.053477158466404884,0.054529258079018116,0.06681613529649284,0.11298549318487044,0.098517728367449,0.07564057604389654,0.10259788126601115,0.06650752236120698,0.06816711587770072,0.06823349563997075,0.09743503716331678,0.053283058070502515,0.06393161039227369,0.054029015142126505,0.08411875299707272,0.0560647112144689,0.07475428024881553,0.09271723486002334,0.04807519176883247,0.06792248125078859,0.05056200483528852,0.09287688619174247,0.07435596601874436,0.08658964496508254,0.06019665953861399,0.08076290575118576,0.0663612132184928,0.06075187565286564,0.08030834375310637,0.10300680310421856,0.10056442820669916,0.06251816013769523,0.07736494862729595,0.07333330285872185,0.07717444918107395,0.05608304733608872,0.05401413245155318,0.07470072222374206,0.08883422280766201,0.09401827306699377,0.10584507722292905,0.0660806603971082,0.10874800029225232,0.07117632251750163,0.10244671923446069,0.06483267049041298,0.07670507011795862,0.0460195456316171,0.04382556123486205,0.09534366095855952,0.05098978174057601
N08,0.014296739402113786,0.036283098442116586,0.038730367717715486,0.018525552396328568,0.013457671993094406,0.011870053709617502,0.022860854660929308,0.0,0.017631731806428245,0.010455743362814155,0.043019411505746834,0.03632253712866954,0.04411793127858362,0.042820673699910154,0.022806858314826733,0.011660042259786098,0.018731686946573813,0.0413853997000017,0.042997096911349945,0.03468714783081892,0.044594410789882584,0.04817994911243409,0.010240168225674806,0.012208880533620162,0.05573585116232816,0.014021281163737853,0.012163550706764153,0.01273180863573365,0.025945362329401422,0.06298024822824694,0.04580589137138965,0.05851828624202942,0.03718547322618224,0.013455976172002265,0.04337920275144588,0.01492789414298434,0.048082664250179145,0.03673106139386852,0.03437453479820763,0.06507537711953555,0.0831049177661542,0.03418003606527864,0.03554442266552416,0.06721657380612979,0.0445113548830235,0.09946349414211779,0.048838146323909225,0.06027368897798677,0.03263059647511287,0.03144320303409632,0.04079120192254485,0.07342779827396043,0.03827619704332574,0.0349050076041364,0.041971837843405864,0.040164945947095944,0.09729749958278383,0.05664189642844884,0.04803572561148136,0.05797489458606653,0.03959612006430034,0.0401548366158983,0.04786063296249011,0.040674219213384495,0.04596625276698597,0.06825347824776336,0.06000254185810426,0.07923470590451576,0.044941042147713786,0.08874438390094834,0.03913093620913518,0.039753085015746814,0.053058712633812864,0.0452629384062871,0.07133348571432972,0.05407968507128222,0.050649905873529265,0.08322569857010544,0.033633491378635264,0.043925431186045236,0.0420481248404867,0.0457733316562936,0.04873749151610509,0.03760215334064477,0.04085261066072987,0.1168576257650303,0.0784521516157777,0.057805265560220045,0.06004435765720667,0.07875102061533934,0.036757438437735164,0.04370619160849396,0.04346689549085458,0.0650407948495999,0.10238825795822998,0.09047735992865222,0.0679566253003996,0.09567814246777893,0.05850069048744283,0.05650381221146786,0.060546087462843415,0.08437071700261684,0.039562096114545184,0.054682648665954785,0.0466274403155897,0.07782357266231074,0.045980081397818104,0.06388854096268362,0.08409713855560962,0.03941127486045153,0.055306478357999476,0.04416061676148911,0.0803566076704939,0.062460559474643185,0.07921918027133863,0.0512939163271086,0.06792018000450276,0.05472348838575646,0.05186868894615344,0.07206387776881609,0.09515338629059202,0.09489080300426853,0.058819258522624415,0.07139541572408306,0.06171549941907547,0.06935359048330533,0.04686755849543107,0.04140771559090045,0.06560233720949153,0.07611638702090151,0.0829003253887141,0.09746592783991014,0.056281357594395745,0.0980754193897364,0.057700089060684565,0.09558055499457355,0.05113188232067636,0.06710383247044299,0.03760338583156785,0.034178221027683614,0.0881710306241655,0.03698974444161491
N09,0.015466172372071882,0.04306779274048382,0.043472049693644016,0.028422350644167156,0.024487016035798566,0.017327641256586125,0.03325935478734139,0.017631731806428245,0.0,0.015860298435691943,0.04935017229147934,0.04074146067070835,0.04812317564627682,0.052521076386810396,0.011526713376991675,0.019656234205269487,0.03144632539452225,0.05096606831585749,0.042988896511057764,0.03842328639702449,0.04049509837247184,0.05424269556148646,0.01605524830065076,0.02483139901232063,0.06561986122450567,0.023319182339515607,0.01880684089332768,0.020497581001148825,0.01597922129934237,0.07105301777093312,0.05220521208304679,0.06115759544139135,0.04341566268409987,0.017765785840092616,0.05151131104263216,0.022666293355823285,0.05132465283614213,0.04187741403928683,0.026934566048241626,0.06238888415647131,0.08683728516559074,0.04111301618110299,0.04021086041039285,0.07349377569677724,0.04849321084010944,0.1056891700892471,0.054285069826903294,0.06613855903852697,0.037100259278457455,0.03968396970124914,0.04525915747293847,0.07967242759322553,0.04460633827817609,0.042454372867548044,0.033391037519563564,0.037938158583117935,0.10086952850369287,0.06077342993388817,0.05038799671702959,0.06034881663764073,0.04298893828536526,0.040949531114703,0.05255092389166378,0.04698111621289385,0.052319013195475474,0.07180993616665263,0.06167995385661224,0.08476504090696099,0.05039000261168312,0.0925493440577867,0.041137913396602846,0.0323753685785458,0.056157296582554556,0.04979845802423655,0.07112820288604783,0.05756687578794636,0.051422677837558634,0.08720313979371302,0.037758677890782265,0.04356845810579141,0.0477583555304765,0.05073171139748157,0.05326774467352586,0.04096867267990296,0.04784561219376173,0.12287628413105264,0.08173131393909101,0.05853125333283983,0.06639961642398677,0.08408895940833513,0.04351067406024878,0.04777945003268253,0.051857563181608696,0.06927303005256907,0.10870365026124351,0.09682637498033896,0.07593845219757939,0.10046155064209096,0.06090006003515368,0.05774408157862573,0.06574997553232133,0.07367035237669721,0.03169107766247418,0.06257974277075265,0.0525436294063322,0.08348021727997897,0.03905813053990839,0.053034904745942704,0.0873860957579986,0.04579508411697169,0.048402381162297656,0.04795495353154289,0.08208535277828534,0.05801639330351857,0.08543807235265398,0.05734669185536965,0.07421893203160712,0.06090322092691151,0.05910557651548512,0.0772412631645317,0.09969538754592652,0.09977776867866885,0.06246798737712708,0.07157361653026578,0.06166289968707744,0.07304227572643622,0.04665801664465855,0.04758707892799776,0.06941095806385393,0.06624315750089017,0.0726524503625287,0.10277006683340979,0.05651568664159571,0.1007957731140117,0.04799640192711219,0.10177421059987886,0.0570097024015034,0.07314469490255378,0.04392251205121617,0.04073505229584556,0.08955706128864444,0.04194209985820447
N10,0.014872089188278674,0.040300487405002625,0.042985264707015365,0.01961118162940459,0.017479205999481304,0.015770230712440967,0.028131798106955756,0.010455743362814155,0.015860298435691943,0.0,0.04646993778088092,0.04088729358012374,0.047382267529439345,0.04651456058846293,0.023056885037227248,0.015144762261681126,0.021893245016046906,0.047088632830005715,0.046324342037947754,0.03561622255325136,0.0438046190241261,0.050572660514864656,0.013364470184199007,0.014668124689959438,0.060171270715449816,0.020106092146821717,0.015032051070711459,0.018126222945249158,0.026000632534496197,0.06791871891035585,0.047279542925496396,0.06127474773343809,0.0426024233403811,0.014221389377954726,0.04803364059402332,0.016235241392577534,0.054123344593700565,0.0414236133951198,0.03397790279929514,0.06224968910400445,0.08497555029519897,0.03903616584143788,0.037845831383760645,0.07275653265749898,0.04633491284080079,0.10226582375727784,0.05317755598558236,0.06290636930296188,0.03636716457987464,0.036758186741846166,0.04291011237455985,0.07723653045872683,0.040766029164846104,0.03746028649828578,0.041245142837609564,0.0383011886337138,0.09868797928698748,0.05782601604169834,0.04942755357198119,0.061705268902631574,0.04153244749963678,0.039362430332537376,0.05086276580815964,0.043918175068976835,0.04890302175055534,0.0709710502250386,0.06179684268517494,0.08188498626962543,0.0460044905801601,0.09193301618277461,0.04352611084101054,0.03697736292726785,0.055454367992960635,0.04724445824572487,0.072933086920499,0.054583517719188124,0.04977552567293033,0.08608534678744967,0.03756045669002675,0.04332290583711844,0.044577757983916326,0.050184472813086786,0.05329030858162452,0.04182737474800528,0.045388641285653154,0.12031801967913562,0.08053484368235975,0.0609794952969211,0.0627659136382644,0.08132946225867642,0.03524703003977939,0.045865280902138233,0.04219428037440183,0.06753524586720966,0.107078958953451,0.09512535312165468,0.07322451934174956,0.09839433689358203,0.06328872211086467,0.0581213295984135,0.06316948866983636,0.08112224749699506,0.036933656483377084,0.05910352017887565,0.05060057176282897,0.08087046353814396,0.042719016391238894,0.06109035876253983,0.08516301223049419,0.04252226410131663,0.054860382555133716,0.048361370940085045,0.07906912693561964,0.06068409763774832,0.08362130154789026,0.056387134642653006,0.07243878918601677,0.05783510061201169,0.05453118419991215,0.07558990664422906,0.09738493718466369,0.097613809205383,0.06158713679209078,0.07488418044018713,0.059640278175044685,0.07159179244355068,0.04848715234426025,0.04486521894106013,0.06844760561150504,0.07274385690030223,0.08037170803623529,0.09911825315776139,0.05631975798157469,0.09894018777717314,0.05667554351090279,0.09871769000798154,0.054948327757299964,0.06971473194665906,0.04278268882406233,0.039687079854854146,0.09209711524542279,0.038888490607776244
