,Glcikman_MDR6,FEB016W1.01,DEB01624.01,Glcikman_MDR11,AEB016X3.01,Glcikman_MDR5,JEB014L3.01,Glcikman_MDR7,Glcikman_MDR8,Glcikman_MDR4,Glcikman_MDR15,FEB017BF.01,Glcikman_MDR48,CEB017CZ.01,Glcikman_MDR47,AEB01513.01,Glcikman_MDR30,X0096CK00,EEB016WS.01,Glcikman_MDR46,GEB0179R.01,Glcikman_MDR22,Glcikman_MDR73,FEB016P3.01,Glcikman_MDR29,X0094QH00,Glcikman_MDR38,Glcikman_MDR70,Glcikman_MDR72,Glcikman_MDR85,Glcikman_MDR33,CEB015DP.01,CEB01751.01,EEB010Y7.01,JEB0150S.01,X009DDC00,CEB0106R.01,Glcikman_MDR45,Glcikman_MDR35,Glcikman_MDR19,Glcikman_MDR110,Glcikman_MDR79,Glcikman_MDR111,DEB015RL.01,Glcikman_MDR107,Glcikman_MDR74,X009CZF00,CEB017KB.01,Glcikman_MDR36,X0096YA00,Glcikman_MDR13,Glcikman_MDR105,Glcikman_MDR67,KEB016MJ.01,Glcikman_MDR101,Glcikman_MDR76,Glcikman_MDR68,BEB0155H.01,BEB017YQ.01,GEB011FN.01,Glcikman_MDR86,FEB016J7.01,Glcikman_MDR106,Glcikman_MDR63,Glcikman_MDR9,HEB014KS.01,X0096QK00,X0098FC00,X009DCG00,Glcikman_MDR3,X0094NK00,HEB0102P.01,Glcikman_MDR10,GEB0183R.01,Glcikman_MDR31,Glcikman_MDR59,EEB017FR.01,Glcikman_MDR24,Glcikman_MDR78,KEB016WG.01,GEB015VW.01,Glcikman_MDR18,Glcikman_MDR28,Glcikman_MDR77,AEB010TH.01,X0098SG00,BEB010DX.01,Glcikman_MDR89,X00924J00,Glcikman_MDR71,DEB014GJ.01,Glcikman_MDR83,DEB0169N.01,DEB0114X.01,FEB015S1.01,HEB014G6.01,AEB016HN.01,DEB0184Z.01,Glcikman_MDR66,Glcikman_MDR99,Glcikman_MDR23,Glcikman_MDR37,Glcikman_MDR88,Glcikman_MDR41,X008YSA00,Glcikman_MDR80,Glcikman_MDR61,Glcikman_MDR52,Glcikman_MDR25,Glcikman_MDR44,X009C8G00,Glcikman_MDR53,Glcikman_MDR55,X009J7E00,Glcikman_MDR2,X00990K00,HEB017PG.01,Glcikman_MDR98,Glcikman_MDR100,Glcikman_MDR1,X0091SD00,BEB014WD.01,Glcikman_MDR57,Glcikman_MDR90,Glcikman_MDR42,Glcikman_MDR108,X009C6E00,Glcikman_MDR104,DEB01116.01,Glcikman_MDR12,Glcikman_MDR43,Glcikman_MDR82,Glcikman_MDR65,Glcikman_MDR97,Glcikman_MDR91,Glcikman_MDR26,X0090MF00,Glcikman_MDR62,Glcikman_MDR95,Glcikman_MDR64,KEB015NK.01,X00904E00,X008ZQF00,X0097HA00,Glcikman_MDR17,X009CXC00,Glcikman_MDR21,Glcikman_MDR54,Glcikman_MDR20,Glcikman_MDR60,Glcikman_MDR75,X0093KA00,Glcikman_MDR34,Glcikman_MDR27,Glcikman_MDR87,X009CGD00,AEB00ZYB.01,Glcikman_MDR84,X009FDG00,BEB011PS.01,Glcikman_MDR81,HEB016FD.01,Glcikman_MDR49,Glcikman_MDR69,Glcikman_MDR93,X0090SC00,Glcikman_MDR16,Glcikman_MDR56,Glcikman_MDR102,BEB01680.01,Glcikman_MDR40,Glcikman_MDR109,Glcikman_MDR14,Glcikman_MDR39,X00965J00
Glcikman_MDR6,0.0,0.168798687967456,0.2421064037154187,0.19678074544051252,0.17721551210108671,0.029267256606359253,0.23624743724875016,0.011447758079317874,0.09083977770231343,0.1018285670563193,0.03541580582385058,0.19466951275820504,0.11893895857224461,0.22119929826731063,0.02436008969943515,0.19001223382701432,0.07635323435376735,0.10947305166986572,0.18356477476689861,0.03032146963079514,0.22968381275399252,0.011946378982057663,0.030522707044776245,0.25502075675765906,0.03426518324257742,0.12623241730298942,0.18309218504289812,0.24510631915044212,0.19697721927924672,0.0360507635550533,0.0945578812197771,0.14499107995683164,0.24403569644969872,0.2563587061704111,0.17833179234149577,0.14400686078777356,0.15099264690827024,0.06889671559376644,0.03772494014981569,0.025757960786475406,0.19453683050466117,0.05090226490889961,0.24086918262476695,0.21226615620635664,0.028495827347744876,0.02965521258265694,0.1183586959509029,0.26434482701403583,0.03818458324045091,0.10087468855148422,0.08981826989788465,0.1867485667772939,0.15653442976220625,0.27733523961252093,0.14496211374422785,0.23908048659281392,0.2102898524373914,0.24692965170866188,0.1954133556724344,0.2687546716406348,0.04997844593414863,0.18702011009048178,0.02683757877561806,0.04212682869045794,0.025944070846176538,0.24121707034603576,0.13937913775469843,0.11786485563730995,0.10960300553091129,0.031081182584698684,0.11425091275022801,0.18163871205095836,0.12398660971653894,0.28777558089870026,0.044622518256921914,0.06515749460403407,0.2799281382217504,0.21779304039850528,0.09523313837719506,0.21733786434943458,0.2666374905362639,0.046026107667951156,0.026339847642106635,0.03297004774497719,0.2449436193171176,0.11518123159173779,0.1561187595838135,0.03626898770591613,0.13222111137680245,0.09102743619314457,0.10315590344094172,0.0677155757528794,0.2519144645098714,0.2295349679149634,0.2527550080632542,0.12431800211156104,0.2205088743112876,0.24099208897176372,0.1366261903464796,0.09228789540445707,0.06151971224916639,0.04471236976240637,0.0324368489189548,0.04880473249402099,0.2860583273300413,0.21040398239488248,0.03301375118114967,0.23710984159293672,0.06054959038087332,0.07762356728724029,0.11140898511363122,0.02274936664824683,0.20475346508194933,0.14596474554272204,0.046574347193945924,0.15633882147155875,0.22316676246931938,0.027614969887665743,0.20547100385796171,0.020493486149685394,0.1048664315292095,0.12575368144947688,0.0318695810726834,0.0586672746370813,0.027823185780660176,0.2092666222902573,0.11010877053082821,0.022029910508046407,0.17496388412507882,0.024385153590774963,0.0604921968560972,0.037285029634486905,0.24397339968137016,0.014311321093488611,0.26376086128174747,0.16744490069052756,0.10488529120690834,0.125279311381653,0.02543386729986657,0.15613937868898708,0.19521444156140622,0.106732833444215,0.21478813665473492,0.1494870608435583,0.06123344501068811,0.12147449754564756,0.2577092353578196,0.026725423827429512,0.012404151007056557,0.21898340824683946,0.19954177084768415,0.1087463179133571,0.19388034721830982,0.08425670011629756,0.22867164378221375,0.10002774629471219,0.14507918623556829,0.02663695412212264,0.10157683313614983,0.15890182874422956,0.035617129851633504,0.25332600899211416,0.02360421256662365,0.1684371246102294,0.03108472572189023,0.11827510936629482,0.22163927572975525,0.02550446093675199,0.02318524996147462,0.2513563499698765,0.03099251601409325,0.025488169259882978,0.02372271929591117,0.018978933924146055,0.10632434389457711
FEB016W1.01,0.168798687967456,0.0,0.21798687427544444,0.16337817126453077,0.14314382163178968,0.17301118968518991,0.22463813776218325,0.17497991875293117,0.17618140674314925,0.15562623165595027,0.17531019693052588,0.15264445883617814,0.16725940710093312,0.18117549767975313,0.1717993676799929,0.2356112416329978,0.15787472793985718,0.21071905072763775,0.14268239381690911,0.17792531026506264,0.23706764525697155,0.17020608502292833,0.1682811656592277,0.2141351359039874,0.16309296853878336,0.18711497515242162,0.15964449097829223,0.2013444343446326,0.17434328449972802,0.17099564348488855,0.16639252955770722,0.21119412389307246,0.20557677891856,0.22967933788345038,0.18057872541880263,0.14275510312940218,0.19555186565576652,0.15493540583590618,0.1654908227625113,0.1710263379667523,0.16328934675469667,0.16889852518617146,0.18347717789721127,0.20667404895592942,0.17241159358902144,0.17038215152443315,0.17327900870389026,0.2743737395451142,0.1732654687131632,0.20060221130610584,0.15393033023918842,0.18372500465283903,0.15031444298706573,0.23036718233730272,0.15480808612379512,0.19039417293291575,0.19724008073736202,0.20662410891401886,0.18404927621874648,0.22048832666350435,0.1670956698096161,0.13944925363447097,0.16909355735821782,0.16754478140327297,0.1718793559105976,0.22351219598294275,0.15329442055865541,0.14734943079010704,0.18331303156023138,0.1649545024263469,0.21094050720480564,0.14067219610515241,0.14027839825419305,0.2716352623225392,0.17124140233133478,0.1751195020091124,0.25372451021367914,0.19462100872456112,0.16093803068115936,0.17217188693427224,0.2621570326191013,0.16271299174941112,0.1727719180931341,0.16796662711677993,0.20308413843953396,0.183341119997767,0.21020726998534472,0.16499699151576291,0.14197814614980855,0.18026955377370413,0.20430831832172514,0.17205598557057541,0.23034478159465605,0.203455215696177,0.21985217614824598,0.21085502598262215,0.10979574578344427,0.21539959070728573,0.14556886894896778,0.16759169387533082,0.1693322518247516,0.17516800322473602,0.16743039534050436,0.17225629021787667,0.2593268721022293,0.16352117954218734,0.17130380287934607,0.18900746297889395,0.1626085550280799,0.16525206693712205,0.20155947052519188,0.16550761859590954,0.18302047131704655,0.15159563515235652,0.1616731293523975,0.14246002331083796,0.19315796462138235,0.1771668598761198,0.17109891589248363,0.17302894309072317,0.19009110195413578,0.2022359327271421,0.16848785129273264,0.15914364047563578,0.17035103980721156,0.16386038017039375,0.2056314839953855,0.17435909732177865,0.12811762033051213,0.1645172905104849,0.1568389824807853,0.16679609574166904,0.19163730978054025,0.17117935130138484,0.22532191504968707,0.18393463325558973,0.16392433353947078,0.15719754978590025,0.16543697485844436,0.17467612883292083,0.2342040674655107,0.14916886210359181,0.19211338091820612,0.12387270977880728,0.17300647317067594,0.13674389020885283,0.2108803911957453,0.16507087216774924,0.1699494747025355,0.1832748421258902,0.16839177483340803,0.19884363416214534,0.15889959910826684,0.1443617470964137,0.1770437386078793,0.16728343538308993,0.11692653322565126,0.17464222822128087,0.18168208745755351,0.12474519712624423,0.16855171804874283,0.23482669521594424,0.17513571450596344,0.15520170944465964,0.16878515188210544,0.1758831550192477,0.18937795762651377,0.17685015106326835,0.16994861069766456,0.1693894482601544,0.17200556439249373,0.17197980673970714,0.171350706485756,0.1702594748767003,0.1839108980793026
DEB01624.01,0.2421064037154187,0.21798687427544444,0.0,0.21648730457750537,0.27185769816104777,0.2424115766606099,0.262816585026562,0.24694063151211337,0.24786249160717377,0.22673274799304394,0.23802476514056206,0.23456624295900871,0.24554001411523352,0.2504817161714541,0.24354445531472327,0.3324253143319822,0.23512674162537173,0.2981306365953855,0.2373009020085901,0.24798970309579055,0.1877517171718529,0.24095597385234402,0.23870817452763718,0.1655272170560838,0.23762438952899478,0.279535796652097,0.19953344179800633,0.22163379515611703,0.21131790583227658,0.2393864667548993,0.24864976235601446,0.30274767353931736,0.15507134188346663,0.23678560919414995,0.28359609067345704,0.2282348606634259,0.29175478702018914,0.23737316475057793,0.24590885946969918,0.24509376596450147,0.2249256528401757,0.23589720220250363,0.21321519182314774,0.28545719510376516,0.24734734207430636,0.24497421369448708,0.25166896797391514,0.1756987264180476,0.2513036207027687,0.2827881410059506,0.22743901007817655,0.23237533335916505,0.23736701586048414,0.24250457576496556,0.23824129249341125,0.1917170410744244,0.232185276376668,0.19297178115055624,0.1616181608943631,0.25113944761879275,0.23491293819646425,0.226038135869493,0.2428202711377428,0.24341825826290858,0.23824628966264869,0.29837357253936697,0.21385933392379677,0.19982325842771645,0.23980663915537637,0.2380196867363694,0.2980230215677042,0.22849208056912515,0.220382723680056,0.13905548833162198,0.24894351133117346,0.24506117198794786,0.2879213479292242,0.20240499272515625,0.2449215961682287,0.21942217521344362,0.17417363042388045,0.23639245791085753,0.24878605987977812,0.23844942351720905,0.16610208809368268,0.23034605785098994,0.28617053441895296,0.23627520607704217,0.2541440961117227,0.2546939433549658,0.28576722320603526,0.2453024078349167,0.24372453653565126,0.19167421037140786,0.07740167327577195,0.29672941098401734,0.2105378888886718,0.2819010488685359,0.23836656826679456,0.24920817561066305,0.24405859517227937,0.2544205803461327,0.2382332267517837,0.2452270851335335,0.27290619743601396,0.22608946318249304,0.24255319127879854,0.19597143932913386,0.2434873616717258,0.24274494254377016,0.2916660289864118,0.23354190933786428,0.2107873020748319,0.2546663690189829,0.23208742468123114,0.1648523247135997,0.2595289869701753,0.24983178883875107,0.21583965680147585,0.24273481474764802,0.24969686097786756,0.2889689512453456,0.2408295785466703,0.22862890924039744,0.24414322247354675,0.21518501966378617,0.2840344602334413,0.2466050977587047,0.18513281700294523,0.23512995437397327,0.23893691408017623,0.23472661779165865,0.2218453341142434,0.24337643144630058,0.2041975898723509,0.23708537122199613,0.2544804636192855,0.23827567052790824,0.23471346559068249,0.2385948139355114,0.3380287637161971,0.23853105043727094,0.15589995671467383,0.23297147061334988,0.24842883293899531,0.19949190756006285,0.23993044565658933,0.23665069648328568,0.24104937436986143,0.2228216288081457,0.21856654498917538,0.2817403812561145,0.21627443084197195,0.22214466562215732,0.19789221824012043,0.26622754022779127,0.2179549972649994,0.24423976018338736,0.23693824650940362,0.23330409573909403,0.2390131003443368,0.2126575704113306,0.2468105302575309,0.21842792243409578,0.24102918804591394,0.2688196205351014,0.19414328031285236,0.24962199167159477,0.24290045572417193,0.21191267977936531,0.24725997952837597,0.24594391355486225,0.24373454119647148,0.24178213545632607,0.28054461981776735
Glcikman_MDR11,0.19678074544051252,0.16337817126453077,0.21648730457750537,0.0,0.17891789459771013,0.20210194085265823,0.23307455871941238,0.1976826256274705,0.20595578768235337,0.18944920061690326,0.20432435503426075,0.1789634346282107,0.15765965583810929,0.1820099307507439,0.19773345729215186,0.25116912116034,0.19423613886975047,0.2323947930322407,0.18446717495877069,0.1963703511724153,0.22319477135365745,0.19665221425019522,0.19082701361126955,0.2258612808765927,0.1946542365247646,0.21272815469507905,0.13430944355576518,0.15718110277150454,0.12145211212945607,0.19595214600398975,0.1701119586921852,0.22679689801204517,0.21704609518560145,0.23163013475950564,0.2375245026775143,0.1857468209530957,0.23966435898789362,0.1856166296779027,0.1987075883271726,0.19534708568845338,0.11573721960679177,0.19779425048855212,0.1279164048714652,0.2330653872593874,0.19367030993534068,0.19883773391665413,0.18325971439035188,0.25261223788038756,0.1979359001153757,0.22343613297208703,0.18776235232754157,0.11641381693227297,0.1359660471191699,0.21311176902559062,0.1367376318656183,0.1842543226774455,0.14496020381611818,0.19663454674899225,0.19535726210194346,0.2060683944977153,0.19321901539803404,0.17350097458925726,0.19342153494549985,0.19214737715806762,0.19966939472204565,0.20980153910346777,0.1984746441594808,0.18482012515316865,0.2138634339417019,0.1917977891209014,0.22406161563378418,0.15757877095795483,0.14086331289359888,0.26881651913198673,0.19302256490243727,0.19345343895596864,0.23121335307970192,0.18558472239526724,0.16320663647792627,0.18408322179097217,0.26051603020290665,0.19585965788864867,0.19362004917860925,0.1939560422782301,0.2161218006084263,0.20617507026851756,0.24349186701358527,0.1863573629139639,0.17017522434395374,0.18227661810178236,0.22097274281978607,0.1955983744958738,0.21975401544051315,0.1922198442415295,0.2309076374092383,0.2264177416918823,0.17659665125860957,0.21468356792139306,0.13209337062337143,0.1778303238357723,0.19944154191340077,0.1961971248554711,0.19253418666362748,0.19175070495425203,0.23729917680294155,0.09512709320167612,0.19476505757154916,0.15205735619287533,0.1928244619856654,0.19105671024664,0.2188979554012067,0.19189811331385637,0.12196472963812627,0.18793676059890835,0.18010278282558045,0.1966393910524421,0.19506004121001014,0.1918238365317212,0.0883069659837359,0.19929565670088012,0.2062657028332904,0.21397247894958354,0.19357154617314168,0.17993870444547433,0.1998412944372615,0.12195788970916237,0.2248038942234873,0.19940202291967996,0.1809149808622321,0.19245291755149718,0.19128199817999955,0.18965744322191408,0.15377213426528966,0.1950100173154101,0.2192012114656657,0.13555990797074394,0.18795073378717345,0.1771409562116652,0.19600734152422533,0.1664677829611356,0.25468451271642395,0.17555974452698336,0.17984561070805552,0.19426141544009576,0.19750843838989257,0.172075851298867,0.18616675146161576,0.19333427875690629,0.1983968069429754,0.13244427248557802,0.12509575747853813,0.21366779063564023,0.11302969686072635,0.1529086845749924,0.14278825284100113,0.20621770318976215,0.14678207191515,0.19722025033030102,0.19660626513102925,0.1601755550113326,0.195339700747329,0.23693266825182802,0.19940806588788013,0.12351611223265442,0.19780061173026034,0.18909831103278002,0.14746617201988282,0.2048368301343196,0.1970367152321982,0.19748739040105473,0.19530535806437216,0.1952149776857033,0.2005063260679164,0.20025301470963863,0.20235182467834226
AEB016X3.01,0.17721551210108671,0.14314382163178968,0.27185769816104777,0.17891789459771013,0.0,0.17666907254975575,0.2653899685808411,0.18103918417347992,0.18882605474141884,0.16909876570962928,0.18481441001882631,0.16042675171554802,0.16556492323238886,0.09772749620542966,0.1840834566626138,0.20703249685868577,0.1774208072997127,0.21646005823390932,0.14240819404363161,0.181356268014854,0.2679202305074524,0.1766751666116562,0.1879268440789784,0.275937899923106,0.18933165347323977,0.1877851517551518,0.18700928452117266,0.2284300459635964,0.1667816813225983,0.1882377566478245,0.16293229112672056,0.1919980468928503,0.2649926309427633,0.2701352394521307,0.1869710734400113,0.1423337565704228,0.20377674979988533,0.17451118370024465,0.19081209415991013,0.17058580667232862,0.1833981270999548,0.19114564754409774,0.2134665665192481,0.20375364134284907,0.17089724374083293,0.1748945216644966,0.16830334977027206,0.28876846249453636,0.17618302832825936,0.20481082338821682,0.16657641261992892,0.17765000706969886,0.16326233089733488,0.20354283287457475,0.15709387662308152,0.2308684453501203,0.2049153911472893,0.2434468214206564,0.22626534940078963,0.24678002300556837,0.18886879853846578,0.16736768931490453,0.1717762273017451,0.17038625949714914,0.19017701626576983,0.2187001503190914,0.17225784512650433,0.16183412527997318,0.185795032999278,0.17429361149835168,0.2034208799225942,0.1631962654461278,0.1553006361623215,0.3080134127301302,0.17858276293593042,0.17446642010422916,0.2706542141772033,0.22794112298191013,0.1664026630203676,0.20729419135215815,0.3012200621903964,0.17974088819621514,0.17821052893940428,0.18822478672590748,0.24937545877374792,0.1811346494899995,0.19012924877014858,0.1802395972688055,0.17135360687771506,0.16820784887376788,0.20831309158755598,0.17160938257260877,0.2585013921555162,0.23171722540649592,0.2564537544334707,0.19766977516382184,0.19827135025724374,0.2269682863116004,0.15499527220925,0.1637505674128755,0.1839213193917149,0.1802768089259385,0.18755764236966202,0.1811421618444635,0.2859752708580157,0.17873490709172926,0.1862094295822533,0.2096317327680567,0.17626903319463327,0.17366469951026123,0.2065793813722502,0.17747930442080467,0.20490733471189704,0.16454521201099492,0.1688392302075941,0.17911858601401467,0.20799279652740651,0.17623703674631275,0.18230821183335663,0.1877256651933424,0.1979891968516149,0.18818805517532242,0.18679318982753798,0.17442841210370175,0.18356052336896475,0.2088096830302489,0.19755288829987797,0.18886285415937107,0.17674662703148378,0.18428396269588734,0.174103121530252,0.1834271743927593,0.22642205089589307,0.17309923638686303,0.2630896478259779,0.19695244325590405,0.17871377882903858,0.1758920346170532,0.17858043454505107,0.18252063648001662,0.2004823553868352,0.16690930414843935,0.23413773762365025,0.16593160608252822,0.1665159698665992,0.1600342000498656,0.24513952641619077,0.1803872318645905,0.17830020807550875,0.18864042947789397,0.19005126767375888,0.19449331439302825,0.18175105342021106,0.1552786818548387,0.2035919852433247,0.20465885328217506,0.14150280538468163,0.18760009910855505,0.19233973991577,0.14164417192074938,0.1884309322697265,0.28396619977740695,0.1880079619919134,0.18578483180022154,0.1895972147139725,0.1380493043075767,0.20880036625749276,0.184617435212163,0.19027353331919228,0.2469701317587804,0.17530965915010865,0.18314959907225478,0.18454570745158577,0.1824105731925896,0.19241976775582376
Glcikman_MDR5,0.029267256606359253,0.17301118968518991,0.2424115766606099,0.20210194085265823,0.17666907254975575,0.0,0.24100771176177202,0.03498663252261975,0.07968681275284734,0.08912567959345347,0.03153329059612152,0.19745730133452863,0.11640892042550985,0.22238651196342188,0.04640247297903091,0.19869878520930048,0.06382648706663151,0.12032592201309503,0.18465048281325194,0.03997686827405441,0.22933425559391943,0.03289120812407041,0.049430589775991796,0.25651076418671975,0.05092378976455604,0.13160902595235585,0.1848698194614851,0.24500446434550505,0.19800222208694535,0.05238712366324106,0.08929252013222747,0.1528349673137459,0.24716935868442652,0.2567335444998554,0.18167603683150285,0.13933238050350905,0.15100844478710596,0.07341273371541202,0.04410803983650016,0.019223012516935666,0.18959454258083364,0.04766328094050631,0.24387155511410955,0.21264911520586977,0.03277640510452405,0.024801003162258188,0.1259016227562746,0.26633484112622446,0.03790760466063271,0.11117376485782055,0.08163167514769697,0.1906970518502123,0.15600916539564857,0.28092709821670336,0.14164515930273147,0.2381730033282757,0.21392499175378754,0.24543649098475925,0.19958134930554175,0.26882109938463444,0.04407795043565489,0.18790066741576036,0.023437662986702815,0.03510037568731109,0.03664979858969156,0.24700598305737587,0.13995661382816765,0.12247115279512545,0.11698746281834516,0.04312360723237864,0.12339357802948614,0.17792583108909873,0.1128187740544821,0.2802352824495223,0.03775085823020334,0.06484442680820955,0.27656758888483857,0.21255797571231672,0.0949210197973663,0.22076895109749775,0.2634796890629481,0.047786403121754896,0.02712911759203242,0.048655189311851574,0.25055460749161756,0.12100376390631556,0.15646386919950298,0.050961096131337806,0.13372519645877518,0.08413766856590706,0.1127573071271401,0.055401343974680294,0.2495215599108477,0.23041333925786203,0.24435517729474782,0.13350692238028378,0.2209872529305508,0.2424016058654893,0.1354148902331306,0.08369682546159184,0.06609227104944003,0.048859459143038325,0.04666300598998807,0.05308935658349636,0.28832100482029344,0.20611777911413987,0.05017207872478586,0.234743910620294,0.049915018313472996,0.06810814042890617,0.11668140702850671,0.038497077637644914,0.21429521458915413,0.14620422565568716,0.05294490405564435,0.15566305781525064,0.22355849672147043,0.03906267880424662,0.20497972619074978,0.038697423287038346,0.11484568701534206,0.13338340148184852,0.046444206106582,0.05844593456429841,0.03206187873925376,0.2067394489652077,0.11866976120688318,0.03623349113065064,0.18088689523637141,0.040952555609191574,0.06371318196572257,0.053376233336713826,0.24528526986593774,0.02718590149090824,0.2597342039687824,0.16663142061549077,0.11303032751599326,0.10662221596488233,0.041652552420397275,0.14466549254387437,0.20494391863291941,0.11438995016384951,0.21827870873193767,0.15122320940329964,0.04731244474394832,0.1209621917003868,0.2562199317010103,0.039746330325078204,0.03279077925162774,0.2181538048732374,0.19441910929125014,0.11757169127053285,0.1928380016727954,0.08824055900271156,0.23060167441029256,0.10875581816604553,0.14361196172689727,0.045411340062195604,0.10954305217209011,0.16419722990028776,0.0496032832435785,0.25900618022001903,0.04582782634895679,0.1735899555587874,0.05000939858487797,0.12425222075203393,0.2182820993597728,0.031488500359272746,0.045493812281351284,0.24997034141843094,0.031195857443192827,0.038839105448340405,0.03965269329374994,0.034071946877640695,0.1169874423987668
JEB014L3.01,0.23624743724875016,0.22463813776218325,0.262816585026562,0.23307455871941238,0.2653899685808411,0.24100771176177202,0.0,0.2401719178201097,0.2278934417352033,0.22644659204069012,0.23850621731261562,0.2457031587453766,0.24535357312810355,0.2507647944746417,0.23558781354252456,0.30028270107767585,0.22736026043379867,0.271238557518298,0.2402579765969408,0.23774614152831858,0.235019287781558,0.23601400895710153,0.23566334242057396,0.24916415074853498,0.24089449219772546,0.20866463643189687,0.23895009920446017,0.24954969712433783,0.23069512304998474,0.2344063512963068,0.24200361422920827,0.3056876781725287,0.2539099496394878,0.2775931898937276,0.19512837889961349,0.23131170805302578,0.28686570373430825,0.24398370038652328,0.24495391895568522,0.23881341249344207,0.23308111384630129,0.23481216996545787,0.26407655799701446,0.18584500564660963,0.23886611913268058,0.23352123731307925,0.251955674913358,0.2822443804772787,0.22779269044721986,0.24331593264456017,0.22264125519112538,0.23023258558830417,0.23994014343679657,0.27264420949804985,0.2445802518629425,0.22968696043237077,0.22677041587877497,0.2525121667194608,0.21855398823306535,0.27569195978307726,0.23324479615453206,0.2420691868906139,0.22476378769000854,0.22602191940264899,0.2363666612639746,0.25609553331124,0.21880536039057738,0.23730817149452002,0.2532564608621064,0.23010399007283736,0.27110613883146556,0.24748009915997288,0.23370255981403804,0.30698774574140597,0.23463103382991232,0.23611433986488983,0.2773206359994388,0.2205914406768784,0.24870290372297682,0.22622753808242305,0.3030240526885871,0.2197619410861265,0.24192028410377434,0.2329693152501328,0.24275968644559293,0.2580166763201778,0.292308855448284,0.23211619119001894,0.2329282874930507,0.2500979914002396,0.26861386089340444,0.23944454486526126,0.26419503191580207,0.2217377856703595,0.28485509915689916,0.2928074848561404,0.23297409126458635,0.24442889188811018,0.2358928170602986,0.24130588824085422,0.22677562477872068,0.23497114458409604,0.23334513885417163,0.23204481611718977,0.28862413579225116,0.22612436720148474,0.235634279867414,0.24214202865733148,0.23154851229689027,0.23541888437769967,0.27357374394471223,0.2316197189815643,0.21646636534254318,0.22743099256290605,0.23300765800514098,0.21319521172736436,0.22449108174423305,0.24224718648692078,0.23421205392993735,0.23413316770744885,0.2502690026347759,0.28865922629492713,0.2370111748205089,0.22467710707788582,0.23677479776359914,0.2294865342423738,0.279611852333684,0.24250753860407664,0.23088441148360575,0.23021181515748662,0.21583614031114207,0.23466032185961125,0.2606611039691152,0.23444716002778934,0.25566948014761204,0.22500564197806056,0.241679396574408,0.22185629445328336,0.23095020681173797,0.22827608036817482,0.3014630608143249,0.23935398559765908,0.21716174697087634,0.20983533185312972,0.2381618059973375,0.23532171315801576,0.24263785008433614,0.23008744197869485,0.23471699061973425,0.21739101891666796,0.2436123573470892,0.27466019523079205,0.24449815249822632,0.24086227142535602,0.23704058394321997,0.25017138831135083,0.2194490077469052,0.23560641214133926,0.23822436660648333,0.23527332370540002,0.23421067390206235,0.2718405526540787,0.2344569615025607,0.24098475490088675,0.23643226287173588,0.2514198430722829,0.2483319444377501,0.23688581247813412,0.23833478850729908,0.24316278716822304,0.2287256742270412,0.23746174746730594,0.23696565620344612,0.23391540824192703,0.26003827929555023
