,0
batches_shannon_pval,0.3406069179410536
biovar_shannon_pval,0.9705646408906037
rf_baseline_likelihood,0.5492957746478874
rf_average_acc,0.5070422535211268
rf_macro_precision,0.45954907161803715
weighted_precision,0.4669368999140733
macro_recall,0.4755608974358974
weighted_recall,0.5070422535211268
macro_f1,0.43069873997709046
weighted_f1,0.451252762854331
auc,0.47556089743589747
batch_aitch_r2,0.005432660084128972
batch_bray_r2,0.0048709750931449315
batch_aitch_pval,0.908
batch_bray_pval,0.911
biovar_aitch_r2,0.007100382539143272
biovar_bray_r2,0.008229784891181651
biovar_aitch_pval,0.432
biovar_bray_pval,0.238
