"","DA01227","DA10098","DA10184","DA10151","DA00568","FMT81","DA10136","DA10067","DA10104","DA00720","DA00165","DA00498","FMT02","FMT99","GSVY1IH01.MID7.pool1-7","DA10158","DA10168","FMT85","GSVY1IH01.MID6.pool1-6","DA10175","FMT17A","DA10096","DA00170","DA00595","GSVY1IH01.MID9.pool1-9","FMT88","DA01242","DA10051","FMT93","DA00721","FMT44","DA00381","DA01384","DA00619","DA00383","FMT32","DA10009","DA00470","DA10189","FMT10A","FMT103","DA10143","GG349S007.MID13.1327","DA10017","DA10166","DA10065","DA00818","DA00318","DA01468","FMT21","DA10172","DA00804","DA00108","DA00729","DA01205","DA01161","FMT16A","DA10119","DA10167","GSVY1IH02.MID4.pool2-4","DA10073","DA10084","FMT59","GSVY1IH02.MID12.pool2-12","DA10055","DA01335","DA10022","DA10156","FMT100","GSVY1IH01.MID5.pool1-5","FMT72","DA10160","DA10093","DA10181","DA10053","FMT18","FMT19A","DA01106","DA10038","FMT108","GG349S008.MID13.1328","DA00581","DA01408","FMT16","DA10162","DA10083","FMT21A","DA00555","DA00675","DA10164","GSVY1IH03.MID4.pool3-4","DA01547","DA10061","DA10123","DA10188","DA01231","DA01324","DA10050","DA00904","DA10142","DA00280","GSVY1IH02.MID9.pool2-9","DA10154","DA01128","DA10033","DA10150","DA10011","DA01073","DA00228","DA10079","DA00815","FMT58","DA10145","DA00603","GSVY1IH04.MID3.pool4-3","DA10091","FMT11A","GG349S005.MID13.1325","FMT26","FMT102","DA10015","FMT04","DA00575","FMT29","DA10152","DA10058","DA10178","DA00397","DA01235","FMT28","DA01119","FMT11","FMT22","DA10110","DA00896","DA10149","DA01071","DA10003","DA01109","DA00927","DA00884","DA01291","DA10141","DA10002","GSVY1IH02.MID2.pool2-2","DA10081","DA01068","DA01588","DA00491","FMT97","GSVY1IH03.MID6.pool3-6","GSVY1IH01.MID11.pool1-11","DA10169","DA01467","GSVY1IH04.MID6.pool4-6","DA10054","FMT62","GSVY1IH01.MID4.pool1-1","FMT20","DA10146","DA00282","DA10042","FMT10","DA10056","DA01030","DA10016","DA10108","FMT67","DA00778","DA10112","DA00886","DA10029","DA00988","DA00691","DA00299","DA10012","DA00154","FMT33","DA10121","FMT77","GSVY1IH04.MID2.pool4-2","FMT109","DA01134","DA00953","DA00369","DA01259","DA10183","FMT92A","GSVY1IH01.MID10.pool1-10","DA10027","DA10177","GSVY1IH02.MID8.pool2-8","DA10039","DA00621","DA10127","FMT23A","FMT14","DA10035","DA10028","DA10113","DA00236","DA01267","DA10048","DA00955","FMT15A","FMT106","DA00563","FMT105","DA10006","DA00638","FMT12A","DA01380","DA10026","DA00380","DA01005","DA01040","DA01213","DA01582","GSVY1IH03.MID7.pool3-7","DA10008","DA01255","DA00578","DA10018","DA00687","FMT05","DA10090","FMT69","DA00984","DA00673","DA01311","FMT66","DA00556","FMT13A","DA10115","DA10171","DA10131","FMT71","FMT82","FMT78","DA10025","DA01571","FMT15B","DA10062","GSVY1IH02.MID7.pool2-7","DA00550","FMT35","FMT25A","DA01190","DA01441","FMT53","FMT03","DA10049","DA01129","DA10155","DA01563","DA10165","GSVY1IH04.MID4.pool4-4","DA00605","FMT47","GSVY1IH04.MID7.pool4-7","DA10069","DA10070","FMT15","DA10100","GSVY1IH04.MID7.pool4-1","DA10148","DA00283","DA00897","GSVY1IH03.MID8.pool3-8","DA10138","DA01381","DA10107","FMT23","GSVY1IH01.MID4.pool1-4","DA00632","DA00908","DA10117","DA10147","FMT19","GSVY1IH01.MID12.pool1-12","DA10047","FMT41","DA00600","DA10059","DA00153","GG349S004.MID13.1323","DA00850","DA00346","DA01167","DA01245","DA00530","DA01320","DA10135","DA01339","DA01193","DA10170","DA10030","DA01143","FMT95","DA10095","GSVY1IH01.MID2.pool1-2","DA01018","DA00812","DA00740","DA01157","FMT3A","DA10161","FMT110","DA10174","DA10019","DA00989","DA00926","FMT64","FMT37","GSVY1IH02.MID10.pool2-1","DA10076","DA01203","DA01076","FMT39","DA10066","GSVY1IH02.MID6.pool2-6","DA10139","DA10068","DA10041","FMT4A","FMT75","GSVY1IH04.MID11.pool4-11","DA10106","FMT50","DA00703","DA00065","DA00874","DA00659","DA10032","FMT30","FMT56","FMT84","DA01072","DA01223","DA10130","DA01211","DA00943","DA10133","GSVY1IH03.MID12.pool3-1","GG349S001.MID13.1320","DA10045","GSVY1IH04.MID8.pool4-8","DA10088","DA10187","DA00889","DA10037","DA00962","DA00997","FMT17","DA10024","DA01146","DA10180","DA00430","DA00735","DA10040","GSVY1IH04.MID9.pool4-9","DA00755","DA01041","FMT51","FMT27","DA00678","DA10082","DA10103","DA01555","DA00580","DA01110","DA10129","DA00658","DA01501","FMT12","FMT25","DA10125","DA01138","FMT2A","DA10057","DA01044","DA00918","FMT01","DA01313","DA10176","FMT98","GG349S002.MID13.1321","DA10120","DA00949","DA00458","FMT101","DA01482","FMT55","DA01270","DA00375","DA10124","FMT43","FMT20A","DA10114","DA00382","DA00331","DA01370","DA10122","DA10109","DA10173","FMT80","DA01024","DA00502","DA10005","DA10134","GSVY1IH03.MID9.pool3-9","DA10116","FMT24","DA01556","DA10186","FMT31","DA10094","DA10137","GSVY1IH03.MID12.pool3-12","DA10097","DA00810","DA10077","DA10157","DA00461","DA10101","FMT13","GSVY1IH03.MID3.pool3-3","DA00912","DA10159","DA01495","GSVY1IH03.MID11.pool3-11","GG349S006.MID13.1326","DA01210","FMT14A","DA00821","DA10023","FMT1A","FMT6A","FMT49","FMT06","GG349S003.MID13.1322","DA10092","FMT34","DA01026","FMT74","FMT96","DA10007","DA00565","DA10075","DA10071","DA10126","DA00885","FMT92B","DA00210","DA10085","GSVY1IH01.MID3.pool1-3","DA01089","DA10034","DA10182","FMT5A","DA10036"
"sp11",0,0,0,98,1,268,19,300,426,0,0,0,1,0,13,0,260,0,0,203,0,0,0,0,0,0,0,697,0,0,0,0,0,0,0,0,108,0,78,0,0,0,59,0,37,0,0,0,0,3,0,0,0,0,3,1,0,0,89,0,0,0,0,5,768,0,623,132,9,3,0,139,116,336,1129,0,6,0,0,0,7,0,0,2,125,193,0,7,0,0,0,28,218,81,0,0,0,0,0,29,0,0,245,2,351,236,407,0,0,264,0,0,0,141,0,0,1,150,1,0,7,0,0,0,95,0,0,0,0,0,0,16,9,0,27,0,0,349,0,0,18,0,0,1,0,0,0,16,0,4,0,0,0,33,0,0,2,12,0,425,0,0,0,0,0,714,5,1,0,3,0,2,0,0,88,0,0,7,0,1,0,0,204,0,0,0,42,9,12,0,106,74,679,0,0,0,150,0,0,359,1,7,59,0,20,64,0,18,1614,0,32,1,339,0,0,0,0,4,4,60,25,0,678,1,0,272,0,0,0,247,0,0,0,0,62,0,5,0,0,322,160,0,0,24,0,2,0,1,45,3,1,311,2,171,1,0,0,0,4,4,195,17,0,175,0,6,0,0,72,248,0,0,0,0,128,0,0,0,4,3,197,152,0,20,0,0,0,8,0,0,7,0,175,0,0,3,0,0,1,128,0,0,8,0,798,2,69,68,80,0,0,0,0,0,24,300,22,0,14,0,0,52,0,72,5,0,0,0,0,0,0,0,0,71,0,0,24,1,529,0,0,0,0,1,776,614,1,0,6,0,65,2,688,4,0,0,383,431,0,19,5,15,0,0,34,0,174,0,45,0,0,280,13,12,142,0,0,0,0,0,0,0,358,3,119,7,362,117,8,29,0,11,2,0,0,0,48,0,39,0,0,0,49,20,101,645,0,0,0,163,0,19,0,345,0,0,0,0,3,0,0,147,136,0,35,9,0,0,75,0,0,0,0,0,0,179,292,18,3,121,130,0,15,0,1,0,0,0,0,223,0,1,4,0,496,0,0,131,262,0,3
"sp12",0,0,0,0,0,14,18,0,0,0,0,0,23,0,22,0,24,2,0,50,1,0,0,14,1,0,0,0,0,0,8,1,1,0,0,0,0,0,36,0,0,0,0,0,127,0,0,0,0,47,0,0,0,1,1,8,0,24,88,5,0,0,0,1,29,0,316,87,0,43,0,105,36,31,78,0,21,0,0,53,5,55,0,5,0,26,0,0,0,0,0,0,123,0,16,0,0,85,0,0,0,0,106,6,0,0,56,2,0,0,4,0,0,0,0,0,3,0,5,0,0,2,0,14,0,31,14,0,1,2,60,15,11,0,0,0,0,17,0,0,2,0,9,0,11,0,0,0,0,0,0,0,0,0,0,0,19,40,0,21,0,0,0,1,0,0,18,1,0,1,0,2,0,0,96,0,0,0,165,14,125,0,0,77,10,0,59,111,0,0,38,16,134,0,0,0,207,0,0,0,0,0,38,0,18,0,0,0,0,0,33,17,61,0,0,0,0,0,0,11,0,0,0,0,0,3,0,1,0,0,9,0,6,0,3,23,11,0,0,192,0,0,132,18,0,0,1,0,8,29,5,262,3,53,0,0,0,0,12,0,4,0,0,12,0,19,12,0,15,4,0,0,0,0,0,0,0,0,48,0,22,0,0,2,0,0,0,0,0,0,0,0,74,0,0,0,0,0,0,4,30,0,2,0,420,11,21,0,0,0,0,0,0,55,1,27,14,0,0,0,0,305,0,16,4,0,0,23,49,0,0,0,0,7,28,0,52,124,71,0,14,0,16,3,41,64,0,0,4,0,0,0,0,10,0,0,7,0,0,74,0,75,0,0,50,0,21,0,0,0,0,46,17,0,166,2,0,0,0,0,0,1,0,3,0,0,199,0,10,0,0,0,115,0,0,30,128,0,224,19,0,0,42,0,30,145,0,0,0,0,26,0,0,0,0,15,0,0,0,0,23,37,0,0,16,5,0,0,42,0,0,0,0,0,0,33,0,0,29,0,38,0,0,0,4,0,0,126,0,0,0,2,108,0,6,0,0,4,0,0,95
"sp13",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,2,0,13,0,0,0,0,0,0,0,341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1066,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"sp14",0,21,84,0,1,70,86,212,69,2,0,0,5,0,33,0,18,1,9,27,5,0,280,0,0,0,0,66,0,0,8,1,0,0,0,0,0,0,17,0,0,60,1,6,0,0,0,134,0,1,73,0,1,0,5,0,7,25,47,0,170,0,0,1,201,0,109,18,0,15,0,48,35,27,84,5,11,0,0,59,0,0,0,8,39,31,0,0,0,0,0,0,83,0,13,152,11,48,0,60,0,0,356,84,100,112,84,0,0,25,0,0,6,0,0,0,1,5,1,0,144,0,0,16,23,26,40,0,0,12,1,18,26,127,0,28,0,52,0,4,24,19,18,0,0,0,0,0,0,0,9,0,0,0,55,23,3,4,0,72,0,0,0,0,0,162,24,9,0,67,14,0,0,0,6,123,0,0,90,2,0,0,104,125,0,0,63,55,6,0,305,18,103,110,0,0,178,0,24,118,0,0,31,0,21,0,0,0,221,0,30,0,51,4,0,1,0,0,2,2,3,0,186,0,0,121,0,1,160,76,3,0,0,67,0,55,55,0,0,273,35,9,0,0,0,0,0,0,7,45,3,0,0,33,0,0,0,0,10,1,0,58,6,24,0,21,0,0,62,23,0,21,0,0,0,0,0,68,20,0,40,0,0,58,0,0,0,0,0,0,0,0,51,0,0,0,0,2,0,93,0,0,28,1,70,6,43,0,35,156,0,1,1,1,0,58,4,0,0,0,2,86,0,29,7,0,0,36,0,0,0,0,0,16,19,1,7,10,229,75,0,0,126,0,0,111,37,0,16,0,2,0,0,11,0,0,0,156,0,106,0,29,0,0,14,0,28,100,0,267,0,64,156,0,165,3,13,0,0,0,0,0,0,1,123,0,2,25,3,0,0,0,129,0,0,0,130,0,0,19,1,0,13,0,45,17,0,0,85,42,8,47,0,0,0,22,0,84,0,0,7,189,22,0,17,6,0,0,65,0,0,1,0,1,0,0,0,0,6,0,77,180,0,0,101,0,7,0,0,39,6,3,37,0,51,0,0,0,0,0,158
"sp15",0,16,343,233,0,327,588,177,399,1,0,0,17,0,156,0,185,9,30,238,29,190,85,117,15,0,409,237,0,94,16,1,4,44,193,0,105,363,341,0,0,483,402,271,1179,539,533,204,814,110,75,3,87,4,3,52,5,106,208,0,0,0,0,61,244,0,109,308,0,1124,68,68,27,530,99,0,75,0,67,127,279,78,3,57,0,531,1,93,18,30,0,236,372,433,174,69,372,0,0,128,618,3,410,51,255,374,69,175,4,145,213,0,46,1,0,0,13,2043,16,0,303,9,139,95,77,57,120,0,18,47,1167,59,266,532,14,160,0,608,8,1209,24,1196,167,35,0,457,0,0,183,0,54,0,0,0,125,96,56,161,0,164,6,1,0,657,94,184,83,64,134,70,32,6,0,51,176,312,0,1,619,26,0,2,231,35,117,862,68,491,21,4,289,96,213,89,0,0,636,889,50,281,42,1,67,0,75,0,162,0,386,0,131,99,1350,5,272,0,0,0,6,30,41,0,75,353,0,370,0,0,165,191,43,0,23,906,892,365,43,0,0,179,265,6,0,141,0,1,3,0,26,45,36,230,2,80,0,566,0,0,18,2,127,1,0,171,2,234,110,0,283,179,198,28,0,0,146,11,0,389,60,8,105,226,72,198,33,6,0,107,0,1,154,142,354,0,0,694,156,185,0,48,5,83,45,0,561,22,269,0,450,254,0,19,7,187,27,85,20,165,497,0,301,750,1215,122,6,0,0,254,6,2,40,0,1,119,49,1,269,471,27,353,102,0,213,3,2035,83,148,715,128,0,10,1068,140,61,0,741,623,0,0,81,15,268,5,63,184,368,609,89,2,161,0,38,63,0,549,6,664,0,9,0,0,0,320,24,240,0,594,628,11,1,1,0,243,0,0,265,179,0,220,596,570,806,244,224,170,517,105,276,622,160,187,112,6,20,230,44,17,767,4,504,42,131,97,751,223,59,0,0,266,0,0,90,192,3,1,93,293,91,182,176,1236,673,0,0,22,0,18,57,0,289,1,10,372,0,161,0,0,8,52,0,564
"sp16",0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,1,0,0,0,57,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,79,0,0,0,2,0,131,0,1,0,0,0,10,5,0,0,0,1379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,20,0,0,4,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,125,0,8,0,0,0,0,0,4,0,1,7,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,1,0,0,2,3,0,0,0,0,0,862,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,78,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,43,2,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
"sp17",0,0,0,0,2,0,0,316,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,141,6,0,0,0,13,0,0,0,0,0,0,0,0,0,0,5,0,0,35,34,0,8,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,24,261,0,0,0,0,0,0,0,21,0,0,0,0,0,110,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,419,0,0,70,0,64,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,199,21,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,266,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,17,2,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,48,0,0,13,1,0,0,0,0,2,0,0,622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,5,0,0,5,0,0,0,0,33,0,2,0,0,0,0,0,0,15,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,63,0,0,0,2,69,0,0,1,0,0,0,1,0,0,0,0,0,0,0,7,0,0,0,0,0,2,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,0,0,0,0,0
"sp18",0,0,0,0,0,1426,320,0,0,13,0,0,8071,10,6,0,0,640,2561,230,176,6,0,17,509,36,0,0,0,0,39,1,0,0,0,1,0,0,773,0,0,0,3701,0,0,0,0,84,14,7075,0,0,0,0,0,25,0,87,1,446,0,0,0,45,0,0,0,95,0,0,0,5,4,0,0,24,39,2,0,3,1493,0,0,671,0,0,1,0,0,0,3,0,0,0,1271,0,12,0,0,0,0,119,0,2,1,806,10,0,4,5,0,1,4,0,1,0,290,502,7406,0,2,2894,0,5,90,163,0,0,0,1,0,618,5370,0,47,1974,74,8,0,0,0,0,7,1,669,0,25,0,0,1,85,0,0,0,68,36,3004,2,0,1,0,0,0,217,0,0,1718,227,0,0,6,11,0,0,0,1,2,0,0,7313,38,0,1048,92,0,0,282,472,0,0,0,243,193,449,0,0,3914,0,21,0,0,0,0,31,347,0,7,4,0,0,749,1,1,0,0,0,0,0,715,7,0,0,398,0,0,921,3,0,0,0,3182,0,2008,673,0,26,1179,0,0,5,186,0,1,158,0,130,5837,0,0,6385,5783,0,0,3,0,1,0,0,3283,1,0,5,0,0,3,11,0,0,78,5,0,0,1,9,0,0,0,0,60,2,0,0,0,76,0,244,0,0,0,1,0,0,331,0,0,0,0,0,1,7,426,0,1,0,0,5799,0,0,1,1,0,8,7,4113,484,0,7,63,1,0,63,21,0,1756,3959,1,0,0,0,1,0,0,0,1,0,27,2751,2,162,0,46,0,0,1,8,64,284,0,0,1,2,2,0,1538,0,0,0,0,1,0,1164,82,0,157,4083,0,0,25,0,0,0,5,3,0,3071,5851,80,0,4169,4,0,0,1,0,0,0,7,1456,31,0,14,0,9822,0,0,0,4925,1,57,0,0,0,110,0,595,72,17,0,0,1,258,0,4265,0,0,0,0,0,11,454,13,140,0,0,2451,71,1969,0,0,0,0,635,0,12,0,1373,0,0,358,1,17,0,0,6,1,0,0,65,0,0,0,3,292,0,1630,0,49,1453,1,0,0
"sp19",0,818,290,152,0,95,618,193,387,17,0,2,14,0,180,0,278,8,28,329,26,17,0,177,18,0,171,759,0,104,107,0,102,12,131,0,115,804,94,0,0,432,59,0,1042,0,178,166,0,15,432,31,7,6,2,191,0,57,493,1,195,0,7,10,792,0,563,355,0,23,6,531,1,288,330,17,65,0,767,927,14,333,0,65,1396,153,0,7,27,39,0,0,200,306,72,11,556,414,2,287,0,2,989,814,93,140,1107,8,0,35,21,0,370,0,0,255,298,326,10,0,0,3,0,585,271,508,185,0,0,211,51,622,86,75,17,272,0,544,4,1913,21,324,77,121,57,200,0,10,0,0,36,0,327,0,129,300,57,116,0,736,0,0,0,142,1,876,68,49,0,111,36,140,0,29,52,435,0,0,797,30,677,0,530,443,173,747,544,481,26,3,447,21,1387,267,112,0,1016,32,116,148,163,0,299,0,112,0,0,0,737,1,190,160,342,21,39,0,0,0,3,32,114,0,1151,20,0,286,0,0,130,188,66,0,3,97,261,379,36,0,0,895,329,0,0,15,0,13,0,2,262,35,14,395,9,266,0,29,0,633,8,7,325,87,0,298,9,200,0,1,38,561,0,31,0,0,27,2,2005,1045,105,10,346,264,0,94,60,4,0,86,2,5,0,0,185,0,0,210,0,0,0,496,149,6,93,1,896,7,385,0,443,0,0,27,17,75,45,71,88,0,336,0,62,185,0,300,4,0,0,323,0,797,544,0,1,118,448,0,147,1814,80,375,446,1,434,3,277,718,0,0,213,6,51,719,2187,49,638,0,22,20,1085,634,28,145,39,232,54,358,201,383,95,987,0,546,221,2,867,3,1272,0,2,150,0,0,325,3,315,0,18,247,20,0,0,26,129,0,0,535,782,0,513,29,59,425,338,33,95,57,1,0,42,564,57,34,0,13,45,571,0,16,10,66,32,272,259,0,8,153,0,0,385,1,0,3,0,17,3,327,367,1074,105,2095,23,74,0,0,114,0,4,434,0,384,328,259,425,0,403,0,0,6,665,0,1162
"sp20",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"sp21",0,0,0,0,2,1,0,0,0,1,2,0,4,3,2,0,0,1,0,0,6,0,0,0,0,0,0,0,0,0,5,0,0,0,0,7,0,0,0,5,4,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,0,0,5,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,11,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,5,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,7,35,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,353,0,0,0,0,2,0,1,0,2,0,0,0,34,3,0,0,0,0,0,0,0,0,3,0,1,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,1,0,0,0,0,0,4,3,3,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,1,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,52,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,10,0,0,0,0,0,0,0,4,0,39,0,4,0,547,0,0,0,0,1,0,8,0,0,0,1,0,0,0,0,0
