,0
batches_shannon_pval,0.31574354718328823
biovar_shannon_pval,0.6140493869250302
rf_baseline_likelihood,0.5492957746478874
rf_average_acc,0.5070422535211268
rf_macro_precision,0.4484848484848485
weighted_precision,0.45685019206145966
macro_recall,0.47275641025641024
weighted_recall,0.5070422535211268
macro_f1,0.4162555790462767
weighted_f1,0.4389522476649892
auc,0.47275641025641024
batch_aitch_r2,0.026954427583855325
batch_bray_r2,0.04832350679696967
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.005180673750722566
biovar_bray_r2,0.0058469221264548475
biovar_aitch_pval,0.899
biovar_bray_pval,0.749
