,0
batches_shannon_pval,0.18729837013981243
biovar_shannon_pval,0.8632798430233231
rf_baseline_likelihood,0.5492957746478874
rf_average_acc,0.5985915492957746
rf_macro_precision,0.6104669887278583
weighted_precision,0.6085777142727541
macro_recall,0.5687099358974359
weighted_recall,0.5985915492957746
macro_f1,0.5391447930308033
weighted_f1,0.5554635104368739
auc,0.5687099358974359
batch_aitch_r2,0.07830717435435348
batch_bray_r2,0.2183732428983236
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.010158558182634258
biovar_bray_r2,0.008494407735495037
biovar_aitch_pval,0.066
biovar_bray_pval,0.256
