,0
batches_shannon_pval,0.008681767809778161
biovar_shannon_pval,3.63565881539322e-08
rf_baseline_likelihood,0.4229934924078091
rf_average_acc,0.5921908893709328
rf_macro_precision,0.5416129032258065
weighted_precision,0.5882387516618851
macro_recall,0.40328110707857545
weighted_recall,0.5921908893709328
macro_f1,0.3413247840741521
weighted_f1,0.48980784530199917
auc,0.6192337386296732
batch_aitch_r2,0.026014016244095297
batch_bray_r2,0.029792638457716042
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.035745810623290415
biovar_bray_r2,0.08780726050579611
biovar_aitch_pval,0.001
biovar_bray_pval,0.001
