,0
batches_shannon_pval,5.77388793431539e-07
biovar_shannon_pval,1.1794162400728768e-10
rf_baseline_likelihood,0.7373798076923077
rf_average_acc,0.7391826923076923
rf_macro_precision,0.8693558097531607
weighted_precision,0.8073312242393368
macro_recall,0.5034324942791762
weighted_recall,0.7391826923076923
macro_f1,0.43167967766305715
weighted_f1,0.6301497606444801
auc,0.5034324942791761
batch_aitch_r2,0.012005998235105024
batch_bray_r2,0.004623627107935046
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.014148609207023068
biovar_bray_r2,0.010667938997554412
biovar_aitch_pval,0.001
biovar_bray_pval,0.001
