"","BCN-01_1","BCN-02_1","BCN-03_1","BCN-04_1","BCN-05_1","BCN-06_1","BCN-07_1","BCN-08_1","BCN-09_1","BCN-10_1","BCN-11_1","BCN-12_1","PRIMM0001","PRIMM0002","PRIMM0003","PRIMM0004","PRIMM0005","PRIMM0007","PRIMM0008","PRIMM0013","PRIMM0017","PRIMM0029","PRIMM0030","PRIMM0032","PRIMM0035","PRIMM0044","PRIMM0050","PRIMM0059","PRIMM0060","PRIMM0062","PRIMM0064","PRIMM0068","PRIMM0069","PRIMM0077","PRIMM0078","PRIMM0079","PRIMM0080","PRIMM0087","PRIMM0088","PRIMM0091","PRIMM0094","PRIMM0109","PRIMM0111","PRIMM0113","PRIMM0116","PRIMM0117","PRIMM0123","PRIMM0129","PRIMM0137","PRIMM0140","PRIMM0143","PRIMM0154","PRIMM0155","PRIMM0159","PRIMM0162","PRIMM0166","PRIMM0168","PRIMM0171","PRIMM0178","PRIMM0181","PRIMM0193","PRIMM0197","PRIMM0199","PRIMM0201","PRIMM0204","PRIMM0210","PRIMM0215","PRIMM0218","PRIMM0219","PRIMM0220","PRIMM0232","PRIMM0234","PRIMM0240","PRIMM0241","PRIMM0242","PRIMM0256","PRIMM0261","PRIMM0264","PRIMM0266","PRIMM0271","PRIMM0276","PRIMM0278","PRIMM0281","PRIMM0287","PRIMM0300","PRIMM0301","PRIMM0308","PRIMM0310","PRIMM0325","PRIMM0328","PRIMM0331","PRIMM0352","PRIMM0353","PRIMM0354","PRIMM0357","PRIMM0361","PRIMM0365","PRIMM0378","PRIMM0380","PRIMM0381","PRIMM0383","PRIMM0386","PRIMM0387","PRIMM0391","PRIMM0394","PRIMM0398","PRIMM0399","PRIMM0403","PRIMM0404","PRIMM0411","PRIMM0417","PRIMM0421","PRIMM0422","PRIMM0423","PRIMM0424","PRIMM0426","PRIMM0427","PRIMM0434","PRIMM0435","PRIMM0445","PRIMM0447","PRIMM0455","PRIMM0460","PRIMM0461","PRIMM0467","PRIMM0473","PRIMM0474","PRIMM0475","PRIMM0477","PRIMM0483","PRIMM0498","PRIMM0511","PRIMM0513","PRIMM0516","PRIMM0521","PRIMM0525","PRIMM0526","PRIMM0532","PRIMM0536","PRIMM0541","PRIMM0543","PRIMM0544","PRIMM0546","PRIMM0549","PRIMM0551","PRIMM0557","PRIMM0559","PRIMM0561","PRIMM0563","PRIMM0565","PRIMM0567","PRIMM0569","PRIMM0571","PRIMM0573","PRIMM0575","PRIMM0576","PRIMM0578","PRIMM0589","PRIMM0590","PRIMM0594","PRIMM0597","PRIMM0601","PRIMM0602","PRIMM0610","PRIMM0611"
"k__Bacteria|p__Firmicutes|c__Erysipelotrichia|o__Erysipelotrichales|f__Erysipelotrichaceae|g__Dielma|s__Dielma_fastidiosa",0,0,7134,332,0,13777,0,396,0,0,5583,10434,0,0,0,27777,0,0,0,0,0,0,0,0,0,0,10096,0,0,0,0,0,0,0,0,0,0,0,0,0,1859,0,0,0,0,0,0,0,0,0,0,0,3410,0,0,0,0,0,0,0,1502,17202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,852,0,0,0,0,0,0,0,0,0,0,455,0,0,0,0,1355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2026,1980,0,0,0,30137,0,0,0,0,0,2193,7088,0,0,0,0,0,1712,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis",0,0,6095,0,0,2351,374,0,0,0,0,1779,5426,635,0,8001,0,7286,0,0,0,33536,0,1487,0,13735,0,0,529,6762,0,1317,0,0,0,0,1451,0,0,811,0,2407,14448,0,19064,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4141,3639,0,17695,5886,7516,0,0,0,0,0,25269,0,0,0,0,482,0,1350,0,16422,0,0,0,0,0,0,0,0,2482,0,115303,0,0,0,21822,0,8196,0,0,0,0,0,0,0,0,0,0,0,0,0,2292,3987,0,0,6290,0,0,0,0,9171,389,0,6309,109,0,0,2593,0,0,0,0,6370,0,0,0,0,0,4543,0,0,0,10802,0,5617,12088,0,0,29494,0,0,0,189,926,4947,0,0,0,1666,1156,1028,9169,1650,13916,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Oribacterium|s__Oribacterium_parvum",0,0,4357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15059,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1555,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Citrobacter|s__Citrobacter_freundii",0,0,4072,0,0,0,0,0,0,0,0,0,0,0,0,3334372,0,0,0,0,0,0,0,17002,0,0,0,175139,0,0,0,0,741,0,4522,0,0,0,0,0,0,0,0,0,0,0,1644711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1138,0,0,5691,0,0,0,0,0,0,0,37905,0,0,0,0,1327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_callidus",0,0,3547,1997,0,0,0,31605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11063,0,0,0,21099,0,0,0,0,0,0,0,0,0,0,618,12998,0,0,0,0,0,1057,0,0,0,0,28849,0,0,0,0,0,0,0,0,0,625,0,0,0,19162,0,241,28186,0,12343,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125680,0,0,0,0,0,0,5074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,390,0,352,0,0,0,0,0,0,0,0,0,0,0,7186,0,0,0,1430,67229,16753,0,5222,139,15401,0,0,0,89,39253,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_anginosus_group",0,0,3472,0,0,1198,5423,0,0,0,0,0,0,0,23026,117062,0,0,9752,0,2780,35514,257,26315,268,0,183250,0,0,27246,9511,0,302,544,0,0,21495,0,1040,0,1236,36737,33079,124,155146,3229,0,17663,1092,0,0,0,1713,4050,18203,0,1829,0,0,394632,16572,2107847,39992,3490,16131,1925,113779,10058,0,0,43726,0,0,5509,11016,0,4892,1836,386,0,1354,316,0,0,0,0,26430,0,181,0,1059745,1820,0,13226,61567,0,88789,0,14387,161,0,0,0,0,0,0,0,0,0,4483,271745,0,0,0,654,0,13930,0,0,973,146,0,5065,240,7799,5837,20672,0,0,0,0,3813,724,0,9898,1468,5693,13039,2679,4811,0,106014,0,20324,58910,345,1465,99462,0,959,6123,3151,138547,64685,934,0,0,0,12262,2174,21221,0,57538,80375,0
"k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_asparagiforme",0,0,3247,0,24940,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5646,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis",0,0,2628,0,0,0,0,1493,0,0,0,0,52387,14860,0,7585,0,12965,1716,0,1966,0,0,16344,0,124336,0,28123,0,0,0,0,0,25917,0,1390,9517,0,0,2346,1341,0,28626,0,7264,11120,7424,0,0,0,1018,2345,0,580,1140,0,0,7139,0,52315,4346,0,4244,8512,3000,0,0,0,0,0,0,0,0,0,839,0,1505,0,0,0,1774,1149,0,0,0,0,0,0,1821,1676,16092,5638,0,0,4813,0,753,2917,36810,0,0,0,0,0,4153,0,1193,0,0,0,3676,0,0,0,7989,0,3284,2343,0,7001,351,0,14034,0,6370,0,1316,0,0,0,0,800,0,0,0,0,0,20209,3760,5025,0,0,551,1682,1571,0,0,2075,0,0,10886,14576,0,7658,0,0,0,0,3635,5129,0,0,36726,0,0
"k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_intestinalis",0,0,2368,0,0,0,0,0,0,0,0,0,0,0,0,344,149884,80540,4887,878,101927,0,0,24357,280,619,559,1446,0,0,420,291,148,0,0,1773,19177,49161,557,1491,0,363,1845,7112,47368,1543,0,1632,912,3541,0,58888,339,987,520,15540,0,0,0,0,223531,0,154,3753,844,1863,0,0,0,2451,0,0,0,3513,30262,12555,1218,0,1465,625,0,0,339,0,0,0,5197,0,0,0,0,0,624,1516,27666,1842,507,0,0,4442,2654,936,0,269,107,367,0,532253,0,1561,0,2960,0,0,0,414,1345,132,343,0,0,0,0,1221,0,2662,0,652,0,0,4440,432,89,133,15019,0,0,286,0,117,0,1715,0,20890,19290,7372,5079,0,0,0,943,0,368,0,0,284,0,71525,0,0,467,33112,0,27573,0
"k__Bacteria|p__Firmicutes|c__Negativicutes|o__Veillonellales|f__Veillonellaceae|g__Megasphaera|s__Megasphaera_micronuciformis",0,0,2123,0,0,277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15101,0,0,0,0,0,0,0,0,0,0,0
