,cleaned_taxa,nobc,harmony,combat_seq,limma,MMUPHin,ConQuR,ConQuR_libsize,percentile_norm
Actinomyces,Actinomyces,False,True,False,False,True,True,True,False
Akkermansia,Akkermansia,True,True,True,True,True,True,True,False
Alistipes,Alistipes,True,True,False,True,True,False,False,False
Anaerococcus,Anaerococcus,True,False,False,True,False,False,False,False
Anaerofilum,Anaerofilum,False,False,False,False,True,False,True,False
Anaerostipes,Anaerostipes,True,True,True,False,True,True,True,False
Anaerovorax,Anaerovorax,False,True,False,True,False,False,False,False
Bacteroides,Bacteroides,True,True,True,True,True,True,True,False
Barnesiella,Barnesiella,True,True,True,True,True,True,False,False
Blautia,Blautia,True,True,False,False,True,False,False,False
Butyricicoccus,Butyricicoccus,False,False,False,True,False,True,False,False
Butyricimonas,Butyricimonas,True,False,False,True,False,False,False,False
Clostridium_III,Clostridium III,True,False,False,False,True,False,False,False
Clostridium_IV,Clostridium IV,True,False,True,True,True,True,False,False
Clostridium_XI,Clostridium XI,False,False,False,True,False,False,False,False
Clostridium_XVIII,Clostridium XVIII,True,True,True,True,True,True,True,False
Clostridium_XlVa,Clostridium XlVa,False,False,False,True,False,False,False,False
Clostridium_XlVb,Clostridium XlVb,True,False,False,True,False,False,True,False
Clostridium_sensu_stricto,Clostridium sensu stricto,False,True,False,False,False,False,False,False
Collinsella,Collinsella,True,True,True,True,True,True,False,False
Coprococcus,Coprococcus,False,False,True,True,True,True,True,False
Dialister,Dialister,False,True,False,True,False,True,True,False
Dorea,Dorea,False,False,False,True,False,True,False,False
Eggerthella,Eggerthella,True,False,True,True,True,True,True,False
Enterococcus,Enterococcus,True,True,True,True,True,True,True,False
Erysipelotrichaceae_incertae_sedis,Erysipelotrichaceae incertae sedis,True,True,True,True,True,True,True,False
Ethanoligenens,Ethanoligenens,True,True,True,True,True,True,False,False
Eubacterium,Eubacterium,False,True,False,False,False,False,False,False
Finegoldia,Finegoldia,True,False,False,True,False,False,False,False
Flavonifractor,Flavonifractor,False,False,False,False,False,True,False,False
Fusobacterium,Fusobacterium,True,True,True,False,True,True,False,False
Lachnospiracea_incertae_sedis,Lachnospiracea incertae sedis,True,True,True,True,True,True,True,False
Lactobacillus,Lactobacillus,True,False,True,True,True,True,True,False
Lactococcus,Lactococcus,True,False,False,False,True,True,True,False
Lactonifactor,Lactonifactor,False,True,False,False,False,False,False,False
Leptotrichia,Leptotrichia,False,False,False,False,False,True,False,False
Megasphaera,Megasphaera,False,False,False,True,False,False,True,False
Methanobrevibacter,Methanobrevibacter,True,True,False,False,False,False,False,False
Odoribacter,Odoribacter,True,True,True,True,True,False,False,False
Olsenella,Olsenella,False,False,False,True,False,True,False,False
Oscillibacter,Oscillibacter,True,True,True,True,True,True,False,False
Parabacteroides,Parabacteroides,False,True,False,True,False,False,False,False
Parasutterella,Parasutterella,False,True,False,False,False,True,True,False
Parvimonas,Parvimonas,False,False,False,False,False,False,True,False
Pediococcus,Pediococcus,False,False,False,False,False,True,False,False
Peptoniphilus,Peptoniphilus,False,True,False,True,False,False,False,False
Peptostreptococcus,Peptostreptococcus,False,False,False,True,False,True,True,False
Prevotella,Prevotella,True,False,True,True,True,True,True,False
Proteus,Proteus,False,False,False,False,False,True,False,False
Roseburia,Roseburia,False,True,True,True,True,True,True,False
Ruminococcus,Ruminococcus,False,False,True,False,True,True,True,False
Ruminococcus2,Ruminococcus2,True,True,True,False,True,False,True,False
Selenomonas,Selenomonas,False,True,False,False,False,False,False,False
Staphylococcus,Staphylococcus,False,False,False,False,False,True,False,False
Streptococcus,Streptococcus,True,True,True,True,True,True,True,False
Sutterella,Sutterella,True,False,True,True,True,True,True,False
Syntrophococcus,Syntrophococcus,True,True,True,True,True,True,False,False
Vagococcus,Vagococcus,False,True,False,False,False,False,False,False
Veillonella,Veillonella,True,True,True,True,True,True,True,False
