,0
batches_shannon_pval,0.519376511529577
biovar_shannon_pval,2.4069803252723012e-15
rf_baseline_likelihood,0.4053497942386831
rf_average_acc,0.8744855967078189
rf_macro_precision,0.6750693499424265
weighted_precision,0.779039473950613
macro_recall,0.7414755820059513
weighted_recall,0.8744855967078189
macro_f1,0.7058101904116806
weighted_f1,0.82314604980703
auc,0.8457388057266157
batch_aitch_r2,0.03509656069356187
batch_bray_r2,0.012366706215046906
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.15962248383918493
biovar_bray_r2,0.12491541854062968
biovar_aitch_pval,0.001
biovar_bray_pval,0.001
