	CSM5MCVF_P	CSM5MCVV_P	CSM5MCVL	CSM5MCVN	CSM67UBX	CSM5MCXH	CSM5MCXJ	CSM5MCXL	CSM67UE3	CSM67UE7	CSM67UFV	CSM67UFZ	CSM5MCZ5	CSM79HI3	CSM79HI7	CSM79HK9	CSM67UEW_TR	CSM67UEW_P	CSM67UEW	CSM67UF1_P	CSM67UF1	CSM79HOJ	CSM79HOL	CSM79HGH_P	CSM79HGJ_P	CSM79HIF	CSM79HIH	CSM79HIR	CSM79HIT	CSM79HJ4_P	CSM79HJ6_P	CSM7KOLM	CSM7KOSV	CSM7KOSX	CSM79HOX	CSM79HOZ	CSM7KONK	CSM79HQX	CSM79HQZ	CSM7KOKT	CSM7KOKZ	CSM7KOS7	CSM7KOMH	CSM7KOO9	CSM9X1ZO	CSM9X21T	CSM9X222	CSM9X215	ESM5ME9G_P	ESM5MEBA_P	ESM5MEBU	ESM5MEC3	ESM7F5AM	ESM7F5CB	ESM718TF	ESM718T9	HSM5FZBZ	HSM5MD7J	HSM6XRSI	HSM67VDP	HSM5MD7Q	HSM5MD7S	HSM6XRST	HSM67VHQ	HSM6XRT6_P	HSM6XRSZ_P	HSM6XRTA_P	HSM6XRTC_P	HSM5MD41	HSM6XRTM	HSM6XRVC_TR	HSM6XRVC	HSM6XRVK	HSM6XRS2	HSM6XRVM	HSM6XRVO	HSM6XRS6	HSM6XRS8	HSM7CYXE	HSM67VF9	HSM7CYYF	HSM7CYYH	HSM7CYYP	HSM6XRUZ	HSM6XRV2	HSM67VHB	HSM67VHD	HSM67VHF	HSM7CYZL	HSM7CYZR	HSM7CZ18	HSM7CZ1A	HSM7CZ26	HSM7CZ28	HSM7J4NE	HSM7J4NM	HSM7J4MY	HSM7J4OP	HSM7J4OT	HSM7J4OB	HSM7J4OE	HSM7J4OZ	HSM7J4K2	HSM7J4K4	HSMA33KE	HSMA33KM	HSMA33KQ	HSMA33KS	HSMA33OL	HSMA33IS	HSMA33QY	HSMA33R1	HSMA33LH_TR	HSMA33LH	HSMA33LJ	HSMA33MS	HSMA33QM	MSM5LLI2_P	MSM5LLE3_P	MSM5LLE9_P	MSM5LLGF_P	MSM5LLGD_P	MSM5LLHO_P	MSM6J2J3	MSM5LLHC	MSM6J2KC	MSM6J2IE	MSM6J2LN	MSM6J2LR	MSM6J2MB	MSM6J2QH	MSM6J2QP	MSM6J2LV	MSM6J2SE	MSM6J2RM	MSM6J2RO	MSM6J2RQ	MSM79HC8	MSM79HFW	MSM79HFY	MSM9VZF7	MSM9VZFF	MSM79H9W	MSM79HAL	MSM79HAN	MSM79H98	MSM9VZEK	MSM9VZEK_TR	MSM9VZEU	MSM9VZEW	MSM79H7G	MSM79H83	MSM79H85	MSM9VZGW	MSM9VZGY	MSM9VZMI	MSM9VZHX	MSM9VZKE	MSM9VZKI	MSM9VZIO	MSM9VZLB	MSM9VZLD	MSMA26CV	MSMA26DK	MSMAPC66	PSM6XBSU	PSM6XBT1	PSM7J1C8	PSM6XBTF_P	PSM6XBTH_P	PSM6XBV4	PSM6XBUG	PSM7J1B7	PSM7J1AM	PSM7J1AS	PSM7J1DF	PSM7J17T	PSM7J158	PSM7J16U	PSM7J17V	PSM7J17X	PSM7J12R	PSMA263M	PSMA264K	PSMA2659	PSMA265B	PSMA267R	PSMB4MBK	PSMA269O	PSMA26A1	PSMA26A3
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnospira|s__Lachnospira_pectinoschiza	0.0	0.0	0.0	0.0	0.0	0.40847	0.38125	0.86553	0.0	0.0	3.90248	2.47843	0.0	0.0	0.0	0.0	3.28775	3.6818	3.31106	2.19537	2.96444	0.0	0.0	0.0	0.0	0.11847	0.19759	2.4431	0.5108	0.0	0.25864	0.0	0.0	0.0	0.58945	0.73108	0.0	0.0	0.0	0.02627	0.0	0.0	0.0	0.0	0.34378	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.35684	0.0	0.13069	0.14513	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.99159	0.69431	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.34912	0.0	0.0	0.0	0.0	0.0	0.0	0.82132	0.10474	1.13099	0.0	0.0	0.0	0.0	0.01873	0.07115	1.14911	2.66945	0.0	0.0	0.0	0.0	0.0	0.17786	0.0	0.0	0.00281	0.0	0.0	0.0	0.0	0.0	1.11046	0.1693	0.0	0.0	0.0	0.0	0.0	0.0	11.86068	0.0	0.0	0.0	0.0	0.0	0.2698	0.17065	0.70637	0.64297	8.25668	15.61035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.38263	0.0	0.0	0.01465	0.0	3.19748	0.0	0.0	0.0	0.0	0.0	2.96564	2.48436	0.0	0.00436	0.0	0.0	0.0	0.0	0.0	1.51155	0.28382	0.0	2.21944	1.34026	0.0	0.0	0.0	0.0	0.0	0.0	0.45504	1.32413	0.0	0.0	0.0	3.2493	0.55598	0.30876	0.0	0.0	0.00653	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Clostridium|s__Clostridium_sp_CAG_58	0.0	0.0	0.0	0.0	0.02207	0.20422	0.2312	0.53188	0.05567	0.0	0.03358	0.05477	0.0	0.0	0.0	0.04705	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05071	0.11368	0.0	0.0	0.0	0.06764	0.00576	0.00839	0.31304	0.0	0.00632	0.0	0.0	0.0	0.0	0.03074	0.27948	0.0	0.0	0.03816	0.0093	0.0	0.0	0.0	0.0	0.0	0.0	0.05686	0.07855	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03577	0.23179	0.0	0.0	0.0	0.0	0.0	0.0	0.0052	0.04416	0.02249	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07843	0.0	0.38543	0.39828	0.46232	0.04193	0.00989	1.78558	0.14479	0.0	0.01779	0.46665	0.30648	0.03997	0.0	0.0	0.01192	0.0	0.0	0.13056	0.0	0.0	0.0	0.0	0.0	0.0	0.11785	0.02602	0.01166	0.0	0.0	0.05747	0.04157	0.2147	0.01946	0.0	0.0	0.0	0.0	0.06747	0.07887	0.0	0.00043	0.19989	0.0	0.0	0.0	0.0	0.0	0.1703	0.13739	0.00678	0.01773	0.0105	0.0	0.00657	0.0	0.0	0.00826	0.16492	0.07729	0.04965	0.2028	0.0994	0.0	0.0	0.0	0.05307	0.0	0.0	0.05138	0.13461	0.02416	0.05639	0.03657	0.04805	0.37683	0.0	0.0	0.07789	0.01732	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07397	0.0	0.0	0.0	0.03137	0.0	0.0	0.00479	0.0	0.0	0.0	0.0	0.13135	0.3126	0.14722	0.0	0.0	0.02648	0.043	0.03238
k__Bacteria|p__Proteobacteria|c__Deltaproteobacteria|o__Desulfovibrionales|f__Desulfovibrionaceae|g__Bilophila|s__Bilophila_wadsworthia	0.0	0.0	0.0	0.0	0.0206	0.07343	0.09932	0.0773	0.07124	0.0	0.00242	0.007	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00143	0.0	0.0	0.0	0.0	0.00139	0.03771	0.24321	0.00583	0.01966	0.00282	0.03305	0.0	0.00879	0.00655	0.01487	0.02061	0.0	0.06835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08317	0.00939	0.0	0.0	0.0	0.00054	0.0	0.0	0.0	0.0	0.01677	0.04638	1.27741	0.07009	0.03985	0.10551	0.07871	0.05184	0.0112	0.00337	0.0	0.18404	0.2026	0.04564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01092	0.06998	0.00544	0.0	0.0	0.0	0.00769	0.01563	0.04591	0.0	0.00702	0.0267	0.00284	0.01035	0.0	0.0	0.0	0.0	0.0	0.03179	0.0	0.0	0.0083	0.0	0.0	0.02682	0.10454	1.35761	0.00423	0.0	0.0	0.0228	0.0334	0.09446	0.16649	0.0	0.0	0.37929	0.0	0.0	0.0	0.02602	0.00075	0.0	0.0	0.0	0.0	0.0	0.00656	0.0	0.0	0.0	0.01784	0.02866	0.0	0.01202	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25452	0.2008	0.00858	0.04939	0.0	0.0	0.0	0.04329	0.0	0.46599	0.04268	0.0	0.00204	0.01622	0.00147	0.0	0.00325	0.0	0.0	0.0	0.0	0.0	0.06083	0.01704	0.00377	0.0	0.0	0.0	0.01046	0.11182	0.0	0.0	0.0	0.0	0.0	0.0	0.02874	0.0
k__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Sutterellaceae|g__Turicimonas|s__Turicimonas_muris	0.0	0.0	0.0	0.0	0.05164	0.03074	0.07544	0.10379	0.06552	0.0	0.0	0.0	0.05294	0.0	0.0	0.0018	0.0	0.00226	0.0	0.00699	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00903	0.02011	0.0	0.08538	0.0	0.0	0.0	0.04504	0.0453	0.06144	0.00396	0.01814	0.0	0.0	0.09584	0.0	0.0	0.00082	0.0	0.01291	0.0	0.0	0.0	0.01256	0.00617	0.0	0.10103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03868	0.04219	0.62889	0.10721	0.05666	0.18708	0.04909	0.01685	0.01063	0.02449	0.02346	0.43187	0.19168	0.0534	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14528	0.12758	0.07331	0.02571	0.08582	0.0	0.0	0.0	0.0	0.06204	0.09315	0.0	0.0	0.00313	0.10768	0.0658	0.04266	0.06414	0.0	0.25511	0.04532	0.0	0.0	0.02114	0.0	0.0	0.0	0.0	0.0	0.0075	0.0	0.0038	0.0	0.0	0.0	0.0	0.0	0.19059	0.0649	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0422	0.11142	0.0	0.0	0.01007	0.0	0.00146	0.07957	0.0	0.03632	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01545	0.0	0.0	0.0	0.0	0.02944	0.04462	0.0	0.0	0.12283	0.0	0.0	0.0	0.0	0.04973	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06276	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25414	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Proteobacteria_unclassified|o__Proteobacteria_unclassified|f__Proteobacteria_unclassified|g__Proteobacteria_unclassified|s__Proteobacteria_bacterium_CAG_139	0.0	0.0	0.0	0.0	0.03873	0.01669	0.03668	0.06718	1.03078	0.0	0.00619	0.0	0.05885	0.0	0.0	0.02078	0.00103	0.01004	0.0	0.03021	0.01673	0.0	0.0	0.0	0.0	0.0	0.0	0.02581	0.10633	0.0	0.12034	0.0	0.0	0.0	0.04696	0.07462	1.93667	0.01791	0.03952	0.09926	0.80877	3.01499	0.0	0.00503	0.1689	1.41588	1.04304	0.0	0.02537	0.0646	0.00992	0.00686	0.0	0.11645	0.0	0.0	0.00393	0.01948	0.0	0.0	0.0	0.0	0.46852	0.90099	0.90739	0.10539	0.0511	0.38261	0.35239	0.61166	0.03752	0.01369	0.0155	1.15721	0.70808	0.3039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10882	0.10707	0.09392	0.03558	0.63232	0.55555	0.0	0.0	0.00347	0.005	0.63656	0.66456	0.0	0.0	0.00626	0.10292	0.05445	0.41959	0.36042	0.0	0.0959	0.03662	0.0	0.0	0.44046	0.0	0.0	0.0	0.02012	0.0	0.06839	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.43825	0.90157	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04754	0.08303	0.01955	0.0	0.0	0.0	0.03544	0.02405	0.02605	0.32794	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02424	0.0	0.0	0.0	0.0	0.02597	0.06531	0.0	0.0	0.50204	0.0	0.00606	0.0154	0.0	0.01565	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.55299	0.21761	0.075	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.41052	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaeromassilibacillus|s__Anaeromassilibacillus_sp_An250	0.0	0.0	0.0	0.0	0.00181	0.00469	0.00391	0.01882	0.0	0.1029	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00928	0.01631	0.0112	0.09911	0.0	0.0	0.0	0.0	0.00482	0.0	0.0	0.0	0.0	0.0	0.0	0.00284	0.17066	0.0	0.00353	0.00046	0.11965	0.30543	0.0	0.0	0.0	0.0	0.06385	0.00138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13206	0.02356	0.01313	0.09933	0.00591	0.0017	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00939	0.0	0.0	0.0	0.00035	0.0	0.0	0.0	0.0	0.00947	0.0	0.19571	0.27103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01231	0.57663	0.02804	0.0564	0.06052	0.0	0.00154	0.0003	0.00331	0.0	0.0	0.11741	0.73519	0.0	0.0	0.0	0.01315	0.0	0.0	0.0	0.0	0.0	0.0	0.00745	0.07674	0.0	0.0278	0.0014	0.02597	0.0	0.0	0.0	0.0	0.00549	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.08046	0.0	0.0	0.00066	0.00393	0.01949	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0647	0.0	0.01223	0.02005
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiaceae|g__Hungatella|s__Hungatella_hathewayi	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06936	0.16169	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00366	0.08749	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00196	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14498	0.05348	0.04599	0.0	0.03942	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06937	0.0019	0.00811	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57755	0.0	0.0	0.0	0.0	0.0	0.13863	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3405	0.19227	2.35843	0.0	0.0	0.00232	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00212	0.0	0.0	0.00284	0.02528	0.28837	0.46981	0.0	0.0	0.68883	0.40468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09774	0.19581	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13343	0.0	0.0	0.0	0.03987	0.0	1.50009	1.05504	0.00621	0.10159	0.0	0.00052	0.0	0.0	0.0	0.0	0.0	0.02042
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_finegoldii	0.0	0.0	0.0	0.0	0.34157	0.0	0.0	0.0	1.05301	0.42073	1.36877	0.02441	0.0	0.0	0.0	0.07256	0.0	0.0	0.0	0.01827	0.00246	0.4552	1.30686	0.0	0.0	0.0	0.0	1.6574	2.06751	0.44939	25.0879	2.93846	5.75461	2.80862	14.35951	17.30647	1.06494	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.69854	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.08426	0.02809	0.0	0.00276	0.25226	0.24849	0.0	0.0	0.0	0.0	0.0	0.0	0.10511	2.18817	1.4424	1.80856	0.0	0.0	1.01036	1.71028	0.46882	0.47157	1.41948	0.41154	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05716	2.57332	6.68191	2.93922	1.75803	5.2065	0.15588	0.08567	1.16404	1.21363	1.51205	0.22255	0.03996	0.0	0.00477	1.09876	0.55623	2.46611	0.42396	0.0	0.11341	0.05968	0.0	0.0	0.04348	0.0	1.81861	3.0558	0.05204	0.00348	0.05031	0.43834	0.30606	0.68674	0.0	0.0	0.0	0.0	1.8179	0.43384	0.00328	0.00179	0.0	0.0	0.0	0.0	1.07092	1.91274	2.94369	2.85748	0.03223	0.13314	0.3208	0.02628	1.27644	1.64384	0.02662	0.04028	0.25624	2.05216	1.21257	1.17	0.45334	0.40888	0.0	0.0	5.40903	0.0	0.0	0.11924	0.34381	0.0	0.0	0.00482	0.00916	0.0	0.38793	1.41002	0.0	1.35158	0.06608	3.3314	1.43018	3.30298	0.00965	0.0	0.0	0.00355	0.60293	0.0	0.0	2.7544	0.0	1.31161	0.04658	0.0	0.0	0.0	0.0	0.0	0.34236	0.30343	0.0	0.0	0.41602	2.27441	0.1356
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Ruminococcus|s__Ruminococcus_bromii	0.0	0.0	0.0	0.0	0.77968	0.10942	0.04357	0.13278	0.38889	1.12437	0.0	0.0	0.0	0.0	0.0	0.20733	0.00414	0.03586	0.00557	0.07536	0.05557	0.0	0.0	0.0	0.0	0.0	0.0	0.25882	0.31105	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.33665	0.14074	1.44066	0.0	0.0	0.22459	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0091	0.0	0.0	0.0	0.0	0.0	0.0	0.05245	0.0	0.0	1.73829	2.33222	0.0	0.0	0.0	0.0	0.58847	0.7471	0.95057	1.82623	0.33458	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.94832	0.61586	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07762	0.54074	0.6675	2.32311	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.56551	0.0	0.0	0.4434	0.30923	0.16681	0.07492	0.0	0.0	0.0	0.0	0.53593	0.13992	0.15156	2.30568	0.0	0.30776	0.57635	0.0	0.14594	0.13555	11.26942	7.83782	0.1158	0.52304	1.5035	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.52296	0.19337	0.0	0.0	0.0	0.0	0.0	0.26233	0.0	0.0	0.0	2.3616	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.45212	0.0	1.78477	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Odoribacter|s__Odoribacter_splanchnicus	0.0	0.0	0.0	0.0	0.31499	0.0	0.0	0.0	0.0	0.50084	0.30499	0.18355	1.61135	0.0	0.0	0.60287	0.0	0.0	0.0	0.0	0.0	0.0357	0.77992	0.0	0.0	0.0	0.0	2.176	5.7194	0.21149	0.0	0.57815	0.91736	1.12451	0.0	0.0	0.99096	0.0	0.0	0.0	0.0	0.0	0.0	0.27828	0.0	0.64635	0.09203	0.0	0.0	0.0	0.0	0.0	0.68579	0.3022	0.11453	0.54863	0.0	0.0	0.0	0.0	0.0	0.0	0.57356	1.166	0.0	0.0	0.41188	0.18468	0.0	0.0	0.0	0.0	0.0	0.98681	0.50337	0.06051	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16274	0.0	0.0	0.0	0.76744	1.8068	1.07373	1.13986	0.57904	0.59374	3.61456	0.70633	0.53782	0.0	0.00321	0.60203	0.72886	0.74767	0.60028	0.0	1.24801	0.98084	0.0	0.0	0.5624	0.26444	0.0	0.0	0.42364	0.49024	2.41534	0.12949	0.62488	0.0	0.0	0.0	0.0	0.0	2.33346	0.64817	0.34567	0.31602	0.0	0.0	0.0	0.0	0.0	0.0	1.07216	0.60834	0.08742	0.37263	0.9394	0.3218	0.74057	0.8105	0.0	0.0	1.50629	0.27943	0.22281	0.84283	0.36441	1.90188	0.0	0.0	0.0	0.0	0.0	0.20998	0.44818	0.38059	0.56236	0.64126	0.40684	0.0	0.71687	0.65641	1.32019	0.93538	0.63847	0.85368	0.83635	0.69512	0.0	0.0	0.05887	0.02216	1.11841	0.0	0.0	1.07603	0.89679	1.20445	0.18008	0.0	0.0	0.0	0.0	0.0	1.27632	1.06196	0.0	0.0	1.47105	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Odoribacteraceae|g__Butyricimonas|s__Butyricimonas_virosa	0.0	0.0	0.0	0.0	0.19499	0.0	0.0	0.0	0.0294	0.0	0.06864	0.09148	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04014	0.0	0.0	0.0	0.03739	0.052	0.26613	0.0	0.0	0.07425	0.09039	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02032	0.0	0.01151	0.01798	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07506	0.0	0.0	0.0	0.0	0.0	0.32203	0.3599	0.0	0.0	0.0	0.0	0.28703	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04771	0.95743	0.91555	0.0	0.0	0.0	0.04085	0.19447	0.0	0.0	0.0	0.0	0.0	0.07599	0.0	0.0986	0.09077	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04449	0.11371	0.01036	0.01492	0.0194	0.13081	0.03571	0.39632	0.31124	0.27136	0.00847	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05179	0.24505	0.00794	0.01366	0.00985	0.01451	0.0	0.0	0.0	0.0	0.0	0.03891	0.0	0.0	0.0	0.0	0.00976	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Oscillospiraceae|g__Oscillibacter|s__Oscillibacter_sp_CAG_241	0.0	0.0	0.0	0.0	0.50422	0.0	0.0	0.0	0.0857	0.0	0.00352	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00327	0.00993	0.03338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11219	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.02075	0.00681	0.00143	0.11145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05538	0.11845	0.0	0.0	0.0	1.08397	3.04185	0.17227	0.10454	0.01819	0.01726	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04558	0.14152	0.0	0.0	0.0	0.0	0.0	1.10432	1.9304	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.03133	0.03147	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17205	0.08223	0.07273	0.04397	0.02521	0.00912	0.0	0.0	0.32712	0.28146	0.68459	0.13135	0.45294	0.19474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00117	0.0	0.0	0.0	0.0	0.00953	0.0	0.16341	0.62025	0.51357	0.26046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.14349	0.0	0.05197	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_indistinctus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00958	0.03159	0.0	0.0	0.0	0.0	0.02248	0.0	0.0	0.0	0.0	0.0	0.01554	0.00559	0.0	0.0	0.0	0.0	0.10005	0.11599	0.0	0.59996	0.04035	0.06851	0.14798	0.09433	0.24907	0.34539	0.0	0.0	0.03678	0.14439	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00516	0.10343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0638	0.21265	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00507	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.06728	0.02129	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01718	0.01056	0.00468	0.0154	0.0087	0.0	0.06569	0.0489	0.36772	0.1848	0.0633	0.09171	0.02806	0.10139	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.173	0.0	0.08085	0.21281	0.12379	0.13775	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1987	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0513	0.09617	0.0	0.0	0.05602	0.0	0.0
