,0
batches_shannon_pval,5.6191827525964846e-21
biovar_shannon_pval,3.490918490860573e-10
rf_baseline_likelihood,0.7373798076923077
rf_average_acc,0.7397836538461539
rf_macro_precision,0.869578313253012
weighted_precision,0.8076593634151993
macro_recall,0.5045766590389016
weighted_recall,0.7397836538461539
macro_f1,0.4340789542927204
weighted_f1,0.6315496923525834
auc,0.5045766590389016
batch_aitch_r2,0.016200687061916522
batch_bray_r2,0.01556063950619002
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.013812618149239283
biovar_bray_r2,0.010036032547581921
biovar_aitch_pval,0.001
biovar_bray_pval,0.001
