,MG100208,MG100207,MG100206,MG100205,MG100204,MG100203,MG100202,MG100201,MG100200,MG100199,MG100198,MG100196,MG100195,MG100194,MG100193,MG100192,MG100191,MG100190,MG100189,MG100188,MG100187,MG100186,MG100185,MG100184,MG100182,MG100181,MG100180,MG100179,MG100178,MG100177,MG100176,MG100175,MG100174,MG100173,MG100172,MG100171,MG100170,MG100169,MG100168,MG100167,MG100166,MG100165,MG100164,MG100163,MG100162,MG100161,MG100160,MG100159,MG100158,MG100157,MG100156,MG100155,MG100154,MG100153
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Faecalibacterium|s__Faecalibacterium_prausnitzii,0,0.38178,11.43481,19.03681,4.92748,0.4765,7.03012,0.78754,0.43245,0.67963,0.93237,0.18622,8.02297,0.20777,19.39049,1.22547,0,1.32086,3.62318,2.2921,0,0,12.41079,0.10022,0.32986,0.17024,1.21564,2.06736,1.13339,7.42666,2.49779,5.09491,0.66214,5.74913,2.80697,1.6025,8.96696,0.93337,0.21632,11.23948,2.47488,5.26249,0.21278,0.20716,0.88831,3.05362,2.66305,0.36708,0.00717,1.03207,2.05132,0.11672,37.68389,13.80419
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius,0,0.06936,0,1.78393,1.74127,0,0.61233,0.05558,4.32395,0.1909,0.41578,0.10224,13.80842,0,4.81012,0.04011,20.77032,0.11473,0.69392,3.51361,0,0.12583,0,0.64318,1.37972,0.02424,2.86095,1.29618,0.19673,0,0.02921,0.63721,0.13501,1.59223,0.57433,0,0.25243,1.84412,0.08759,0.79407,0.30908,0.18265,0.01174,0,0,0.41554,0.52063,1.69739,0.41748,1.5566,0.24173,0.05784,0.26307,1.0554
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Anaerostipes|s__Anaerostipes_hadrus,4.03973,2.62079,4.50654,2.27405,8.25525,1.51065,7.86073,33.94653,0,10.97482,5.0423,11.31384,0,0.35287,3.48332,8.88557,14.22904,49.94631,13.36463,31.06005,0,0,0.14731,4.67892,37.98136,0.63982,6.57268,9.77865,1.45562,16.94351,6.76734,11.362,1.94847,4.00192,6.19232,2.29872,3.39026,1.08941,8.74847,9.48783,3.85211,0.15356,2.5027,17.03584,0.38262,0.6122,10.56484,46.06762,2.45641,8.41956,8.00819,3.65634,1.1464,0.8925
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris,0,0,0,0,0.06722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18598,0,0,0.24166,0,0,0.11879,0,0.11771,0.00503,0,0,0,0,0,0,0,3.90817,0,0,0,0,0,0,4.31566,0.159,0,0,0,0
k__Bacteria|p__Actinobacteria|c__Coriobacteriia|o__Coriobacteriales|f__Coriobacteriaceae|g__Collinsella|s__Collinsella_aerofaciens,0.50165,21.49267,20.62783,21.07652,16.93242,9.07183,2.96648,21.24215,3.98278,5.4657,10.60103,0,7.39606,0,6.79421,0,0,0.12558,25.59702,0,21.79624,0,5.65428,12.54603,21.90908,0,11.44265,6.60954,26.92896,0,8.27028,20.45906,3.61273,12.07997,3.85769,1.69178,5.20712,12.29192,0,11.05185,0,0,3.33886,0.40298,33.75626,28.27539,0.09829,0,0,14.52144,0,24.65751,0,0
k__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Bifidobacteriales|f__Bifidobacteriaceae|g__Bifidobacterium|s__Bifidobacterium_longum,0,0,6.09561,0,0,1.84244,2.74136,0,0,0.01421,2.95713,5.41275,0,0,10.12443,0,0,0,0,0,78.20376,0,0.43864,8.42589,1.89656,0,0,0,7.4057,0,0,8.41168,0,3.17106,0.26945,0,1.93186,18.1088,0,4.37116,0,0.00448,0,23.01947,6.04662,8.83991,0.23286,0,0.67203,10.89098,14.66715,3.00329,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_plebeius,0,0,0,0,0.91731,0,0,0,0,0,0,0,0,0,0,0,0,0.83723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10291,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_vulgatus,3.27124,0,0.04989,0,0.00419,0,0,0,0.93312,0.31429,0,0,0,0,0,0,0,0,0.11857,0,0,0.02893,0.13825,0,0,0,0.01361,0.01177,0,0,0.70469,0,0.08207,0,0,0.42843,0,0.54616,0,0.11154,0.26006,12.17907,0.0614,0,0,0,0.16881,0,1.42733,0.03455,0,0,0,0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Dorea|s__Dorea_longicatena,0,4.39659,0.84285,0,4.88256,0,3.77168,0.88782,12.22971,0,0,11.1747,3.45236,2.94879,2.27732,0.46158,2.39715,0.69817,5.05327,10.25072,0,0,1.66215,2.88307,1.89521,2.02146,1.61767,2.56381,3.272,0,0,0,0.21403,4.07918,4.32088,0.97466,3.0044,2.35299,0,4.21271,1.86443,0,0.12478,4.1744,0,0,0,7.17031,11.18687,1.92817,8.42546,3.67797,2.14387,0.02602
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Eubacteriaceae|g__Eubacterium|s__Eubacterium_sp_CAG_251,0,0,2.70877,0,0.43489,2.3418,0,0,0,0,13.2793,0,0,0,0,0,0,0.15022,0,0,0,0,0,0,0,0,0,0,0,0,0,0.43796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.88686,6.34667,0,1.64398,0
