	CSM79HG5	CSM79HGP	CSM67UDR	CSM67UDR_TR	CSM67UDY	CSM79HM9_P	CSM7KOMP	CSM79HPQ_P	CSM79HPO	CSM79HPU	CSM7KOJW	CSM7KOJY	CSM7KOK1	CSM7KOKB	CSM7KOKL_P	CSM7KOKN	CSM7KOOL	CSM7KOON	CSM7KOP2	CSM7KORG	CSM9X1Z4	CSM9X23N	ESM5MEBI	ESM5MECL	ESM9IEP1	HSM67VEM	HSM67VEM_TR	HSM7CYX2	HSM7CYX4	HSM7CYXS	HSM67VG8	CSM7CZ2F_P	HSM7CZ2H	HSM67VGI_P	HSM67VGK	HSM67VGK_TR	HSM67VGY	HSM7CYZD	HSM7CYZF	HSM7J4QB	HSM7CYY7	HSM7J4PI	HSM7J4PK	HSM7J4PU	HSM7J4PW	HSM7J4HI	HSM7J4HK	HSM7J4I7	HSMA33OV	HSMA33OX	HSMA33OZ	HSMA33RX_TR	HSMA33RX	MSM5LLDC	MSM5LLDE	MSM6J2PM	MSM6J2OL	MSM6J2ON	MSM6J2RC	MSM6J2Q7	MSM6J2Q9	MSM79HBP	MSM79H5Y	MSM79H5S	MSM79HAH	MSM79HB6	MSM79H6L	MSM79H6N	MSM79H9Y	MSM9VZHF	MSM9VZLR	MSM9VZLV	MSM7J16N	MSM7J16P	MSM9VZOW	MSM9VZOS	MSMA26AX	MSMA26AZ_TR	MSMA26AZ	MSM9VZOO	MSM9VZOQ	MSMAPC7R	MSMAPC7T	MSMB4LZC	MSMA26BX	MSMB4LZ8	MSMAPC55	MSMAPC57	MSMAPC59	MSMA26BJ	MSMA26BL	MSMB4LXY	MSMB4LZK	PSM7J13E	PSM7J13U_P	PSM7J13Y_P	PSM7J13Y	PSM7J18I	PSM7J18K	PSM7J12B	PSM7J156	PSM7J16Y	PSM7J171	PSM7J15O	PSM7J15Q	PSM7J15S
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Anaerotruncus|s__Anaerotruncus_colihominis	0.0	0.06076	0.0	0.0	0.0	0.00073	0.02271	0.00465	0.0	0.0	0.0	0.0	0.00338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01097	0.0	0.0	0.0	0.00386	0.00613	0.0054	0.00484	0.0	0.00732	0.0063	0.04142	0.0	0.0	0.0	0.00867	0.0	0.0	0.0	0.23541	0.0	0.0	0.0	0.0	0.0	0.03195	0.0	0.0	0.0	0.0	0.0033	0.01653	0.0	0.0	0.0	0.0	0.0	0.0	0.07058	0.0	0.0	0.0	0.0	0.0	0.05705	0.0	0.0	0.0	0.0	0.0	0.0	0.00303	0.05485	0.0	0.0	0.05213	0.03043	0.03439	0.0	0.0	0.00316	0.05773	0.0	0.01819	0.02423	0.00542	0.0	0.0	0.0	0.0	0.10835	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00457	0.0	0.0	0.26798	0.20777
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Ruminococcaceae|g__Agathobaculum|s__Agathobaculum_butyriciproducens	0.00782	0.10374	0.00235	0.05149	0.0	0.01999	0.01343	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.01796	0.0	0.00351	0.02448	0.0	0.02644	0.00555	0.0	0.0	0.0	0.0	0.0	0.03311	0.0	0.0	0.0	0.11457	0.09811	0.08097	0.1389	0.0	0.0	0.0	0.0	0.39807	0.0	0.0	0.08024	0.00114	0.07726	0.0	0.0	0.00322	0.00533	0.0	0.0	0.0	0.0	0.01758	0.01679	0.01872	0.0018	0.00249	0.18765	0.20293	0.0173	0.02745	0.01823	0.00096	0.00237	0.02521	0.0	0.78375	0.0	0.04686	0.0	0.0	0.0	0.0	0.02016	0.11437	0.17405	0.01713	0.63496	0.0379	0.17299	0.02991	0.04317	0.1762	0.02181	0.02002	0.06084	0.1427	0.40039	0.51875	0.0	0.0	0.0	0.0	0.0	0.0246	0.05622	0.00842	0.00187	0.05524	0.0	0.0	0.0	0.0
k__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Enterobacterales|f__Enterobacteriaceae|g__Escherichia|s__Escherichia_coli	0.03021	0.04276	0.0	0.0	0.4281	0.15799	0.52385	0.0	2.09246	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.17212	0.0	0.0	0.0	0.0	0.01096	0.20295	0.36103	2.09697	0.12894	0.0	0.0	0.0	0.21825	22.48756	2.57622	1.16849	0.1769	0.0	0.0	0.0	0.0	0.0064	0.0	0.0	0.0	0.14969	0.0	0.08173	0.0	0.04678	0.0	0.18414	0.08896	0.23526	0.0	0.0	7.67513	0.0	0.09636	0.0	0.59842	0.0	0.03204	0.00426	0.0	11.26657	6.81867	0.0	0.0	0.34059	0.36397	0.0	0.0	0.0	0.03933	0.0	0.0	0.0	0.06715	0.0	0.0	0.01584	0.0	0.17078	0.0	0.04744	0.0	0.01601	0.0	0.00525	0.0	0.0	0.0	0.0	0.04985	0.0	0.0	0.0	0.29146	2.14699	2.77103
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Eisenbergiella|s__Eisenbergiella_massiliensis	0.00022	0.01903	0.0	0.0	0.03752	0.0	0.0	0.0	0.0	0.0	0.17823	0.30575	0.06065	0.00723	0.00606	0.0	0.0	0.0	0.0	0.0	0.11273	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00323	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.16739	0.0	0.0	0.0	0.0	0.0	0.0	0.03354	0.00763	0.02665	0.0	0.06385	0.06577	0.00505	0.0	0.0	0.0	0.0	0.0	1.31474	0.08628	0.0	0.00097	0.0	0.0	0.01307	0.0	0.0	0.0	0.0	0.0	0.0	5.48934	0.52163	2.05409	0.55589	0.0	0.00348	0.01293	0.0	0.0	0.39269	0.264	0.27799	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00496	0.03341	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.40669	1.41988	1.28159
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Lachnoclostridium|s__Clostridium_citroniae	0.0	0.01535	0.0	0.0	0.0	0.0	0.00027	0.02025	0.0	0.0	0.0	0.01244	0.00524	0.0	0.01974	0.0	0.0	0.0	0.0	0.01418	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.04006	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05095	0.0	0.0	0.0	0.0	0.0	0.00952	0.0	0.0	0.0	0.02232	0.0	0.0	0.1016	0.00728	0.01554	0.00361	0.0	0.0	0.00194	0.0	0.0	0.012	0.00965	0.05067	0.0	0.01226	0.0	0.0	0.0	0.0	0.0	0.0592	0.01709	0.0	0.0	0.04028	0.04026	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Bacteroidaceae|g__Bacteroides|s__Bacteroides_stercoris	0.0	0.0	16.09782	10.94956	21.58663	4.31977	20.61226	0.50444	3.22406	0.0	0.0	0.32636	0.0	0.31674	3.43041	15.80834	0.0	0.0	0.0	6.04339	0.0	0.00196	0.0	0.0	1.04514	0.0	0.0	0.0	0.0	0.0	2.69448	7.60277	12.12966	2.71651	0.38921	0.48598	1.01072	0.0	0.01595	0.0	0.0	3.61812	4.2436	18.44134	12.64003	1.90727	4.48839	11.71853	17.50202	11.12363	20.58666	14.52058	14.75161	47.00033	35.0256	3.77783	0.0	0.0	0.0	15.76524	16.81063	4.40371	9.07973	12.48304	18.61629	0.0	0.0	0.0	0.0	1.48284	0.31184	0.6639	4.23119	5.60983	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.31042	0.26125	0.0	24.59958	0.0	11.31678	16.0359	14.92425	0.0	0.0	0.0	3.00532	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_unclassified|g__Monoglobus|s__Monoglobus_pectinilyticus	0.0	0.00697	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21247	0.04366	0.02806	0.0	0.0	0.0	0.0	0.00359	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00652	0.0	0.02339	0.17586	0.45686	0.0	0.0	0.0	0.01448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.11833	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.61794	0.18821	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.07623	0.0	0.0	0.01544	0.0	0.01141	0.0	0.0	0.0	0.01248	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Rikenellaceae|g__Alistipes|s__Alistipes_putredinis	0.0	0.0	0.0	0.0	0.0	0.2243	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.37896	3.09474	1.47959	7.33726	7.34725	0.0	0.0	0.0	0.0	0.0	0.0	5.4875	0.0	0.0	0.0	0.0	7.42002	3.73868	6.52508	10.88983	6.99238	2.43022	2.9989	0.0	0.0	0.55986	0.0	0.0	1.01203	0.0	0.0	0.0	5.20827	7.21569	23.38647	4.32809	3.54987	1.71078	0.0	0.0	2.72421	5.38667	15.12031	0.0	0.0	0.10822	18.72971	9.46544	0.0	7.71665	4.83209	4.1795	0.0	2.21931	2.01824	2.86881	0.81524	0.08307	0.4482	0.0	0.0	0.0	0.0	2.48797	7.18999	5.64336	6.80738	3.83834	3.00258	6.5118	2.69191	6.16375	6.88934	5.69713	0.0	0.0	2.4461	3.49219	11.7458	0.0	4.27047	0.0	0.0	0.0	0.26534	0.26887	0.0	3.12437	9.11097	2.55635	0.0	0.0	0.00135
k__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Tannerellaceae|g__Parabacteroides|s__Parabacteroides_distasonis	0.0	0.0	1.00902	1.07225	0.94938	0.71422	0.0	1.06112	1.10182	0.0	10.24867	8.2774	10.26932	4.15737	4.84096	1.20768	1.936	1.60264	0.0	1.09089	0.0	3.57968	5.27405	5.50827	0.39246	1.74759	1.20847	1.67758	6.29458	4.71828	2.44631	1.30215	1.4789	7.46521	5.3544	5.23283	3.553	0.0	0.06955	0.0	5.63514	0.33206	0.0	7.33905	12.01644	1.03288	1.62215	6.661	1.51034	1.72298	4.33715	3.96047	4.3572	7.75529	3.98451	2.38467	0.0	0.0	0.48655	0.0	0.0	4.00628	3.99467	1.99852	1.6077	3.35223	2.48551	2.10237	2.88947	0.33583	4.97124	0.96812	1.44177	4.38702	0.0	0.0	0.91255	0.94769	0.87122	0.0	0.0	3.04125	5.44437	5.20364	2.03779	1.63385	1.84297	0.0	0.0	0.30653	0.98358	0.0	6.41751	1.72925	0.0	9.64351	9.94612	0.74753	1.07881	3.4945	1.42209	2.82863	0.79471	0.0	0.0	0.0
k__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Lachnospiraceae|g__Roseburia|s__Roseburia_hominis	0.0	0.03079	0.0	0.0	0.0	0.07934	0.84052	0.00723	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.10841	0.36814	0.0	0.1165	0.0	0.0	0.83194	0.10462	0.06435	0.09853	0.07415	0.70638	0.15726	0.00371	0.39137	0.0	0.0	0.09443	0.17871	0.23587	0.6822	0.0	0.0	0.0	0.03841	0.0	0.0	0.0	0.06036	0.02527	0.0	0.01228	0.0	0.0	0.0	0.05686	0.07654	0.0	0.0	0.30567	0.03497	0.13308	0.09257	0.0	0.0	0.27766	0.22358	0.00311	0.06019	0.00775	0.11395	0.06778	0.11615	0.89334	0.21208	0.48518	1.4471	0.34895	0.0	0.0	0.0	0.0	0.0	0.21168	0.74137	0.0	0.0	0.0	0.01967	0.01241	0.20751	0.0	0.0	0.92589	0.00079	0.04941	0.02627	0.15775	0.0	0.00889	0.02073	1.15503	0.0	0.37765	1.06667	1.33486	0.08935	0.81545	0.47291	0.82727
