,0
batches_shannon_pval,0.23379607503983912
biovar_shannon_pval,0.986915235788915
rf_baseline_likelihood,0.5492957746478874
rf_average_acc,0.6830985915492958
rf_macro_precision,0.7196274673338894
weighted_precision,0.7128984638998853
macro_recall,0.6582532051282051
weighted_recall,0.6830985915492958
macro_f1,0.6477203814984288
weighted_f1,0.6587269357364763
auc,0.6582532051282051
batch_aitch_r2,0.016239856957011706
batch_bray_r2,0.0017997673471844174
batch_aitch_pval,0.001
batch_bray_pval,0.991
biovar_aitch_r2,0.013607694774363627
biovar_bray_r2,0.005949503694054087
biovar_aitch_pval,0.002
biovar_bray_pval,0.536
