,Roseburia_inulinivorans,Tyzzerella_nexilis,Caldicoprobacter_oshimai,Butyricimonas_paravirosa,Anaerotruncus_colihominis,Falcatimonas_natans,Holdemanella_biformis,Paludicola_psychrotolerans,Spiroplasma_lampyridicola,Eubacterium_oxidoreducens,Veillonella_denticariosi,Ruminococcus_albus,Intestinibacillus_massiliensis,Anaerofustis_stercorihominis,Ruminococcus_champanellensis,Blautia_hansenii,Desulfofarcimen_intricatum,Acholeplasma_brassicae,Bacteroides_thetaiotaomicron,Muribaculum_intestinale,Romboutsia_timonensis,Bacteroides_rodentium,Ruminiclostridium_papyrosolvens,Noviherbaspirillum_denitrificans,Bacteroides_ovatus,Faecalibacterium_prausnitzii,Gemella_haemolysans,Blautia_faecis,Collinsella_stercoris,Fournierella_massiliensis,Pontibacter_toksunensis,Alistipes_indistinctus,Eisenbergiella_massiliensis,Parabacteroides_merdae,Finegoldia_magna,Vallitalea_guaymasensis,Prevotella_buccalis,Anaerostipes_hadrus,Mogibacterium_pumilum,Catenibacterium_mitsuokai,Anaerostipes_butyraticus,Eubacterium_ruminantium,Eubacterium_xylanophilum,Traorella_massiliensis,Clostridium_tertium,Clostridium_pascui,Desulfovibrio_simplex,Sporobacter_termitidis,Intestinimonas_butyriciproducens,Prevotella_shahii,Dorea_formicigenerans,Oligosphaera_ethanolica,Bacteroides_stercoris,Cuneatibacter_caecimuris,Mitsuokella_multacida,Acutalibacter_muris,Breznakia_pachnodae,Succinivibrio_dextrinosolvens,Klebsiella_aerogenes,Howardella_ureilytica,Lactobacillus_delbrueckii,Parasutterella_excrementihominis,Beduini_massiliensis,Hungatella_effluvii,Paraprevotella_clara,Anaerocolumna_jejuensis,Aminipila_butyrica,Enterococcus_faecalis,Corynebacterium_amycolatum,Dialister_succinatiphilus,Coprococcus_eutactus,Anaerofilum_agile,Cloacibacillus_porcorum,Parabacteroides_faecis,Sutterella_wadsworthensis,Parapedobacter_defluvii,Acholeplasma_morum,Pseudobutyrivibrio_ruminis,Ihubacter_massiliensis,Ruminiclostridium_sufflavum,Prevotella_bivia,Blautia_obeum,Clostridium_sporogenes,Phascolarctobacterium_succinatutens,Roseburia_intestinalis,Ethanoligenens_harbinense,Eubacterium_ramulus,Streptococcus_gordonii,Bifidobacterium_longum,Eubacterium_ventriosum,Emergencia_timonensis,Collinsella_aerofaciens,Veillonella_parvula,Oscillibacter_valericigenes,Caproiciproducens_galactitolivorans,Bulleidia_extructa,Faecalicatena_orotica,Bifidobacterium_catenulatum,Turicibacter_sanguinis,Massiliprevotella_massiliensis,Longicatena_caecimuris,Terrisporobacter_mayombei,Prevotella_timonensis,Bifidobacterium_adolescentis,Ruthenibacterium_lactatiformans,Acholeplasma_vituli,Eggerthella_lenta,Clostridium_argentinense,Oribacterium_sinus,Spiroplasma_chrysopicola,Mesoplasma_corruscae,Dorea_longicatena,Acetivibrio_ethanolgignens,Veillonella_dispar,Spiroplasma_mirum,Holdemania_filiformis,Frisingicoccus_caecimuris,Cronobacter_sakazakii,Longibaculum_muris,Bifidobacterium_angulatum,Desulfovibrio_desulfuricans,Enterococcus_avium,Spiroplasma_melliferum,Colidextribacter_massiliensis,Neglecta_timonensis,Pseudoflavonifractor_capillosus,Subdoligranulum_variabile,Dialister_invisus,Clostridium_disporicum,Eisenbergiella_tayi,Vampirovibrio_chlorellavorus,Clostridium_subterminale,Flavonifractor_plautii,Treponema_succinifaciens,Butyricicoccus_pullicaecorum,Phascolarctobacterium_faecium,Eubacterium_coprostanoligenes,Faecalicatena_contorta,Prevotella_oralis,Clostridioides_difficile,Murimonas_intestini,Prevotella_copri,Kineothrix_alysoides,Senegalimassilia_anaerobia,Thermoclostridium_caenicola,Millionella_massiliensis,Brevundimonas_subvibrioides,Christensenella_minuta,Lachnotalea_glycerini,Breznakia_blatticola,Citrobacter_koseri,Lactobacillus_rogosae,Bacteroides_helcogenes,Treponema_bryantii,Bacteroides_kribbi,Ruminococcus_flavefaciens,Victivallis_vadensis,Megasphaera_elsdenii,Streptococcus_salivarius,Clostridium_chartatabidum,Papillibacter_cinnamivorans,Bacteroides_fragilis,Agathobaculum_desmolans,Anaerotignum_aminivorans,Roseburia_hominis,Coprococcus_comes,Bacteroides_cellulosilyticus,Olivibacter_sitiensis,Desulfovibrio_piger,Fusobacterium_mortiferum,Akkermansia_muciniphila,Phocea_massiliensis,Bacteroides_acidifaciens,Oscillibacter_ruminantium,Alistipes_shahii,Barnesiella_intestinihominis,Anaeromassilibacillus_senegalensis,Spiroplasma_chinense,Enterococcus_faecium,Terrisporobacter_petrolearius,Pseudoflavonifractor_phocaeensis,Duodenibacillus_massiliensis,Anaerotignum_lactatifermentans,Merdimonas_faecis,Lactococcus_garvieae,Bacteroides_intestinalis,Prevotella_stercorea,Prevotellamassilia_timonensis,Klebsiella_pneumoniae,Negativibacillus_massiliensis,Allisonella_histaminiformans,Faecalimonas_umbilicata,Marvinbryantia_formatexigens,Desulfosporosinus_lacus,Mitsuokella_jalaludinii,Hespellia_porcina,Weissella_confusa,Streptococcus_anginosus,Paraprevotella_xylaniphila,Lactobacillus_acidophilus,Ruminiclostridium_josui,Hungatella_hathewayi,Blautia_glucerasea,Spiroplasma_clarkii,Blautia_schinkii,Bacteroides_uniformis,Dehalobacter_restrictus,Parabacteroides_gordonii,Alloprevotella_rava,Spiroplasma_apis,Roseburia_faecis,Gracilibacter_thermotolerans,Herbinix_luporum,Solobacterium_moorei,Blautia_marasmi,Clostridium_acetireducens,Lutispora_thermophila,Flintibacter_butyricus,Harryflintia_acetispora,Bacteroides_xylanisolvens,Pseudoclostridium_thermosuccinogenes,Parabacteroides_distasonis,Anaerobacterium_chartisolvens,Blautia_coccoides,Agathobaculum_butyriciproducens,Coprobacillus_cateniformis,Lactonifactor_longoviformis,Fusicatenibacter_saccharivorans,Bacteroides_eggerthii,Anaerotruncus_rubiinfantis,Alistipes_finegoldii,Lachnoclostridium_pacaense,Clostridium_perfringens,Ruminiclostridium_cellobioparum,Haemophilus_paraphrohaemolyticus,Olsenella_uli,Bacteroides_salyersiae,Kroppenstedtia_pulmonis,Lactobacillus_gasseri,Parabacteroides_goldsteinii,Coprococcus_catus,Elusimicrobium_minutum,Megasphaera_hexanoica,Acidaminococcus_fermentans,Veillonella_atypica,Bifidobacterium_bifidum,Blautia_stercoris,Escherichia_coli,Saccharofermentans_acetigenes,Cellulosilyticum_ruminicola,Clostridium_carnis,Streptococcus_mutans,Faecalitalea_cylindroides,Eubacterium_limosum,Blautia_luti,Anaerostipes_caccae,Clostridium_tepidum,Erysipelatoclostridium_ramosum,Intestinibacter_bartlettii,Butyrivibrio_crossotus,Gemmiger_formicilis,Alistipes_putredinis,Prevotella_paludivivens,Bacteroides_caccae,Monoglobus_pectinilyticus,Spiroplasma_lineolae,Ruminococcus_bromii,Butyricimonas_virosa,Spiroplasma_culicicola,Blautia_wexlerae,Drancourtella_massiliensis,Bacteroides_finegoldii,Ruminococcus_callidus,Bacillus_anthracis,Streptococcus_oralis,Anaerovorax_odorimutans,Mogibacterium_neglectum,Odoribacter_splanchnicus,Lachnospira_pectinoschiza
Glcikman_MDR6,69.84732824427482,21.755725190839698,75.95419847328245,47.709923664122144,40.839694656488554,68.3206106870229,6.4885496183206115,79.77099236641222,0.3816793893129771,80.53435114503817,75.19083969465649,11.068702290076336,35.49618320610687,48.47328244274809,3.435114503816794,64.50381679389314,89.69465648854963,78.24427480916032,69.84732824427482,85.87786259541986,18.702290076335878,80.53435114503817,20.229007633587788,26.33587786259542,56.87022900763359,42.36641221374046,74.42748091603053,40.0763358778626,11.068702290076336,59.92366412213741,72.90076335877863,40.839694656488554,89.69465648854963,44.656488549618324,81.29770992366413,94.27480916030535,77.48091603053436,36.25954198473283,36.25954198473283,18.702290076335878,77.48091603053436,43.12977099236642,59.16030534351145,44.656488549618324,33.20610687022901,43.12977099236642,38.54961832061069,17.17557251908397,37.022900763358784,0.3816793893129771,1.1450381679389314,80.53435114503817,56.10687022900764,86.64122137404581,0.3816793893129771,10.305343511450383,29.389312977099237,68.3206106870229,79.77099236641222,67.55725190839695,89.69465648854963,12.595419847328245,37.786259541984734,41.603053435114504,23.282442748091604,75.95419847328245,20.99236641221374,87.40458015267176,59.16030534351145,40.839694656488554,15.648854961832063,53.05343511450382,15.648854961832063,54.58015267175573,57.63358778625955,11.068702290076336,87.40458015267176,72.90076335877863,65.2671755725191,79.00763358778626,81.29770992366413,46.18320610687023,97.32824427480917,12.595419847328245,13.3587786259542,17.17557251908397,55.34351145038168,77.09923664122138,43.12977099236642,40.0763358778626,66.79389312977099,10.305343511450383,3.435114503816794,28.625954198473284,69.84732824427482,11.068702290076336,52.29007633587786,66.79389312977099,6.4885496183206115,4.961832061068702,14.122137404580153,24.045801526717558,34.73282442748092,23.282442748091604,55.34351145038168,74.42748091603053,13.3587786259542,88.16793893129771,15.648854961832063,45.41984732824428,21.755725190839698,6.4885496183206115,72.90076335877863,19.465648854961835,8.01526717557252,11.068702290076336,56.10687022900764,90.45801526717558,23.282442748091604,27.86259541984733,73.66412213740459,1.9083969465648856,0.3816793893129771,60.68702290076336,40.0763358778626,8.778625954198473,33.969465648854964,36.25954198473283,79.00763358778626,27.099236641221374,22.51908396946565,23.282442748091604,98.09160305343512,2.67175572519084,75.19083969465649,21.755725190839698,2.67175572519084,72.13740458015268,45.41984732824428,43.12977099236642,85.87786259541986,0.3816793893129771,60.68702290076336,44.656488549618324,84.35114503816794,58.3969465648855,19.465648854961835,14.885496183206108,8.01526717557252,21.755725190839698,84.35114503816794,67.55725190839695,27.86259541984733,27.86259541984733,8.778625954198473,19.465648854961835,48.47328244274809,23.282442748091604,8.01526717557252,94.27480916030535,0.3816793893129771,59.16030534351145,40.839694656488554,33.969465648854964,46.18320610687023,38.54961832061069,75.19083969465649,3.435114503816794,50.0,73.66412213740459,74.42748091603053,89.69465648854963,43.12977099236642,1.9083969465648856,51.526717557251914,51.526717557251914,76.7175572519084,43.89312977099237,83.58778625954199,0.3816793893129771,75.95419847328245,72.13740458015268,32.44274809160306,72.90076335877863,90.45801526717558,91.98473282442748,3.435114503816794,17.938931297709924,11.832061068702291,40.0763358778626,17.17557251908397,61.45038167938932,59.92366412213741,40.839694656488554,10.305343511450383,60.68702290076336,46.94656488549619,57.63358778625955,18.702290076335878,92.74809160305344,85.87786259541986,31.6793893129771,82.06106870229009,66.03053435114504,36.25954198473283,10.305343511450383,59.16030534351145,89.69465648854963,50.76335877862596,87.40458015267176,56.87022900763359,1.1450381679389314,26.33587786259542,27.86259541984733,61.45038167938932,74.42748091603053,24.809160305343514,35.49618320610687,46.18320610687023,1.9083969465648856,30.916030534351147,7.251908396946566,5.7251908396946565,4.961832061068702,55.34351145038168,82.06106870229009,30.152671755725194,43.89312977099237,61.45038167938932,22.51908396946565,51.526717557251914,82.82442748091604,48.47328244274809,72.13740458015268,37.786259541984734,71.37404580152672,95.80152671755725,56.10687022900764,14.885496183206108,74.80916030534351,32.44274809160306,71.37404580152672,46.18320610687023,29.389312977099237,76.7175572519084,41.603053435114504,4.961832061068702,66.03053435114504,0.3816793893129771,22.51908396946565,71.37404580152672,7.251908396946566,53.05343511450382,38.54961832061069,20.229007633587788,64.50381679389314,33.20610687022901,98.85496183206108,24.045801526717558,4.198473282442748,26.33587786259542,27.099236641221374,75.19083969465649,1.1450381679389314,17.17557251908397,84.35114503816794,51.526717557251914,35.49618320610687,56.87022900763359,24.809160305343514,60.68702290076336,56.10687022900764,12.595419847328245,11.832061068702291,24.045801526717558,31.6793893129771,66.03053435114504,44.656488549618324,7.251908396946566
FEB016W1.01,99.61832061068704,33.969465648854964,10.305343511450383,65.2671755725191,32.44274809160306,36.25954198473283,3.435114503816794,67.55725190839695,59.92366412213741,7.251908396946566,27.86259541984733,70.99236641221374,2.67175572519084,88.93129770992367,1.1450381679389314,80.53435114503817,1.9083969465648856,71.37404580152672,12.595419847328245,88.16793893129771,20.99236641221374,76.7175572519084,71.37404580152672,20.99236641221374,1.9083969465648856,87.40458015267176,34.73282442748092,90.45801526717558,82.82442748091604,84.35114503816794,16.412213740458018,86.64122137404581,10.305343511450383,85.1145038167939,79.00763358778626,90.45801526717558,94.27480916030535,88.16793893129771,78.24427480916032,14.885496183206108,42.36641221374046,91.22137404580154,84.73282442748092,40.839694656488554,75.19083969465649,9.541984732824428,84.73282442748092,68.3206106870229,79.00763358778626,3.435114503816794,83.58778625954199,86.64122137404581,28.625954198473284,26.33587786259542,66.03053435114504,52.29007633587786,53.81679389312978,98.09160305343512,33.20610687022901,68.3206106870229,95.03816793893131,64.50381679389314,53.05343511450382,91.22137404580154,1.1450381679389314,41.603053435114504,72.90076335877863,53.81679389312978,66.79389312977099,59.16030534351145,9.541984732824428,95.03816793893131,70.61068702290076,55.34351145038168,92.36641221374046,90.45801526717558,34.73282442748092,40.839694656488554,3.435114503816794,48.47328244274809,2.67175572519084,96.56488549618321,96.56488549618321,96.56488549618321,27.86259541984733,30.152671755725194,97.32824427480917,2.67175572519084,14.122137404580153,37.786259541984734,24.809160305343514,79.77099236641222,58.3969465648855,70.61068702290076,78.62595419847328,64.50381679389314,4.198473282442748,91.98473282442748,3.435114503816794,3.435114503816794,30.152671755725194,2.67175572519084,71.37404580152672,70.61068702290076,53.81679389312978,46.94656488549619,91.98473282442748,41.603053435114504,4.961832061068702,18.702290076335878,98.09160305343512,79.00763358778626,1.1450381679389314,30.916030534351147,16.412213740458018,53.05343511450382,69.08396946564886,20.99236641221374,73.66412213740459,4.198473282442748,88.93129770992367,69.08396946564886,33.969465648854964,84.35114503816794,74.04580152671757,37.786259541984734,65.64885496183207,37.786259541984734,87.40458015267176,40.0763358778626,94.27480916030535,15.648854961832063,5.7251908396946565,14.885496183206108,33.20610687022901,63.74045801526718,85.1145038167939,37.786259541984734,95.03816793893131,78.24427480916032,57.63358778625955,94.27480916030535,87.40458015267176,5.7251908396946565,53.05343511450382,44.656488549618324,35.49618320610687,66.79389312977099,43.89312977099237,85.87786259541986,17.17557251908397,94.27480916030535,27.099236641221374,88.93129770992367,43.89312977099237,10.305343511450383,72.13740458015268,0.3816793893129771,32.44274809160306,83.58778625954199,18.702290076335878,18.702290076335878,33.20610687022901,82.82442748091604,58.3969465648855,77.48091603053436,53.05343511450382,19.465648854961835,71.37404580152672,69.08396946564886,88.93129770992367,31.6793893129771,13.3587786259542,66.79389312977099,7.251908396946566,14.885496183206108,44.656488549618324,85.87786259541986,37.022900763358784,31.6793893129771,8.01526717557252,3.435114503816794,78.24427480916032,32.44274809160306,37.022900763358784,92.74809160305344,96.56488549618321,50.0,72.90076335877863,6.4885496183206115,88.16793893129771,54.58015267175573,93.12977099236642,87.40458015267176,86.64122137404581,31.6793893129771,60.68702290076336,95.80152671755725,59.16030534351145,88.93129770992367,45.41984732824428,91.98473282442748,57.63358778625955,0.3816793893129771,83.96946564885496,68.3206106870229,84.35114503816794,75.95419847328245,86.64122137404581,49.23664122137405,95.03816793893131,83.58778625954199,84.35114503816794,80.53435114503817,30.916030534351147,41.603053435114504,90.45801526717558,41.603053435114504,92.74809160305344,73.66412213740459,21.755725190839698,70.61068702290076,81.29770992366413,94.65648854961833,91.98473282442748,4.961832061068702,41.603053435114504,85.1145038167939,60.68702290076336,59.16030534351145,0.3816793893129771,72.13740458015268,47.709923664122144,14.885496183206108,18.702290076335878,6.4885496183206115,43.12977099236642,70.61068702290076,84.35114503816794,21.755725190839698,89.69465648854963,93.5114503816794,42.36641221374046,80.53435114503817,84.35114503816794,88.93129770992367,98.09160305343512,52.29007633587786,75.95419847328245,65.2671755725191,58.3969465648855,61.45038167938932,24.809160305343514,51.526717557251914,77.48091603053436,50.76335877862596,50.0,36.25954198473283,79.77099236641222,90.45801526717558,80.53435114503817,73.66412213740459,92.74809160305344,88.93129770992367,71.7557251908397,75.95419847328245,75.95419847328245,93.12977099236642,19.465648854961835,95.03816793893131,43.89312977099237,53.81679389312978,69.08396946564886,4.198473282442748,3.435114503816794,88.93129770992367,43.12977099236642,85.1145038167939,33.20610687022901
DEB01624.01,4.198473282442748,42.36641221374046,45.41984732824428,27.86259541984733,97.32824427480917,45.41984732824428,90.45801526717558,90.45801526717558,55.34351145038168,1.1450381679389314,66.03053435114504,97.32824427480917,22.51908396946565,62.21374045801527,95.03816793893131,56.87022900763359,98.09160305343512,49.23664122137405,24.809160305343514,95.80152671755725,83.58778625954199,75.95419847328245,90.45801526717558,8.01526717557252,24.045801526717558,92.74809160305344,37.022900763358784,83.58778625954199,72.13740458015268,70.61068702290076,96.56488549618321,82.82442748091604,39.31297709923664,89.69465648854963,98.85496183206108,13.3587786259542,95.03816793893131,72.13740458015268,50.76335877862596,96.56488549618321,33.20610687022901,46.18320610687023,15.648854961832063,82.06106870229009,78.24427480916032,73.66412213740459,81.29770992366413,91.22137404580154,94.27480916030535,99.61832061068704,91.98473282442748,97.32824427480917,46.18320610687023,52.29007633587786,99.61832061068704,37.786259541984734,81.29770992366413,94.27480916030535,37.022900763358784,98.85496183206108,4.961832061068702,19.465648854961835,95.03816793893131,82.06106870229009,48.47328244274809,88.93129770992367,91.98473282442748,20.99236641221374,82.82442748091604,98.85496183206108,36.25954198473283,98.85496183206108,66.03053435114504,66.79389312977099,47.709923664122144,99.61832061068704,24.045801526717558,79.77099236641222,94.27480916030535,79.77099236641222,41.603053435114504,95.80152671755725,88.93129770992367,92.74809160305344,82.06106870229009,98.85496183206108,82.82442748091604,62.97709923664122,92.74809160305344,75.19083969465649,34.73282442748092,91.98473282442748,20.99236641221374,85.87786259541986,85.1145038167939,93.89312977099237,99.61832061068704,88.93129770992367,88.93129770992367,91.22137404580154,90.45801526717558,42.36641221374046,59.92366412213741,95.80152671755725,40.0763358778626,2.67175572519084,62.97709923664122,24.045801526717558,27.099236641221374,98.85496183206108,17.17557251908397,91.22137404580154,37.022900763358784,81.29770992366413,53.81679389312978,95.03816793893131,78.24427480916032,62.21374045801527,24.045801526717558,10.305343511450383,39.31297709923664,34.73282442748092,77.48091603053436,93.5114503816794,85.87786259541986,19.465648854961835,68.3206106870229,52.29007633587786,85.87786259541986,16.412213740458018,92.74809160305344,37.786259541984734,49.61832061068703,98.09160305343512,95.80152671755725,43.89312977099237,95.03816793893131,46.18320610687023,98.09160305343512,39.31297709923664,76.7175572519084,88.93129770992367,91.22137404580154,92.74809160305344,41.603053435114504,98.85496183206108,56.87022900763359,93.5114503816794,97.32824427480917,85.87786259541986,16.412213740458018,88.93129770992367,93.5114503816794,98.85496183206108,17.17557251908397,92.74809160305344,92.74809160305344,98.85496183206108,83.58778625954199,50.76335877862596,92.74809160305344,21.755725190839698,82.82442748091604,5.7251908396946565,59.92366412213741,91.98473282442748,6.4885496183206115,54.58015267175573,88.16793893129771,81.29770992366413,75.19083969465649,82.82442748091604,5.7251908396946565,97.32824427480917,27.099236641221374,96.94656488549619,26.33587786259542,62.21374045801527,16.412213740458018,92.74809160305344,70.61068702290076,77.48091603053436,79.77099236641222,17.938931297709924,1.1450381679389314,50.0,91.22137404580154,93.5114503816794,67.55725190839695,35.49618320610687,99.61832061068704,28.625954198473284,94.27480916030535,13.3587786259542,99.61832061068704,97.32824427480917,42.36641221374046,3.435114503816794,99.61832061068704,71.37404580152672,83.58778625954199,87.40458015267176,24.809160305343514,87.40458015267176,91.22137404580154,60.68702290076336,80.91603053435115,71.37404580152672,71.37404580152672,19.465648854961835,73.66412213740459,96.56488549618321,85.87786259541986,72.90076335877863,31.6793893129771,95.80152671755725,91.98473282442748,88.93129770992367,95.41984732824429,83.58778625954199,10.305343511450383,91.98473282442748,75.19083969465649,89.69465648854963,87.40458015267176,69.84732824427482,27.86259541984733,74.42748091603053,43.89312977099237,31.6793893129771,39.31297709923664,63.74045801526718,21.755725190839698,98.85496183206108,27.099236641221374,94.27480916030535,22.51908396946565,1.9083969465648856,4.198473282442748,36.25954198473283,90.45801526717558,19.465648854961835,62.97709923664122,84.35114503816794,72.13740458015268,62.21374045801527,24.809160305343514,80.1526717557252,21.755725190839698,74.42748091603053,72.90076335877863,66.79389312977099,40.839694656488554,85.87786259541986,75.95419847328245,79.00763358778626,10.305343511450383,24.045801526717558,92.74809160305344,25.572519083969468,85.87786259541986,17.17557251908397,97.32824427480917,8.01526717557252,80.53435114503817,45.41984732824428,60.68702290076336,5.7251908396946565,17.938931297709924,77.86259541984734,67.55725190839695,49.23664122137405,94.27480916030535,33.20610687022901,41.603053435114504,85.49618320610688,51.526717557251914,53.05343511450382,53.81679389312978
AEB016X3.01,32.44274809160306,30.916030534351147,40.0763358778626,18.702290076335878,9.541984732824428,4.198473282442748,98.85496183206108,46.18320610687023,60.68702290076336,43.89312977099237,68.3206106870229,27.099236641221374,50.76335877862596,89.69465648854963,79.77099236641222,4.198473282442748,4.961832061068702,64.50381679389314,98.85496183206108,40.0763358778626,17.938931297709924,54.58015267175573,59.92366412213741,41.603053435114504,59.16030534351145,79.00763358778626,64.50381679389314,67.93893129770993,11.832061068702291,5.7251908396946565,59.16030534351145,54.58015267175573,18.702290076335878,62.21374045801527,63.74045801526718,8.01526717557252,99.61832061068704,97.32824427480917,77.48091603053436,73.66412213740459,62.97709923664122,59.16030534351145,97.32824427480917,30.916030534351147,80.53435114503817,92.74809160305344,43.89312977099237,41.603053435114504,52.29007633587786,57.63358778625955,82.06106870229009,31.6793893129771,3.435114503816794,66.03053435114504,72.90076335877863,17.17557251908397,68.3206106870229,71.37404580152672,38.54961832061069,20.99236641221374,96.56488549618321,40.0763358778626,92.74809160305344,88.93129770992367,90.45801526717558,45.41984732824428,79.00763358778626,33.969465648854964,1.9083969465648856,14.885496183206108,91.22137404580154,33.20610687022901,75.95419847328245,16.412213740458018,93.5114503816794,40.0763358778626,11.068702290076336,43.12977099236642,28.625954198473284,8.01526717557252,11.068702290076336,79.77099236641222,27.86259541984733,94.27480916030535,50.0,24.809160305343514,93.89312977099237,41.603053435114504,20.99236641221374,66.03053435114504,61.45038167938932,83.20610687022901,46.18320610687023,64.50381679389314,67.55725190839695,12.595419847328245,35.49618320610687,33.20610687022901,89.69465648854963,32.44274809160306,96.56488549618321,56.10687022900764,44.656488549618324,20.229007633587788,1.9083969465648856,43.89312977099237,20.99236641221374,59.16030534351145,57.63358778625955,0.3816793893129771,8.778625954198473,93.5114503816794,93.89312977099237,34.73282442748092,15.648854961832063,41.603053435114504,98.09160305343512,97.32824427480917,85.1145038167939,6.4885496183206115,9.541984732824428,24.809160305343514,46.18320610687023,85.1145038167939,81.29770992366413,29.389312977099237,78.24427480916032,33.969465648854964,98.09160305343512,1.9083969465648856,27.099236641221374,65.2671755725191,61.45038167938932,43.89312977099237,42.36641221374046,46.18320610687023,14.885496183206108,62.97709923664122,72.13740458015268,98.85496183206108,98.85496183206108,20.99236641221374,22.51908396946565,20.99236641221374,5.7251908396946565,11.832061068702291,48.47328244274809,62.97709923664122,60.68702290076336,5.7251908396946565,4.961832061068702,5.7251908396946565,98.09160305343512,83.58778625954199,69.08396946564886,17.17557251908397,11.832061068702291,11.832061068702291,89.69465648854963,43.89312977099237,80.53435114503817,88.16793893129771,81.67938931297711,0.3816793893129771,76.7175572519084,82.06106870229009,51.526717557251914,97.32824427480917,20.229007633587788,56.87022900763359,58.3969465648855,62.21374045801527,16.412213740458018,62.97709923664122,45.41984732824428,76.33587786259542,50.76335877862596,33.969465648854964,53.81679389312978,71.37404580152672,87.40458015267176,22.51908396946565,11.832061068702291,61.45038167938932,34.73282442748092,82.06106870229009,44.656488549618324,21.755725190839698,50.76335877862596,62.97709923664122,50.76335877862596,74.42748091603053,68.3206106870229,8.01526717557252,49.23664122137405,87.40458015267176,20.229007633587788,50.0,79.77099236641222,84.35114503816794,85.1145038167939,69.84732824427482,43.12977099236642,25.572519083969468,11.832061068702291,51.526717557251914,20.229007633587788,88.93129770992367,81.29770992366413,2.67175572519084,87.40458015267176,32.44274809160306,95.80152671755725,40.0763358778626,24.045801526717558,68.3206106870229,10.305343511450383,37.786259541984734,79.77099236641222,27.099236641221374,27.099236641221374,96.56488549618321,6.4885496183206115,24.045801526717558,95.03816793893131,47.709923664122144,56.10687022900764,47.709923664122144,71.37404580152672,46.18320610687023,92.74809160305344,64.50381679389314,30.152671755725194,8.01526717557252,46.18320610687023,73.66412213740459,16.412213740458018,98.85496183206108,54.58015267175573,37.022900763358784,94.27480916030535,88.16793893129771,11.832061068702291,62.21374045801527,26.33587786259542,32.44274809160306,97.32824427480917,98.85496183206108,8.01526717557252,14.885496183206108,60.68702290076336,50.76335877862596,12.595419847328245,44.656488549618324,78.24427480916032,19.465648854961835,81.29770992366413,79.00763358778626,89.69465648854963,95.03816793893131,92.74809160305344,87.40458015267176,55.34351145038168,46.18320610687023,95.80152671755725,49.23664122137405,96.56488549618321,96.56488549618321,5.7251908396946565,83.58778625954199,34.73282442748092,20.99236641221374,7.251908396946566,30.152671755725194,33.20610687022901,92.36641221374046,41.603053435114504,26.33587786259542,34.73282442748092
