,0
batches_shannon_pval,1.3180445340572866e-13
biovar_shannon_pval,0.1371108276885072
rf_baseline_likelihood,0.5009310986964618
rf_average_acc,0.5940409683426443
rf_macro_precision,0.5948490355046128
weighted_precision,0.5948662284229527
macro_recall,0.5941227875492426
weighted_recall,0.5940409683426443
macro_f1,0.5932948860478043
weighted_f1,0.5932624476871591
auc,0.5941227875492426
batch_aitch_r2,0.01314650653878985
batch_bray_r2,0.061540862738439076
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.003428243392275166
biovar_bray_r2,0.0037864680208144707
biovar_aitch_pval,0.001
biovar_bray_pval,0.001
