,0
batches_shannon_pval,0.08883293411656434
biovar_shannon_pval,0.8125467805618759
rf_baseline_likelihood,0.5522388059701493
rf_average_acc,0.5671641791044776
rf_macro_precision,0.5622605363984674
weighted_precision,0.5629610567850404
macro_recall,0.5292792792792793
weighted_recall,0.5671641791044776
macro_f1,0.4755735492577598
weighted_f1,0.49847120671943923
auc,0.5292792792792793
batch_aitch_r2,0.054759754574654915
batch_bray_r2,0.10881829862730678
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.00896163183840017
biovar_bray_r2,0.008369439630028223
biovar_aitch_pval,0.197
biovar_bray_pval,0.312
