,0
batches_shannon_pval,0.3047840980537657
biovar_shannon_pval,0.2690858016828124
rf_baseline_likelihood,0.5522388059701493
rf_average_acc,0.5597014925373134
rf_macro_precision,0.5443059882312218
weighted_precision,0.5470002014847879
macro_recall,0.5288288288288289
weighted_recall,0.5597014925373134
macro_f1,0.49793611481552047
weighted_f1,0.5163343124347779
auc,0.5288288288288289
batch_aitch_r2,0.23921168524092296
batch_bray_r2,0.3136444096299769
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.008200017600556525
biovar_bray_r2,0.008813559176362507
biovar_aitch_pval,0.275
biovar_bray_pval,0.298
