,0
batches_shannon_pval,0.15657955387011388
biovar_shannon_pval,0.5790161857863263
rf_baseline_likelihood,0.5522388059701493
rf_average_acc,0.6343283582089553
rf_macro_precision,0.6543513957307061
weighted_precision,0.6506629414503836
macro_recall,0.6058558558558559
weighted_recall,0.6343283582089553
macro_f1,0.5878475927437072
weighted_f1,0.6023082753328955
auc,0.605855855855856
batch_aitch_r2,0.04264466231439988
batch_bray_r2,0.1767172433116367
batch_aitch_pval,0.001
batch_bray_pval,0.001
biovar_aitch_r2,0.010927825935603869
biovar_bray_r2,0.009348949422183363
biovar_aitch_pval,0.068
biovar_bray_pval,0.255
