,combat,limma,MMUPHin,ConQuR,ConQuR_libsize,Percentile_norm,harmony,harmonicMic,harmony_PCs,harmonicMic_weighted
global_batch_p_val_PC0,0.05455826811332976,0.6645816957329864,1.1221018527884957e-20,0.649237886263094,0.043445030989071036,0.14639162286654586,0.05970582751803249,0.1558867412163813,0.02858187208785921,0.1558867412163813
global_batch_p_val_PC1,0.02332666798053072,0.03430786266278474,5.879709172379548e-05,0.38749986179999396,0.8485060860179654,0.00936197596140985,0.0504968384471372,2.370330152175481e-05,1.832201562011929e-05,2.370330152175481e-05
global_biovar_p_val_PC0,2.933724075180218e-10,1.2047674061720553e-09,0.0007527177827685379,0.02638617412830845,0.3977651184054541,0.5972989867498102,2.7207961984164585e-10,3.447891365547267e-10,0.00013332563435726689,3.447891365547267e-10
global_biovar_p_val_PC1,0.0005748881706062571,2.479831415183321e-05,0.0004360613240312784,0.004362059102675329,0.2749559743121275,0.5123771618439984,0.13828906954061213,0.00013237205544187344,1.0013404950274466e-10,0.00013237205544187344
runtime,48.0491189956665,0.0798208713531494,0.767910003662109,2.1983895500501,2.1983895500501,3.904775381088257,31.85528540611267,71.90853953361511,9.941538095474243,19.765371561050415
